apteryx_rowi ENSARWG00000006862
apteryx_owenii ENSAOWG00000008446
apteryx_haastii ENSAHAG00000014923
meleagris_gallopavo ENSMGAG00000002009
coturnix_japonica ENSCJPG00005009500
gallus_gallus ENSGALG00000001141
calidris_pugnax ENSCPUG00000005879
calidris_pygmaea ENSCPGG00000012735
anas_platyrhynchos_platyrhynchos ENSAPLG00000007967
anser_brachyrhynchus ENSABRG00000006419
numida_meleagris ENSNMEG00000005824
dromaius_novaehollandiae ENSDNVG00000017795
crocodylus_porosus ENSCPRG00005012644
chelonoidis_abingdonii ENSCABG00000018332
gopherus_agassizii ENSGAGG00000003926
chrysemys_picta_bellii ENSCPBG00000021450
pelodiscus_sinensis ENSPSIG00000004046
sphenodon_punctatus ENSSPUG00000015571
salvator_merianae ENSSMRG00000009011
phascolarctos_cinereus ENSPCIG00000035166
notamacropus_eugenii ENSMEUG00000013913
monodelphis_domestica ENSMODG00000008212
sarcophilus_harrisii ENSSHAG00000014397
procavia_capensis ENSPCAG00000001025
loxodonta_africana ENSLAFG00000005276
echinops_telfairi ENSETEG00000005870
cavia_porcellus ENSCPOG00000036237
cavia_aperea ENSCAPG00000010667
octodon_degus ENSODEG00000009552
chinchilla_lanigera ENSCLAG00000006249
heterocephalus_glaber_female ENSHGLG00000017018
urocitellus_parryii ENSUPAG00010004237
ictidomys_tridecemlineatus ENSSTOG00000020897
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027872
mus_spicilegus ENSMSIG00000016236
mus_musculus ENSMUSG00000048001
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026879
mus_pahari MGP_PahariEiJ_G0029227
rattus_norvegicus ENSRNOG00000013850
meriones_unguiculatus ENSMUGG00000002063
cricetulus_griseus_chok1gshd ENSCGRG00001019237
cricetulus_griseus_crigri-picr ENSCGRG00015013386
mesocricetus_auratus ENSMAUG00000019730
microtus_ochrogaster ENSMOCG00000012587
peromyscus_maniculatus_bairdii ENSPEMG00000031266
nannospalax_galili ENSNGAG00000021962
jaculus_jaculus ENSJJAG00000017831
castor_canadensis ENSCCNG00000003662
tursiops_truncatus ENSTTRG00000003782
bos_mutus ENSBMUG00000023196
erinaceus_europaeus ENSEEUG00000008377
canis_lupus_familiaris ENSCAFG00000019421
canis_lupus_dingo ENSCAFG00020010437
vulpes_vulpes ENSVVUG00000027162
felis_catus ENSFCAG00000040380
ailuropoda_melanoleuca ENSAMEG00000013176
panthera_pardus ENSPPRG00000011932
pteropus_vampyrus ENSPVAG00000002198
equus_caballus ENSECAG00000036474
equus_asinus_asinus ENSEASG00005014318
propithecus_coquereli ENSPCOG00000015635
prolemur_simus ENSPSMG00000015101
microcebus_murinus ENSMICG00000038417
otolemur_garnettii ENSOGAG00000030950
cebus_capucinus ENSCCAG00000026993
callithrix_jacchus ENSCJAG00000002549
aotus_nancymaae ENSANAG00000025628
pan_troglodytes ENSPTRG00000051233
pan_troglodytes ENSPTRG00000024233
homo_sapiens ENSG00000197921
gorilla_gorilla ENSGGOG00000010276
macaca_fascicularis ENSMFAG00000044681
macaca_mulatta ENSMMUG00000044043
macaca_nemestrina ENSMNEG00000043589
theropithecus_gelada ENSTGEG00000005502
theropithecus_gelada ENSTGEG00000018492
papio_anubis ENSPANG00000022730
cercocebus_atys ENSCATG00000042925
chlorocebus_sabaeus ENSCSAG00000000715
piliocolobus_tephrosceles ENSPTEG00000019470
rhinopithecus_bieti ENSRBIG00000036888
ovis_aries ENSOARG00000018071
capra_hircus ENSCHIG00000021964
bison_bison_bison ENSBBBG00000017867
bos_taurus ENSBTAG00000002483
sus_scrofa ENSSSCG00000037304
