mastacembelus_armatus ENSMAMG00000012002
monopterus_albus ENSMALG00000001188
anabas_testudineus ENSATEG00000001879
seriola_dumerili ENSSDUG00000012528
seriola_lalandi_dorsalis ENSSLDG00000013559
scophthalmus_maximus ENSSMAG00000018998
takifugu_rubripes ENSTRUG00000021762
tetraodon_nigroviridis ENSTNIG00000018375
mola_mola ENSMMOG00000003368
gasterosteus_aculeatus ENSGACG00000009075
labrus_bergylta ENSLBEG00000002574
cyprinodon_variegatus ENSCVAG00000009271
fundulus_heteroclitus ENSFHEG00000014551
xiphophorus_maculatus ENSXMAG00000029455
gambusia_affinis ENSGAFG00000007837
poecilia_mexicana ENSPMEG00000016649
poecilia_latipinna ENSPLAG00000010326
poecilia_reticulata ENSPREG00000018622
kryptolebias_marmoratus ENSKMAG00000004937
oryzias_latipes_asm223469v1 ENSORLG00015018770
oryzias_latipes_asm223471v1 ENSORLG00020012470
oryzias_latipes_asm223467v1 ENSORLG00000028715
oryzias_melastigma ENSOMEG00000004204
astatotilapia_calliptera ENSACLG00000007652
pundamilia_nyererei ENSPNYG00000018084
maylandia_zebra ENSMZEG00005005446
haplochromis_burtoni ENSHBUG00000016170
neolamprologus_brichardi ENSNBRG00000013628
amphilophus_citrinellus ENSACIG00000013339
amphiprion_ocellaris ENSAOCG00000019280
amphiprion_ocellaris ENSAOCG00000010806
amphiprion_percula ENSAPEG00000001327
acanthochromis_polyacanthus ENSAPOG00000000237
stegastes_partitus ENSSPAG00000023583
hippocampus_comes ENSHCOG00000004340
gadus_morhua ENSGMOG00000014629
cynoglossus_semilaevis ENSCSEG00000001518
periophthalmus_magnuspinnatus ENSPMGG00000020860
esox_lucius ENSELUG00000009014
astyanax_mexicanus ENSAMXG00000020847
pygocentrus_nattereri ENSPNAG00000006822
ictalurus_punctatus ENSIPUG00000019707
ictalurus_punctatus ENSIPUG00000019717
danio_rerio ENSDARG00000091631
scleropages_formosus ENSSFOG00015009435
paramormyrops_kingsleyae ENSPKIG00000014817
lepisosteus_oculatus ENSLOCG00000005455
