erinaceus_europaeus ENSEEUG00000011865
sorex_araneus ENSSARG00000005407
cricetulus_griseus_crigri_1.0 ENSCGRG00000016924
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011845
cricetulus_griseus_crigri-picr ENSCGRG00015016981
mesocricetus_auratus ENSMAUG00000001868
peromyscus_maniculatus_bairdii ENSPEMG00000000255
microtus_ochrogaster ENSMOCG00000000936
meriones_unguiculatus ENSMUGG00000015228
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000016200
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015863
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015063
mus_spicilegus ENSMSIG00000024027
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0028295
rattus_norvegicus ENSRNOG00000046139
nannospalax_galili ENSNGAG00000008408
sus_scrofa ENSSSCG00000015610
myotis_lucifugus ENSMLUG00000008259
echinops_telfairi ENSETEG00000011057
capra_hircus ENSCHIG00000018118
ovis_aries ENSOARG00000012287
bos_taurus ENSBTAG00000046723
bos_mutus ENSBMUG00000006670
bison_bison_bison ENSBBBG00000002891
vicugna_pacos ENSVPAG00000010250
tursiops_truncatus ENSTTRG00000007460
pteropus_vampyrus ENSPVAG00000004874
ochotona_princeps ENSOPRG00000014339
oryctolagus_cuniculus ENSOCUG00000012833
pongo_abelii ENSPPYG00000000251
homo_sapiens ENSG00000143469
macaca_mulatta ENSMMUG00000016349
chlorocebus_sabaeus ENSCSAG00000015278
otolemur_garnettii ENSOGAG00000006543
ictidomys_tridecemlineatus ENSSTOG00000022494
dipodomys_ordii ENSDORG00000010099
ursus_americanus ENSUAMG00000021429
ursus_maritimus ENSUMAG00000021287
ailuropoda_melanoleuca ENSAMEG00000003414
canis_lupus_dingo ENSCAFG00020013281
canis_lupus_familiaris ENSCAFG00000012024
mustela_putorius_furo ENSMPUG00000003122
panthera_pardus ENSPPRG00000012744
panthera_tigris_altaica ENSPTIG00000007847
equus_asinus_asinus ENSEASG00005002709
loxodonta_africana ENSLAFG00000005288
choloepus_hoffmanni ENSCHOG00000008050
dasypus_novemcinctus ENSDNOG00000004051
procavia_capensis ENSPCAG00000016770
prolemur_simus ENSPSMG00000003213
propithecus_coquereli ENSPCOG00000023091
tupaia_belangeri ENSTBEG00000016503
pan_troglodytes ENSPTRG00000001943
pan_paniscus ENSPPAG00000030614
gorilla_gorilla ENSGGOG00000026680
nomascus_leucogenys ENSNLEG00000002083
piliocolobus_tephrosceles ENSPTEG00000036957
colobus_angolensis_palliatus ENSCANG00000025195
rhinopithecus_bieti ENSRBIG00000028826
rhinopithecus_roxellana ENSRROG00000011864
macaca_nemestrina ENSMNEG00000042869
macaca_fascicularis ENSMFAG00000036849
theropithecus_gelada ENSTGEG00000009572
cercocebus_atys ENSCATG00000039035
mandrillus_leucophaeus ENSMLEG00000034919
papio_anubis ENSPANG00000020300
cebus_capucinus_imitator ENSCCAG00000038093
saimiri_boliviensis_boliviensis ENSSBOG00000029111
callithrix_jacchus ENSCJAG00000000322
aotus_nancymaae ENSANAG00000025708
carlito_syrichta ENSTSYG00000008917
microcebus_murinus ENSMICG00000001258
spermophilus_dauricus ENSSDAG00000011080
marmota_marmota_marmota ENSMMMG00000000958
urocitellus_parryii ENSUPAG00010016724
vulpes_vulpes ENSVVUG00000009461
neovison_vison ENSNVIG00000016515
felis_catus ENSFCAG00000009054
equus_caballus ENSECAG00000017972
gopherus_agassizii ENSGAGG00000025778
chelonoidis_abingdonii ENSCABG00000016900
chrysemys_picta_bellii ENSCPBG00000015519
pelodiscus_sinensis ENSPSIG00000008671
sphenodon_punctatus ENSSPUG00000003102
anolis_carolinensis ENSACAG00000001401
pogona_vitticeps ENSPVIG00000002639
salvator_merianae ENSSMRG00000018571
notechis_scutatus ENSNSUG00000012958
apteryx_haastii ENSAHAG00000004439
apteryx_owenii ENSAOWG00000002002
apteryx_rowi ENSARWG00000003930
dromaius_novaehollandiae ENSDNVG00000013255
meleagris_gallopavo ENSMGAG00000009932
gallus_gallus ENSGALG00000009884
numida_meleagris ENSNMEG00000014908
coturnix_japonica ENSCJPG00005007527
anas_platyrhynchos_platyrhynchos ENSAPLG00000007935
anser_brachyrhynchus ENSABRG00000014758
calidris_pygmaea ENSCPGG00000019057
calidris_pugnax ENSCPUG00000000957
melopsittacus_undulatus ENSMUNG00000009566
lepidothrix_coronata ENSLCOG00000009795
manacus_vitellinus ENSMVIG00005005395
cyanistes_caeruleus ENSCCEG00000013513
parus_major ENSPMJG00000013617
zonotrichia_albicollis ENSZALG00000002504
junco_hyemalis ENSJHYG00000009755
serinus_canaria ENSSCAG00000006087
taeniopygia_guttata ENSTGUG00000003225
lonchura_striata_domestica ENSLSDG00000016782
ficedula_albicollis ENSFALG00000012577
nothoprocta_perdicaria ENSNPEG00000013144
crocodylus_porosus ENSCPRG00005015646
latimeria_chalumnae ENSLACG00000001575
ornithorhynchus_anatinus ENSOANG00000008471
phascolarctos_cinereus ENSPCIG00000028242
notamacropus_eugenii ENSMEUG00000005350
monodelphis_domestica ENSMODG00000002602
sarcophilus_harrisii ENSSHAG00000000525
chinchilla_lanigera ENSCLAG00000002869
octodon_degus ENSODEG00000007086
cavia_porcellus ENSCPOG00000014433
cavia_aperea ENSCAPG00000016216
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007490
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016959
fukomys_damarensis ENSFDAG00000016464
jaculus_jaculus ENSJJAG00000020007
xenopus_tropicalis ENSXETG00000000217
scleropages_formosus ENSSFOG00015004079
paramormyrops_kingsleyae ENSPKIG00000022209
fundulus_heteroclitus ENSFHEG00000021976
cyprinodon_variegatus ENSCVAG00000023217
xiphophorus_maculatus ENSXMAG00000025868
xiphophorus_couchianus ENSXCOG00000013188
poecilia_formosa ENSPFOG00000010526
poecilia_mexicana ENSPMEG00000023989
poecilia_reticulata ENSPREG00000005781
poecilia_latipinna ENSPLAG00000020264
gambusia_affinis ENSGAFG00000001512
kryptolebias_marmoratus ENSKMAG00000010440
oryzias_latipes_asm223467v1 ENSORLG00000019113
oryzias_latipes_asm223469v1 ENSORLG00015014196
oryzias_latipes_asm223471v1 ENSORLG00020017689
oryzias_melastigma ENSOMEG00000012812
seriola_dumerili ENSSDUG00000013495
seriola_lalandi_dorsalis ENSSLDG00000017452
scophthalmus_maximus ENSSMAG00000010247
monopterus_albus ENSMALG00000010685
anabas_testudineus ENSATEG00000008223
mola_mola ENSMMOG00000002463
tetraodon_nigroviridis ENSTNIG00000008897
gasterosteus_aculeatus ENSGACG00000005714
hippocampus_comes ENSHCOG00000014747
amphiprion_ocellaris ENSAOCG00000014925
amphiprion_percula ENSAPEG00000018464
stegastes_partitus ENSSPAG00000020507
acanthochromis_polyacanthus ENSAPOG00000014513
maylandia_zebra ENSMZEG00005006943
astatotilapia_calliptera ENSACLG00000020566
pundamilia_nyererei ENSPNYG00000004338
haplochromis_burtoni ENSHBUG00000020823
oreochromis_niloticus ENSONIG00000008262
neolamprologus_brichardi ENSNBRG00000010076
amphilophus_citrinellus ENSACIG00000023766
acanthochromis_polyacanthus ENSAPOG00000019590
labrus_bergylta ENSLBEG00000019706
cynoglossus_semilaevis ENSCSEG00000000108
periophthalmus_magnuspinnatus ENSPMGG00000008401
poecilia_latipinna ENSPLAG00000007155
pygocentrus_nattereri ENSPNAG00000005786
astyanax_mexicanus ENSAMXG00000021250
ictalurus_punctatus ENSIPUG00000002431
danio_rerio ENSDARG00000010934
scleropages_formosus ENSSFOG00015004319
paramormyrops_kingsleyae ENSPKIG00000014559
lepisosteus_oculatus ENSLOCG00000017181
