	ENSCINT00000005479	ENSCSAVT00000000669	ENSCSAVT00000000670
ENSCINT00000005479	1.0	0.6234198270126414	0.5876443997990959
ENSCSAVT00000000669	0.6234198270126414	1.0	1.0
ENSCSAVT00000000670	0.5876443997990959	1.0	1.0
