,ENSVURT00010030319_ENSVURG00010020366,ENSVURT00010030353_ENSVURG00010020366,ENSVURT00010030387_ENSVURG00010020366,ENSPCIT00000009989_ENSPCIG00000006590,ENSPCIT00000009959_ENSPCIG00000006590,ENSPCIT00000009981_ENSPCIG00000006590,ENSPCIT00000009972_ENSPCIG00000006590,ENSSHAT00000010059_ENSSHAG00000008630,ENSMODT00000058369_ENSMODG00000012779,ENSMODT00000079641_ENSMODG00000012779,ENSMODT00000085693_ENSMODG00000012779,ENSMODT00000016285_ENSMODG00000012779,ENSMODT00000067020_ENSMODG00000012779,ENSMODT00000070595_ENSMODG00000012779,ENSTSYT00000031624_ENSTSYG00000029203,ENSVVUT00000036485_ENSVVUG00000020020,ENSDNOT00000031381_ENSDNOG00000007827,ENSCCNT00000017610_ENSCCNG00000013374,ENSDORT00000001819_ENSDORG00000001812,ENSMOCT00000026591_ENSMOCG00000019684,ENSMOCT00000026593_ENSMOCG00000019684
ENSVURT00010030319_ENSVURG00010020366,1.0,0.97,0.96,0.99,0.87,0.95,0.78,0.84,0.9,0.92,0.87,0.77,0.75,0.13,0.15,0.13,0.77,0.7,0.72,0.8,0.75
ENSVURT00010030353_ENSVURG00010020366,0.97,1.0,0.93,0.96,0.84,0.92,0.75,0.82,0.88,0.9,0.84,0.75,0.77,0.14,0.15,0.14,0.75,0.67,0.69,0.78,0.72
ENSVURT00010030387_ENSVURG00010020366,0.96,0.93,1.0,0.95,0.83,0.99,0.79,0.82,0.87,0.89,0.9,0.81,0.78,0.14,0.16,0.14,0.8,0.73,0.73,0.84,0.76
ENSPCIT00000009989_ENSPCIG00000006590,0.99,0.96,0.95,1.0,0.87,0.96,0.78,0.84,0.9,0.92,0.87,0.77,0.75,0.13,0.14,0.13,0.77,0.7,0.72,0.8,0.75
ENSPCIT00000009959_ENSPCIG00000006590,0.87,0.84,0.83,0.87,1.0,0.84,0.84,0.9,0.83,0.81,0.8,0.86,0.84,0.2,0.23,0.21,0.71,0.81,0.77,0.86,0.8
ENSPCIT00000009981_ENSPCIG00000006590,0.95,0.92,0.99,0.96,0.84,1.0,0.79,0.82,0.87,0.89,0.9,0.81,0.78,0.14,0.16,0.14,0.8,0.73,0.73,0.83,0.75
ENSPCIT00000009972_ENSPCIG00000006590,0.78,0.75,0.79,0.78,0.84,0.79,1.0,0.86,0.7,0.72,0.71,0.77,0.75,0.16,0.16,0.16,0.62,0.72,0.72,0.82,0.75
ENSSHAT00000010059_ENSSHAG00000008630,0.84,0.82,0.82,0.84,0.9,0.82,0.86,1.0,0.77,0.79,0.75,0.82,0.79,0.23,0.21,0.22,0.67,0.76,0.77,0.86,0.79
ENSMODT00000058369_ENSMODG00000012779,0.9,0.88,0.87,0.9,0.83,0.87,0.7,0.77,1.0,0.97,0.97,0.85,0.83,0.12,0.14,0.12,0.78,0.71,0.66,0.74,0.69
ENSMODT00000079641_ENSMODG00000012779,0.92,0.9,0.89,0.92,0.81,0.89,0.72,0.79,0.97,1.0,0.94,0.84,0.81,0.13,0.15,0.13,0.76,0.69,0.68,0.75,0.7
ENSMODT00000085693_ENSMODG00000012779,0.87,0.84,0.9,0.87,0.8,0.9,0.71,0.75,0.97,0.94,1.0,0.89,0.86,0.13,0.15,0.13,0.82,0.74,0.67,0.77,0.7
ENSMODT00000016285_ENSMODG00000012779,0.77,0.75,0.81,0.77,0.86,0.81,0.77,0.82,0.85,0.84,0.89,1.0,0.97,0.22,0.24,0.22,0.73,0.81,0.77,0.83,0.8
ENSMODT00000067020_ENSMODG00000012779,0.75,0.77,0.78,0.75,0.84,0.78,0.75,0.79,0.83,0.81,0.86,0.97,1.0,0.23,0.25,0.22,0.7,0.79,0.75,0.81,0.77
ENSMODT00000070595_ENSMODG00000012779,0.13,0.14,0.14,0.13,0.2,0.14,0.16,0.23,0.12,0.13,0.13,0.22,0.23,1.0,0.71,0.79,0.16,0.24,0.23,0.22,0.19
ENSTSYT00000031624_ENSTSYG00000029203,0.15,0.15,0.16,0.14,0.23,0.16,0.16,0.21,0.14,0.15,0.15,0.24,0.25,0.71,1.0,0.76,0.19,0.27,0.26,0.24,0.23
ENSVVUT00000036485_ENSVVUG00000020020,0.13,0.14,0.14,0.13,0.21,0.14,0.16,0.22,0.12,0.13,0.13,0.22,0.22,0.79,0.76,1.0,0.17,0.25,0.23,0.22,0.2
ENSDNOT00000031381_ENSDNOG00000007827,0.77,0.75,0.8,0.77,0.71,0.8,0.62,0.67,0.78,0.76,0.82,0.73,0.7,0.16,0.19,0.17,1.0,0.87,0.72,0.74,0.67
ENSCCNT00000017610_ENSCCNG00000013374,0.7,0.67,0.73,0.7,0.81,0.73,0.72,0.76,0.71,0.69,0.74,0.81,0.79,0.24,0.27,0.25,0.87,1.0,0.8,0.83,0.74
ENSDORT00000001819_ENSDORG00000001812,0.72,0.69,0.73,0.72,0.77,0.73,0.72,0.77,0.66,0.68,0.67,0.77,0.75,0.23,0.26,0.23,0.72,0.8,1.0,0.82,0.85
ENSMOCT00000026591_ENSMOCG00000019684,0.8,0.78,0.84,0.8,0.86,0.83,0.82,0.86,0.74,0.75,0.77,0.83,0.81,0.22,0.24,0.22,0.74,0.83,0.82,1.0,0.9
ENSMOCT00000026593_ENSMOCG00000019684,0.75,0.72,0.76,0.75,0.8,0.75,0.75,0.79,0.69,0.7,0.7,0.8,0.77,0.19,0.23,0.2,0.67,0.74,0.85,0.9,1.0
