ENSRROP00000017235	ENSRROG00000032733	Rhinopithecus_roxellana
ENSCGRP00015037802	ENSCGRG00015028301	Cricetulus_griseus_CriGri-PICR
ENSNLEP00000021274	ENSNLEG00000017528	Nomascus_leucogenys
ENSHHUP00000047739	ENSHHUG00000028999	Hucho_hucho
ENSMMUP00000011375	ENSMMUG00000008674	Macaca_mulatta
ENSCAPP00000000723	ENSCAPG00000000841	Cavia_aperea
ENSECRP00000015617	ENSECRG00000010422	Erpetoichthys_calabaricus
ENSORLP00015020857	ENSORLG00015022041	Oryzias_latipes_ASM223469v1
ENSTGEP00000016821	ENSTGEG00000013601	Theropithecus_gelada
ENSSLDP00000026705	ENSSLDG00000020751	Seriola_lalandi_dorsalis
ENSEEUP00000007046	ENSEEUG00000007739	Erinaceus_europaeus
ENSSBOP00000036055	ENSSBOG00000034171	Saimiri_boliviensis_boliviensis
ENSGAGP00000009193	ENSGAGG00000007257	Gopherus_agassizii
ENSCABP00000007991	ENSCABG00000006018	Chelonoidis_abingdonii
ENSSMRP00000015580	ENSSMRG00000012114	Salvator_merianae
ENSNMEP00000021792	ENSNMEG00000018619	Numida_meleagris
ENSGGOP00000008858	ENSGGOG00000009056	Gorilla_gorilla
ENSMFAP00000027131	ENSMFAG00000044988	Macaca_fascicularis
ENSDCDP00000041242	ENSDCDG00000026931	Denticeps_clupeoides
ENSPANP00000001790	ENSPANG00000004176	Papio_anubis
ENSCCNP00000019992	ENSCCNG00000020005	Castor_canadensis
ENSMUGP00000027608	ENSMUGG00000022930	Meriones_unguiculatus
ENSBIXP00000044267	ENSBIXG00000028438	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPVIP00000019658	ENSPVIG00000014978	Pogona_vitticeps
ENSAPLP00000022462	ENSAPLG00000024486	Anas_platyrhynchos_platyrhynchos
ENSSHAP00000002508	ENSSHAG00000002221	Sarcophilus_harrisii
ENSMOCP00000008987	ENSMOCG00000009064	Microtus_ochrogaster
ENSFDAP00000001685	ENSFDAG00000011595	Fukomys_damarensis
ENSPPRP00000004088	ENSPPRG00000000308	Panthera_pardus
ENSPPYP00000005299	ENSPPYG00000004651	Pongo_abelii
ENSTSYP00000031476	ENSTSYG00000030861	Carlito_syrichta
ENSHGLP00100024807	ENSHGLG00100018219	Heterocephalus_glaber_HetGla_1.0
ENSLSDP00000020985	ENSLSDG00000014852	Lonchura_striata_domestica
ENSPSMP00000034851	ENSPSMG00000024003	Prolemur_simus
ENSTTRP00000006705	ENSTTRG00000007097	Tursiops_truncatus
ENSMAUP00000008121	ENSMAUG00000009609	Mesocricetus_auratus
ENSP00000266980	ENSG00000139540	Homo_sapiens
ENSBIXP00005033892	ENSBIXG00005006435	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
MGP_CAROLIEiJ_P0025146	MGP_CAROLIEiJ_G0015935	Mus_caroli_strain_CAROLI_EIJ
ENSCPGP00000015479	ENSCPGG00000010907	Calidris_pygmaea
ENSRBIP00000018999	ENSRBIG00000033495	Rhinopithecus_bieti
ENSSDAP00000006324	ENSSDAG00000005838	Spermophilus_dauricus
ENSPCOP00000002349	ENSPCOG00000007171	Propithecus_coquereli
ENSCJAP00000021054	ENSCJAG00000011444	Callithrix_jacchus
ENSLACP00000004214	ENSLACG00000003749	Latimeria_chalumnae
ENSBMUP00000023454	ENSBMUG00000017582	Bos_mutus
ENSFCAP00000011148	ENSFCAG00000012016	Felis_catus
ENSMNEP00000014281	ENSMNEG00000031313	Macaca_nemestrina
ENSMEUP00000004095	ENSMEUG00000004494	Notamacropus_eugenii
ENSMICP00000013207	ENSMICG00000014494	Microcebus_murinus
ENSDNOP00000021854	ENSDNOG00000046490	Dasypus_novemcinctus
ENSPCAP00000008745	ENSPCAG00000009355	Procavia_capensis
ENSSTOP00000014266	ENSSTOG00000015941	Ictidomys_tridecemlineatus
ENSMLEP00000038534	ENSMLEG00000043323	Mandrillus_leucophaeus
ENSPPAP00000040054	ENSPPAG00000042690	Pan_paniscus
ENSAMXP00000054339	ENSAMXG00000030438	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000123704	ENSDARG00000079525	Danio_rerio
ENSOGAP00000001358	ENSOGAG00000001526	Otolemur_garnettii
ENSELUP00000001947	ENSELUG00000003346	Esox_lucius
ENSBBBP00000004780	ENSBBBG00000002851	Bison_bison_bison
ENSCGRP00001003585	ENSCGRG00001004371	Cricetulus_griseus_CHOK1GS_HDv1
ENSAPLP00000026650	ENSAPLG00000026416	Anas_platyrhynchos_platyrhynchos
ENSCPBP00000018994	ENSCPBG00000013770	Chrysemys_picta_bellii
ENSCPRP00005008652	ENSCPRG00005006191	Crocodylus_porosus
ENSOCUP00000038822	ENSOCUG00000007204	Oryctolagus_cuniculus
ENSMUSP00000131736	ENSMUSG00000039878	Mus_musculus_strain_reference_(CL57BL6)
ENSUAMP00000035899	ENSUAMG00000027230	Ursus_americanus
ENSOARP00000010388	ENSOARG00000009687	Ovis_aries
ENSCAFP00020031974	ENSCAFG00020024919	Canis_lupus_dingo
ENSVVUP00000030069	ENSVVUG00000021961	Vulpes_vulpes
ENSLAFP00000000158	ENSLAFG00000000195	Loxodonta_africana
ENSTBEP00000001921	ENSTBEG00000002213	Tupaia_belangeri
ENSCLAP00000016972	ENSCLAG00000011646	Chinchilla_lanigera
ENSNSUP00000002931	ENSNSUG00000002410	Notechis_scutatus
ENSIPUP00000017348	ENSIPUG00000011762	Ictalurus_punctatus
ENSCANP00000039187	ENSCANG00000043259	Colobus_angolensis_palliatus
ENSCATP00000035607	ENSCATG00000040652	Cercocebus_atys
ENSPTRP00000008655	ENSPTRG00000005084	Pan_troglodytes
ENSCGRP00000021446	ENSCGRG00000015573	Cricetulus_griseus_CriGri_1.0
ENSABRP00000014746	ENSABRG00000012996	Anser_brachyrhynchus
ENSXETP00000040578	ENSXETG00000010432	Xenopus_tropicalis
ENSBTAP00000072146	ENSBTAG00000002799	Bos_taurus
ENSEEEP00000006667	ENSEEEG00000003533	Electrophorus_electricus
ENSVPAP00000006792	ENSVPAG00000007304	Vicugna_pacos
ENSUMAP00000023047	ENSUMAG00000016818	Ursus_maritimus
MGP_PahariEiJ_P0087525	MGP_PahariEiJ_G0031150	Mus_pahari_strain_PAHARI_EIJ
ENSODEP00000006723	ENSODEG00000005029	Octodon_degus
ENSLCOP00000015314	ENSLCOG00000010931	Lepidothrix_coronata
ENSANAP00000040322	ENSANAG00000037530	Aotus_nancymaae
ENSDCDP00000047925	ENSDCDG00000029763	Denticeps_clupeoides
ENSNVIP00000029260	ENSNVIG00000022541	Neovison_vison
ENSEEEP00000002835	ENSEEEG00000001624	Electrophorus_electricus
ENSACAP00000018576	ENSACAG00000007284	Anolis_carolinensis
ENSPMJP00000004807	ENSPMJG00000004140	Parus_major	ENSPMJT00000006727
ENSDORP00000012167	ENSDORG00000012941	Dipodomys_ordii
ENSMLUP00000006082	ENSMLUG00000006654	Myotis_lucifugus
ENSPKIP00000039415	ENSPKIG00000016771	Paramormyrops_kingsleyae
ENSCPOP00000018167	ENSCPOG00000023730	Cavia_porcellus
ENSOPRP00000001250	ENSOPRG00000001356	Ochotona_princeps
ENSVURP00010030973	ENSVURG00010023688	Vombatus_ursinus
ENSECAP00000006839	ENSECAG00000008841	Equus_caballus
ENSPTIP00000010566	ENSPTIG00000011295	Panthera_tigris_altaica
ENSRNOP00000042922	ENSRNOG00000033361	Rattus_norvegicus
ENSOANP00000012745	ENSOANG00000008015	Ornithorhynchus_anatinus
ENSCHIP00000025575	ENSCHIG00000022298	Capra_hircus
ENSHHUP00000057434	ENSHHUG00000034233	Hucho_hucho
ENSUPAP00010019823	ENSUPAG00010015699	Urocitellus_parryii
ENSOANP00000031871	ENSOANG00000029651	Ornithorhynchus_anatinus
ENSAMXP00000048572	ENSAMXG00000042975	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMEP00000003847	ENSAMEG00000003645	Ailuropoda_melanoleuca
ENSCSAP00000001511	ENSCSAG00000005194	Chlorocebus_sabaeus
ENSPCIP00000033195	ENSPCIG00000024648	Phascolarctos_cinereus
ENSLOCP00000005497	ENSLOCG00000004591	Lepisosteus_oculatus
ENSJJAP00000006233	ENSJJAG00000010955	Jaculus_jaculus
ENSPNAP00000036652	ENSPNAG00000027714	Pygocentrus_nattereri
ENSXETP00000049915	ENSXETG00000019786	Xenopus_tropicalis
MGP_SPRETEiJ_P0026435	MGP_SPRETEiJ_G0016760	Mus_spretus_strain_SPRET/EiJ
ENSSFOP00015034163	ENSSFOG00015021738	Scleropages_formosus
ENSSSCP00000043904	ENSSSCG00000000385	Sus_scrofa_strain_reference
ENSMMMP00000015418	ENSMMMG00000013736	Marmota_marmota_marmota
ENSNGAP00000000360	ENSNGAG00000000282	Nannospalax_galili
ENSMPUP00000001296	ENSMPUG00000001307	Mustela_putorius_furo
ENSHGLP00000026574	ENSHGLG00000018904	Heterocephalus_glaber_HetGla_female_1.0
ENSMSIP00000009585	ENSMSIG00000008443	Mus_spicilegus
ENSCCAP00000040320	ENSCCAG00000037965	Cebus_capucinus_imitator
ENSETEP00000012634	ENSETEG00000015581	Echinops_telfairi
ENSPVAP00000007156	ENSPVAG00000007580	Pteropus_vampyrus
ENSPEMP00000017988	ENSPEMG00000016720	Peromyscus_maniculatus_bairdii
ENSEASP00005006648	ENSEASG00005004911	Equus_asinus_asinus
