colobus_angolensis_palliatus ENSCANG00000038975
piliocolobus_tephrosceles ENSPTEG00000013527
rhinopithecus_roxellana ENSRROG00000044484
rhinopithecus_bieti ENSRBIG00000033617
macaca_nemestrina ENSMNEG00000033960
macaca_fascicularis ENSMFAG00000000747
papio_anubis ENSPANG00000029567
cercocebus_atys ENSCATG00000032738
mandrillus_leucophaeus ENSMLEG00000030377
pan_troglodytes ENSPTRG00000044089
pan_troglodytes ENSPTRG00000044286
pan_paniscus ENSPPAG00000036990
gorilla_gorilla ENSGGOG00000037087
nomascus_leucogenys ENSNLEG00000007693
