	FBtr0100552	FBtr0070714	K06C4.17.1	FBtr0070713	FBtr0345320	FBtr0100551
FBtr0100552	1.0	1.0	0.11151079136690643	1.0	1.0	1.0
FBtr0070714	1.0	1.0	0.11151079136690643	1.0	1.0	1.0
K06C4.17.1	0.11151079136690643	0.11151079136690643	1.0	0.11151079136690643	0.11151079136690643	0.11151079136690643
FBtr0070713	1.0	1.0	0.11151079136690643	1.0	1.0	1.0
FBtr0345320	1.0	1.0	0.11151079136690643	1.0	1.0	1.0
FBtr0100551	1.0	1.0	0.11151079136690643	1.0	1.0	1.0
