pygocentrus_nattereri ENSPNAG00000002083
astyanax_mexicanus ENSAMXG00000025181
ictalurus_punctatus ENSIPUG00000024446
scleropages_formosus ENSSFOG00015001169
lepisosteus_oculatus ENSLOCG00000017941
paramormyrops_kingsleyae ENSPKIG00000007891
anabas_testudineus ENSATEG00000024386
mastacembelus_armatus ENSMAMG00000006397
monopterus_albus ENSMALG00000019155
scophthalmus_maximus ENSSMAG00000005551
cynoglossus_semilaevis ENSCSEG00000004404
seriola_lalandi_dorsalis ENSSLDG00000006141
seriola_dumerili ENSSDUG00000002872
gasterosteus_aculeatus ENSGACG00000000411
labrus_bergylta ENSLBEG00000021849
tetraodon_nigroviridis ENSTNIG00000007293
takifugu_rubripes ENSTRUG00000019667
mola_mola ENSMMOG00000004568
amphiprion_ocellaris ENSAOCG00000018513
amphiprion_percula ENSAPEG00000007577
acanthochromis_polyacanthus ENSAPOG00000000650
stegastes_partitus ENSSPAG00000001402
pundamilia_nyererei ENSPNYG00000018795
haplochromis_burtoni ENSHBUG00000005685
maylandia_zebra ENSMZEG00005001224
neolamprologus_brichardi ENSNBRG00000012032
oreochromis_niloticus ENSONIG00000019276
amphilophus_citrinellus ENSACIG00000022870
xiphophorus_maculatus ENSXMAG00000003660
xiphophorus_couchianus ENSXCOG00000018464
poecilia_latipinna ENSPLAG00000005494
poecilia_latipinna ENSPLAG00000005570
poecilia_formosa ENSPFOG00000016452
poecilia_formosa ENSPFOG00000016459
poecilia_mexicana ENSPMEG00000017641
poecilia_mexicana ENSPMEG00000004609
poecilia_reticulata ENSPREG00000012900
gambusia_affinis ENSGAFG00000004451
fundulus_heteroclitus ENSFHEG00000021744
cyprinodon_variegatus ENSCVAG00000006834
kryptolebias_marmoratus ENSKMAG00000014955
oryzias_latipes ENSORLG00000015668
oryzias_latipes_asm223469v1 ENSORLG00015010779
oryzias_latipes ENSORLG00020015630
oryzias_melastigma ENSOMEG00000020261
hippocampus_comes ENSHCOG00000007918
periophthalmus_magnuspinnatus ENSPMGG00000009176
gadus_morhua ENSGMOG00000015012
esox_lucius ENSELUG00000023853
lepidothrix_coronata ENSLCOG00000002522
manacus_vitellinus ENSMVIG00005018281
lonchura_striata_domestica ENSLSDG00000010468
taeniopygia_guttata ENSTGUG00000017481
serinus_canaria ENSSCAG00000007135
junco_hyemalis ENSJHYG00000001604
ficedula_albicollis ENSFALG00000014551
parus_major ENSPMJG00000017025
cyanistes_caeruleus ENSCCEG00000017751
calidris_pygmaea ENSCPGG00000016799
calidris_pugnax ENSCPUG00000016195
melopsittacus_undulatus ENSMUNG00000004399
anser_brachyrhynchus ENSABRG00000012364
anas_platyrhynchos_platyrhynchos ENSAPLG00000013110
gallus_gallus ENSGALG00000000639
coturnix_japonica ENSCJPG00005010010
meleagris_gallopavo ENSMGAG00000015661
numida_meleagris ENSNMEG00000009258
apteryx_owenii ENSAOWG00000010146
