myotis_lucifugus ENSMLUG00000025629
pteropus_vampyrus ENSPVAG00000011744
neovison_vison ENSNVIG00000022035
canis_lupus ENSCAFG00000004120
ailuropoda_melanoleuca ENSAMEG00000017952
panthera_tigris ENSPTIG00000013001
panthera_pardus ENSPPRG00000024505
felis_catus ENSFCAG00000042791
bos_taurus ENSBTAG00000001527
bos_mutus ENSBMUG00000017427
bison_bison ENSBBBG00000007992
ovis_aries ENSOARG00000010570
tursiops_truncatus ENSTTRG00000006017
heterocephalus_glaber ENSHGLG00000009220
heterocephalus_glaber ENSHGLG00100012030
fukomys_damarensis ENSFDAG00000019608
cavia_porcellus ENSCPOG00000040512
cavia_aperea ENSCAPG00000016565
chinchilla_lanigera ENSCLAG00000001421
octodon_degus ENSODEG00000013304
cricetulus_griseus ENSCGRG00000014599
cricetulus_griseus ENSCGRG00001021552
cricetulus_griseus ENSCGRG00015027655
mesocricetus_auratus ENSMAUG00000002347
microtus_ochrogaster ENSMOCG00000018574
peromyscus_maniculatus ENSPEMG00000015571
mus_spicilegus ENSMSIG00000029605
mus_spretus MGP_SPRETEiJ_G0029229
mus_musculus ENSMUSG00000029829
mus_caroli MGP_CAROLIEiJ_G0028230
mus_pahari MGP_PahariEiJ_G0021987
rattus_norvegicus ENSRNOG00000013616
meriones_unguiculatus ENSMUGG00000026740
nannospalax_galili ENSNGAG00000010544
dipodomys_ordii ENSDORG00000011502
castor_canadensis ENSCCNG00000003493
urocitellus_parryii ENSUPAG00010018529
marmota_marmota ENSMMMG00000011972
ictidomys_tridecemlineatus ENSSTOG00000024891
ochotona_princeps ENSOPRG00000018355
oryctolagus_cuniculus ENSOCUG00000021465
pan_troglodytes ENSPTRG00000030664
pan_paniscus ENSPPAG00000000956
gorilla_gorilla ENSGGOG00000025950
homo_sapiens ENSG00000214128
pongo_abelii ENSPPYG00000018041
nomascus_leucogenys ENSNLEG00000028210
rhinopithecus_bieti ENSRBIG00000041114
rhinopithecus_roxellana ENSRROG00000009412
piliocolobus_tephrosceles ENSPTEG00000036855
macaca_nemestrina ENSMNEG00000041279
macaca_mulatta ENSMMUG00000047017
macaca_fascicularis ENSMFAG00000001489
cercocebus_atys ENSCATG00000031012
mandrillus_leucophaeus ENSMLEG00000029406
chlorocebus_sabaeus ENSCSAG00000008699
papio_anubis ENSPANG00000019021
theropithecus_gelada ENSTGEG00000026136
cebus_capucinus ENSCCAG00000027190
saimiri_boliviensis ENSSBOG00000022765
callithrix_jacchus ENSCJAG00000038524
aotus_nancymaae ENSANAG00000025447
carlito_syrichta ENSTSYG00000008448
propithecus_coquereli ENSPCOG00000007350
microcebus_murinus ENSMICG00000036044
prolemur_simus ENSPSMG00000019688
otolemur_garnettii ENSOGAG00000032782
procavia_capensis ENSPCAG00000003001
loxodonta_africana ENSLAFG00000020546
dasypus_novemcinctus ENSDNOG00000033739
choloepus_hoffmanni ENSCHOG00000008910
sarcophilus_harrisii ENSSHAG00000002673
sarcophilus_harrisii ENSSHAG00000000772
notamacropus_eugenii ENSMEUG00000004587
ornithorhynchus_anatinus ENSOANG00000030636
taeniopygia_guttata ENSTGUG00000011410
ficedula_albicollis ENSFALG00000009054
meleagris_gallopavo ENSMGAG00000013128
anolis_carolinensis ENSACAG00000017016
