pan_troglodytes ENSPTRG00000022859
pan_paniscus ENSPPAG00000037027
homo_sapiens ENSG00000196812
gorilla_gorilla ENSGGOG00000023909
pongo_abelii ENSPPYG00000016364
nomascus_leucogenys ENSNLEG00000004468
mandrillus_leucophaeus ENSMLEG00000040583
theropithecus_gelada ENSTGEG00000003243
papio_anubis ENSPANG00000012450
macaca_nemestrina ENSMNEG00000031498
macaca_mulatta ENSMMUG00000003331
macaca_fascicularis ENSMFAG00000032598
cercocebus_atys ENSCATG00000033224
chlorocebus_sabaeus ENSCSAG00000007967
rhinopithecus_roxellana ENSRROG00000042698
rhinopithecus_bieti ENSRBIG00000035420
colobus_angolensis_palliatus ENSCANG00000023109
piliocolobus_tephrosceles ENSPTEG00000036774
saimiri_boliviensis_boliviensis ENSSBOG00000028327
cebus_capucinus_imitator ENSCCAG00000025179
callithrix_jacchus ENSCJAG00000018686
aotus_nancymaae ENSANAG00000028119
carlito_syrichta ENSTSYG00000000670
prolemur_simus ENSPSMG00000015642
microcebus_murinus ENSMICG00000029324
propithecus_coquereli ENSPCOG00000013536
spermophilus_dauricus ENSSDAG00000022604
urocitellus_parryii ENSUPAG00010011546
castor_canadensis ENSCCNG00000001375
tupaia_belangeri ENSTBEG00000005011
neovison_vison ENSNVIG00000014056
mustela_putorius_furo ENSMPUG00000001309
ursus_americanus ENSUAMG00000021374
ursus_maritimus ENSUMAG00000019407
ailuropoda_melanoleuca ENSAMEG00000003195
canis_lupus_familiaris ENSCAFG00000032617
canis_lupus_dingo ENSCAFG00020002939
vulpes_vulpes ENSVVUG00000020217
felis_catus ENSFCAG00000003620
panthera_pardus ENSPPRG00000013053
myotis_lucifugus ENSMLUG00000016976
sorex_araneus ENSSARG00000003121
equus_caballus ENSECAG00000009944
vicugna_pacos ENSVPAG00000003998
sus_scrofa ENSSSCG00000022664
bos_mutus ENSBMUG00000007011
bos_taurus ENSBTAG00000031873
bison_bison_bison ENSBBBG00000003237
capra_hircus ENSCHIG00000012295
ovis_aries ENSOARG00000009088
tursiops_truncatus ENSTTRG00000013470
choloepus_hoffmanni ENSCHOG00000008635
dasypus_novemcinctus ENSDNOG00000013588
phascolarctos_cinereus ENSPCIG00000016254
phascolarctos_cinereus ENSPCIG00000016591
notamacropus_eugenii ENSMEUG00000014536
phascolarctos_cinereus ENSPCIG00000016634
sarcophilus_harrisii ENSSHAG00000005434
monodelphis_domestica ENSMODG00000007971
notamacropus_eugenii ENSMEUG00000000131
phascolarctos_cinereus ENSPCIG00000016251
sarcophilus_harrisii ENSSHAG00000002495
monodelphis_domestica ENSMODG00000007492
