serinus_canaria ENSSCAG00000000512
taeniopygia_guttata ENSTGUG00000002189
zonotrichia_albicollis ENSZALG00000012373
junco_hyemalis ENSJHYG00000001342
ficedula_albicollis ENSFALG00000013568
parus_major ENSPMJG00000002859
cyanistes_caeruleus ENSCCEG00000012897
lepidothrix_coronata ENSLCOG00000013409
melopsittacus_undulatus ENSMUNG00000006782
calidris_pygmaea ENSCPGG00000000622
calidris_pugnax ENSCPUG00000002954
gallus_gallus ENSGALG00000049137
coturnix_japonica ENSCJPG00005005971
meleagris_gallopavo ENSMGAG00000007668
numida_meleagris ENSNMEG00000013140
anas_platyrhynchos_platyrhynchos ENSAPLG00000021416
anser_brachyrhynchus ENSABRG00000007262
apteryx_owenii ENSAOWG00000007650
apteryx_haastii ENSAHAG00000012001
apteryx_rowi ENSARWG00000006059
nothoprocta_perdicaria ENSNPEG00000016073
dromaius_novaehollandiae ENSDNVG00000015030
crocodylus_porosus ENSCPRG00005011435
chelonoidis_abingdonii ENSCABG00000000694
gopherus_agassizii ENSGAGG00000008453
chrysemys_picta_bellii ENSCPBG00000023409
pelodiscus_sinensis ENSPSIG00000016968
pogona_vitticeps ENSPVIG00000017622
notechis_scutatus ENSNSUG00000000461
salvator_merianae ENSSMRG00000022701
phascolarctos_cinereus ENSPCIG00000001580
notamacropus_eugenii ENSMEUG00000012460
sarcophilus_harrisii ENSSHAG00000011477
monodelphis_domestica ENSMODG00000003742
gorilla_gorilla ENSGGOG00000027511
homo_sapiens ENSG00000171984
pan_paniscus ENSPPAG00000003689
pan_troglodytes ENSPTRG00000013229
pongo_abelii ENSPPYG00000010688
nomascus_leucogenys ENSNLEG00000013942
macaca_nemestrina ENSMNEG00000041307
macaca_fascicularis ENSMFAG00000040864
mandrillus_leucophaeus ENSMLEG00000031251
cercocebus_atys ENSCATG00000042365
theropithecus_gelada ENSTGEG00000014046
papio_anubis ENSPANG00000018438
chlorocebus_sabaeus ENSCSAG00000013442
piliocolobus_tephrosceles ENSPTEG00000005068
colobus_angolensis_palliatus ENSCANG00000022997
rhinopithecus_roxellana ENSRROG00000042075
rhinopithecus_bieti ENSRBIG00000025353
saimiri_boliviensis_boliviensis ENSSBOG00000031220
cebus_capucinus ENSCCAG00000029838
callithrix_jacchus ENSCJAG00000021294
aotus_nancymaae ENSANAG00000029247
carlito_syrichta ENSTSYG00000036377
propithecus_coquereli ENSPCOG00000019063
microcebus_murinus ENSMICG00000042354
prolemur_simus ENSPSMG00000010405
tupaia_belangeri ENSTBEG00000002331
tupaia_belangeri ENSTBEG00000016025
dipodomys_ordii ENSDORG00000024171
castor_canadensis ENSCCNG00000003201
urocitellus_parryii ENSUPAG00010001091
ictidomys_tridecemlineatus ENSSTOG00000030849
spermophilus_dauricus ENSSDAG00000000457
marmota_marmota_marmota ENSMMMG00000000588
mus_spicilegus ENSMSIG00000020536
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024342
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025262
mus_musculus ENSMUSG00000044991
mus_pahari MGP_PahariEiJ_G0025787
rattus_norvegicus ENSRNOG00000021268
meriones_unguiculatus ENSMUGG00000017035
cricetulus_griseus_crigri-picr ENSCGRG00015010789
cricetulus_griseus_chok1gshd ENSCGRG00001010212
cricetulus_griseus_crigri ENSCGRG00000006629
mesocricetus_auratus ENSMAUG00000020234
microtus_ochrogaster ENSMOCG00000005816
peromyscus_maniculatus_bairdii ENSPEMG00000026957
nannospalax_galili ENSNGAG00000003233
heterocephalus_glaber_female ENSHGLG00000016281
heterocephalus_glaber_male ENSHGLG00100018110
fukomys_damarensis ENSFDAG00000014674
chinchilla_lanigera ENSCLAG00000014015
octodon_degus ENSODEG00000005610
cavia_porcellus ENSCPOG00000032715
oryctolagus_cuniculus ENSOCUG00000009313
ochotona_princeps ENSOPRG00000010089
choloepus_hoffmanni ENSCHOG00000013883
ailuropoda_melanoleuca ENSAMEG00000010202
ursus_americanus ENSUAMG00000008682
neovison_vison ENSNVIG00000018795
canis_lupus_familiaris ENSCAFG00000005993
canis_lupus_dingo ENSCAFG00020000822
vulpes_vulpes ENSVVUG00000023376
panthera_pardus ENSPPRG00000021259
panthera_tigris_altaica ENSPTIG00000009460
felis_catus ENSFCAG00000026369
equus_caballus ENSECAG00000004657
bison_bison_bison ENSBBBG00000005471
bos_taurus ENSBTAG00000014048
bos_mutus ENSBMUG00000015792
capra_hircus ENSCHIG00000014936
ovis_aries ENSOARG00000017893
tursiops_truncatus ENSTTRG00000000912
sus_scrofa ENSSSCG00000039269
pteropus_vampyrus ENSPVAG00000013212
myotis_lucifugus ENSMLUG00000007034
erinaceus_europaeus ENSEEUG00000003998
sorex_araneus ENSSARG00000012254
echinops_telfairi ENSETEG00000003485
procavia_capensis ENSPCAG00000012012
dasypus_novemcinctus ENSDNOG00000044502
