oryzias_latipes_asm223467v1 ENSORLG00000003715
oryzias_latipes_asm223469v1 ENSORLG00015018477
oryzias_latipes_asm223471v1 ENSORLG00020020170
cynoglossus_semilaevis ENSCSEG00000013890
fundulus_heteroclitus ENSFHEG00000014402
cyprinodon_variegatus ENSCVAG00000008340
poecilia_mexicana ENSPMEG00000002962
poecilia_formosa ENSPFOG00000003508
poecilia_latipinna ENSPLAG00000016030
poecilia_reticulata ENSPREG00000006540
xiphophorus_couchianus ENSXCOG00000017274
xiphophorus_maculatus ENSXMAG00000002810
gambusia_affinis ENSGAFG00000019814
kryptolebias_marmoratus ENSKMAG00000005082
seriola_dumerili ENSSDUG00000009584
seriola_lalandi_dorsalis ENSSLDG00000002308
takifugu_rubripes ENSTRUG00000004664
tetraodon_nigroviridis ENSTNIG00000010334
mola_mola ENSMMOG00000004473
amphiprion_ocellaris ENSAOCG00000011011
amphiprion_percula ENSAPEG00000017201
acanthochromis_polyacanthus ENSAPOG00000007285
stegastes_partitus ENSSPAG00000003840
pundamilia_nyererei ENSPNYG00000017241
haplochromis_burtoni ENSHBUG00000021817
astatotilapia_calliptera ENSACLG00000026763
maylandia_zebra ENSMZEG00005000749
neolamprologus_brichardi ENSNBRG00000021607
oreochromis_niloticus ENSONIG00000011917
amphilophus_citrinellus ENSACIG00000018808
labrus_bergylta ENSLBEG00000015723
gasterosteus_aculeatus ENSGACG00000014014
scophthalmus_maximus ENSSMAG00000002278
monopterus_albus ENSMALG00000008117
mastacembelus_armatus ENSMAMG00000005984
anabas_testudineus ENSATEG00000007035
hippocampus_comes ENSHCOG00000002429
periophthalmus_magnuspinnatus ENSPMGG00000014962
gadus_morhua ENSGMOG00000010626
esox_lucius ENSELUG00000009087
pygocentrus_nattereri ENSPNAG00000017750
astyanax_mexicanus ENSAMXG00000040520
ictalurus_punctatus ENSIPUG00000014348
danio_rerio ENSDARG00000053463
scleropages_formosus ENSSFOG00015010850
paramormyrops_kingsleyae ENSPKIG00000008240
lepisosteus_oculatus ENSLOCG00000006595
apteryx_haastii ENSAHAG00000000809
apteryx_owenii ENSAOWG00000002635
apteryx_rowi ENSARWG00000002942
dromaius_novaehollandiae ENSDNVG00000004504
nothoprocta_perdicaria ENSNPEG00000006721
anser_brachyrhynchus ENSABRG00000017145
anas_platyrhynchos_platyrhynchos ENSAPLG00000007460
meleagris_gallopavo ENSMGAG00000014449
coturnix_japonica ENSCJPG00005003378
gallus_gallus ENSGALG00000015480
numida_meleagris ENSNMEG00000010421
taeniopygia_guttata ENSTGUG00000013522
lonchura_striata_domestica ENSLSDG00000017858
serinus_canaria ENSSCAG00000012135
zonotrichia_albicollis ENSZALG00000014169
junco_hyemalis ENSJHYG00000003490
parus_major ENSPMJG00000012238
cyanistes_caeruleus ENSCCEG00000002704
ficedula_albicollis ENSFALG00000001505
manacus_vitellinus ENSMVIG00005005398
lepidothrix_coronata ENSLCOG00000008788
calidris_pygmaea ENSCPGG00000017445
