amphilophus_citrinellus ENSACIG00000012522
amphiprion_percula ENSAPEG00000020101
monopterus_albus ENSMALG00000014294
monopterus_albus ENSMALG00000006726
seriola_lalandi_dorsalis ENSSLDG00000007602
stegastes_partitus ENSSPAG00000012287
poecilia_latipinna ENSPLAG00000003666
poecilia_mexicana ENSPMEG00000016445
oryzias_latipes_asm223469v1 ENSORLG00015009651
oryzias_latipes ENSORLG00000023165
periophthalmus_magnuspinnatus ENSPMGG00000006047
anabas_testudineus ENSATEG00000017740
astyanax_mexicanus ENSAMXG00000035043
ictalurus_punctatus ENSIPUG00000016588
