esox_lucius ENSELUG00000003381
hucho_hucho ENSHHUG00000038023
takifugu_rubripes ENSTRUG00000023714
mola_mola ENSMMOG00000020350
periophthalmus_magnuspinnatus ENSPMGG00000003851
oryzias_latipes ENSORLG00015016448
oryzias_latipes ENSORLG00000027408
parambassis_ranga ENSPRNG00000022913
cynoglossus_semilaevis ENSCSEG00000000881
anabas_testudineus ENSATEG00000021890
mastacembelus_armatus ENSMAMG00000023035
monopterus_albus ENSMALG00000018081
seriola_dumerili ENSSDUG00000000763
seriola_lalandi ENSSLDG00000003338
scophthalmus_maximus ENSSMAG00000018929
lates_calcarifer ENSLCAG00010026024
larimichthys_crocea ENSLCRG00005016762
labrus_bergylta ENSLBEG00000003959
cottoperca_gobio ENSCGOG00000006685
amphiprion_ocellaris ENSAOCG00000023350
amphiprion_percula ENSAPEG00000011529
acanthochromis_polyacanthus ENSAPOG00000008364
gouania_willdenowi ENSGWIG00000005923
haplochromis_burtoni ENSHBUG00000008745
pundamilia_nyererei ENSPNYG00000010538
maylandia_zebra ENSMZEG00005011915
neolamprologus_brichardi ENSNBRG00000015995
oreochromis_niloticus ENSONIG00000015588
amphilophus_citrinellus ENSACIG00000011797
stegastes_partitus ENSSPAG00000020874
poecilia_mexicana ENSPMEG00000020587
poecilia_formosa ENSPFOG00000017149
poecilia_latipinna ENSPLAG00000014435
xiphophorus_couchianus ENSXCOG00000000790
xiphophorus_maculatus ENSXMAG00000023821
gambusia_affinis ENSGAFG00000006065
cyprinodon_variegatus ENSCVAG00000009965
fundulus_heteroclitus ENSFHEG00000018903
kryptolebias_marmoratus ENSKMAG00000006291
hippocampus_comes ENSHCOG00000017737
astyanax_mexicanus ENSAMXG00005022755
astyanax_mexicanus ENSAMXG00000040996
pygocentrus_nattereri ENSPNAG00000017175
electrophorus_electricus ENSEEEG00000020738
ictalurus_punctatus ENSIPUG00000007715
danio_rerio ENSDARG00000045797
scleropages_formosus ENSSFOG00015022179
paramormyrops_kingsleyae ENSPKIG00000016405
chelonoidis_abingdonii ENSCABG00000011515
gopherus_agassizii ENSGAGG00000003245
pelodiscus_sinensis ENSPSIG00000009827
apteryx_haastii ENSAHAG00000008757
apteryx_owenii ENSAOWG00000002766
apteryx_rowi ENSARWG00000007242
dromaius_novaehollandiae ENSDNVG00000007038
nothoprocta_perdicaria ENSNPEG00000015728
gallus_gallus ENSGALG00000030933
meleagris_gallopavo ENSMGAG00000012998
anser_brachyrhynchus ENSABRG00000005952
calidris_pygmaea ENSCPGG00000011150
melopsittacus_undulatus ENSMUNG00000001879
lonchura_striata ENSLSDG00000014753
taeniopygia_guttata ENSTGUG00000011180
junco_hyemalis ENSJHYG00000008984
parus_major ENSPMJG00000008838
cyanistes_caeruleus ENSCCEG00000008331
ficedula_albicollis ENSFALG00000000574
lepidothrix_coronata ENSLCOG00000009481
manacus_vitellinus ENSMVIG00005017638
anolis_carolinensis ENSACAG00000016187
salvator_merianae ENSSMRG00000015963
sphenodon_punctatus ENSSPUG00000001078
heterocephalus_glaber ENSHGLG00100006075
heterocephalus_glaber ENSHGLG00000011427
