,ENSPVIT00000024206_ENSPVIG00000014863,ENSPVIT00000024207_ENSPVIG00000014863,ENSSMRT00000013403_ENSSMRG00000009047,ENSSPUT00000022721_ENSSPUG00000016375,ENSABRT00000010572_ENSABRG00000006736
ENSPVIT00000024206_ENSPVIG00000014863,1.0,0.96,0.8,0.73,0.73
ENSPVIT00000024207_ENSPVIG00000014863,0.96,1.0,0.78,0.72,0.71
ENSSMRT00000013403_ENSSMRG00000009047,0.8,0.78,1.0,0.7,0.71
ENSSPUT00000022721_ENSSPUG00000016375,0.73,0.72,0.7,1.0,0.79
ENSABRT00000010572_ENSABRG00000006736,0.73,0.71,0.71,0.79,1.0
