ENSPTET00000015485 ENSPTEG00000011573
ENSRROT00000053142 ENSRROG00000038182
ENSTGET00000007917 ENSTGEG00000005392
ENSPPAT00000063901 ENSPPAG00000043120
ENSPPYT00000033219 ENSPPYG00000029410
ENSMFAT00000003645 ENSMFAG00000041991
ENSMNET00000061914 ENSMNEG00000041806
ENSTGET00000000286 ENSTGEG00000000235
ENSPANT00000049692 ENSPANG00000033754
ENSPPAT00000031915 ENSPPAG00000027860
ENSPTRT00000095267 ENSPTRG00000045810
ENSPTRT00000079446 ENSPTRG00000045810
ENSNLET00000052863 ENSNLEG00000030599
ENSGGOT00000009242 ENSGGOG00000009208
ENSPTRT00000107696 ENSPTRG00000043891
ENSPPYT00000021213 ENSPPYG00000018201
ENSPTET00000016932 ENSPTEG00000012650
