ENSLOCP00000015487	ENSLOCG00000012581	Lepisosteus_oculatus
ENSSLDP00000008546	ENSSLDG00000006784	Seriola_lalandi_dorsalis
ENSACAP00000004800	ENSACAG00000004928	Anolis_carolinensis
ENSPVIP00000005650	ENSPVIG00000004587	Pogona_vitticeps
ENSNSUP00000007942	ENSNSUG00000006194	Notechis_scutatus
ENSSPUP00000012494	ENSSPUG00000009602	Sphenodon_punctatus
ENSGAGP00000017379	ENSGAGG00000012928	Gopherus_agassizii
ENSCPBP00000009448	ENSCPBG00000007302	Chrysemys_picta_bellii
ENSPSIP00000006819	ENSPSIG00000006309	Pelodiscus_sinensis
ENSPSIP00000006383	ENSPSIG00000005911	Pelodiscus_sinensis
ENSCABP00000001318	ENSCABG00000001092	Chelonoidis_abingdonii
ENSSPUP00000012511	ENSSPUG00000009608	Sphenodon_punctatus
ENSVURP00010026494	ENSVURG00010020270	Vombatus_ursinus
ENSVURP00010019085	ENSVURG00010014539	Vombatus_ursinus
ENSPCIP00000014936	ENSPCIG00000011653	Phascolarctos_cinereus
ENSMEUP00000008294	ENSMEUG00000009091	Notamacropus_eugenii
ENSSHAP00000005951	ENSSHAG00000005187	Sarcophilus_harrisii
ENSMODP00000001864	ENSMODG00000001532	Monodelphis_domestica
ENSUAMP00000016141	ENSUAMG00000012863	Ursus_americanus
ENSUMAP00000019292	ENSUMAG00000014159	Ursus_maritimus
ENSAMEP00000013736	ENSAMEG00000013050	Ailuropoda_melanoleuca
ENSNVIP00000003741	ENSNVIG00000002971	Neovison_vison
ENSMPUP00000003532	ENSMPUG00000003562	Mustela_putorius_furo
ENSCAFP00020017407	ENSCAFG00020013931	Canis_lupus_dingo
ENSCAFP00000023320	ENSCAFG00000015851	Canis_lupus_familiaris
ENSVVUP00000035550	ENSVVUG00000025572	Vulpes_vulpes
ENSPTIP00000001011	ENSPTIG00000002659	Panthera_tigris_altaica
ENSPPRP00000000530	ENSPPRG00000024760	Panthera_pardus
ENSFCAP00000054300	ENSFCAG00000022550	Felis_catus
ENSEEUP00000010476	ENSEEUG00000011505	Erinaceus_europaeus
ENSSARP00000006511	ENSSARG00000007190	Sorex_araneus
ENSPVAP00000008449	ENSPVAG00000008955	Pteropus_vampyrus
ENSMLUP00000001168	ENSMLUG00000001277	Myotis_lucifugus
ENSBMUP00000004596	ENSBMUG00000003608	Bos_mutus
ENSBTAP00000043925	ENSBTAG00000032858	Bos_taurus
ENSBBBP00000022341	ENSBBBG00000004016	Bison_bison_bison
ENSCHIP00000005887	ENSCHIG00000009877	Capra_hircus
ENSOARP00000010997	ENSOARG00000010256	Ovis_aries
ENSTTRP00000015535	ENSTTRG00000016392	Tursiops_truncatus
ENSVPAP00000004111	ENSVPAG00000004425	Vicugna_pacos
ENSPSMP00000022655	ENSPSMG00000016025	Prolemur_simus
ENSMICP00000009489	ENSMICG00000047425	Microcebus_murinus
ENSPCOP00000002463	ENSPCOG00000007484	Propithecus_coquereli
ENSMNEP00000000503	ENSMNEG00000002410	Macaca_nemestrina
ENSMFAP00000031666	ENSMFAG00000036906	Macaca_fascicularis
ENSMMUP00000077808	ENSMMUG00000055336	Macaca_mulatta
ENSTGEP00000021304	ENSTGEG00000017175	Theropithecus_gelada
ENSPANP00000020234	ENSPANG00000022585	Papio_anubis
ENSCATP00000000392	ENSCATG00000002011	Cercocebus_atys
ENSMLEP00000012624	ENSMLEG00000030490	Mandrillus_leucophaeus
ENSCSAP00000005652	ENSCSAG00000009406	Chlorocebus_sabaeus
ENSPTEP00000000299	ENSPTEG00000000364	Piliocolobus_tephrosceles
ENSCANP00000010962	ENSCANG00000028887	Colobus_angolensis_palliatus
ENSRBIP00000006066	ENSRBIG00000025903	Rhinopithecus_bieti
ENSRROP00000040048	ENSRROG00000043316	Rhinopithecus_roxellana
ENSPTRP00000092215	ENSPTRG00000002683	Pan_troglodytes
ENSGGOP00000002677	ENSGGOG00000002717	Gorilla_gorilla
ENSPPAP00000002009	ENSPPAG00000009095	Pan_paniscus
ENSP00000361278	ENSG00000170788	Homo_sapiens
ENSPPYP00000002665	ENSPPYG00000002289	Pongo_abelii
ENSNLEP00000013014	ENSNLEG00000010716	Nomascus_leucogenys
ENSCCAP00000016944	ENSCCAG00000026278	Cebus_capucinus_imitator
ENSCJAP00000006609	ENSCJAG00000003641	Callithrix_jacchus
ENSSBOP00000005566	ENSSBOG00000019659	Saimiri_boliviensis_boliviensis
ENSANAP00000036337	ENSANAG00000035683	Aotus_nancymaae
ENSHGLP00000008102	ENSHGLG00000005866	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100000136	ENSHGLG00100000125	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005851	ENSFDAG00000014748	Fukomys_damarensis
ENSCLAP00000000112	ENSCLAG00000000126	Chinchilla_lanigera
ENSODEP00000014800	ENSODEG00000010939	Octodon_degus
ENSCPOP00000006307	ENSCPOG00000006995	Cavia_porcellus
ENSTSYP00000000007	ENSTSYG00000000007	Carlito_syrichta
ENSOGAP00000003587	ENSOGAG00000004027	Otolemur_garnettii
ENSSTOP00000011517	ENSSTOG00000012858	Ictidomys_tridecemlineatus
ENSUPAP00010002764	ENSUPAG00010002305	Urocitellus_parryii
ENSUPAP00010010993	ENSUPAG00010008883	Urocitellus_parryii
ENSMMMP00000012158	ENSMMMG00000010873	Marmota_marmota_marmota
ENSCGRP00001001281	ENSCGRG00001000992	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015022714	ENSCGRG00015017254	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000019065	ENSCGRG00000013884	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000003721	ENSMAUG00000004246	Mesocricetus_auratus
ENSMOCP00000008659	ENSMOCG00000008679	Microtus_ochrogaster
ENSPEMP00000013513	ENSPEMG00000013569	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0037999	MGP_SPRETEiJ_G0020027	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000030322	ENSMSIG00000025391	Mus_spicilegus
MGP_CAROLIEiJ_P0036289	MGP_CAROLIEiJ_G0019141	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000139412	ENSMUSG00000021790	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0084394	MGP_PahariEiJ_G0030157	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000014862	ENSRNOG00000011165	Rattus_norvegicus
ENSMUGP00000008157	ENSMUGG00000007383	Meriones_unguiculatus
ENSNGAP00000014954	ENSNGAG00000016125	Nannospalax_galili
ENSDORP00000006238	ENSDORG00000006656	Dipodomys_ordii
ENSOCUP00000027158	ENSOCUG00000029549	Oryctolagus_cuniculus
ENSTBEP00000013632	ENSTBEG00000015714	Tupaia_belangeri
ENSJJAP00000014711	ENSJJAG00000017106	Jaculus_jaculus
ENSEASP00005029231	ENSEASG00005019893	Equus_asinus_asinus
ENSECAP00000037367	ENSECAG00000035666	Equus_caballus
ENSDNOP00000012727	ENSDNOG00000016410	Dasypus_novemcinctus
ENSLAFP00000015598	ENSLAFG00000018605	Loxodonta_africana
ENSPCAP00000003601	ENSPCAG00000003879	Procavia_capensis
ENSETEP00000014194	ENSETEG00000017479	Echinops_telfairi
ENSOANP00000006541	ENSOANG00000004121	Ornithorhynchus_anatinus
