,ENSAOWT00000007354,ENSMVIT00005011692,ENSPSIT00000014204,ENSPMJT00000006938,ENSSMRT00000008579,ENSJHYT00000003851,ENSCABT00000029879,ENSCPUT00000004652,ENSPEMT00000017645,ENSDNVT00000001153,ENSCJPT00005001615,ENSMUNT00000008898,ENSCGRT00001018808,ENSMOCT00000015894,ENSAPLT00000009343,ENSCPGT00000015157,ENSABRT00000031445,ENSCPGT00000015172,ENSPVIT00000039503,ENSAPLT00000043587,ENSPVIT00000039505,ENSPVIT00000039506,ENSNMET00000027041,ENSNMET00000027040,ENSAHAT00000000705,ENSMVIT00005011686,ENSGALT00000092088,ENSACAT00000016896,ENSCGRT00000002622,ENSCGRT00000002623,ENSSPUT00000019084,ENSARWT00000002375,ENSCPUT00000004660,ENSGAGT00000034368,ENSFALT00000005491,ENSNPET00000015276,ENSMOCT00000015888,ENSLSDT00000022524,ENSCPRT00005019774,ENSCPRT00005019779,ENSLSDT00000022521,ENSMGAT00000004447,ENSCCET00000008373,ENSLCOT00000013880,ENSGALT00000006810,ENSNSUT00000021502,ENSZALT00000008017,ENSCCET00000008379,ENSSCAT00000019952,ENSCPBT00000045461
ENSAOWT00000007354,1.0,0.908808864265928,0.8409953135460835,0.9060075371314564,0.7787838139950816,0.8847300430606161,0.8571428571428571,0.9203215510107577,0.7507125630344222,0.9621820615796519,0.918133214524393,0.9262431861163645,0.7495049504950495,0.7738023044269254,0.9223010418975837,0.9187588820464235,0.9225235196458218,0.9202842233818141,0.7751401646188715,0.9289800995024876,0.7751401646188715,0.7739771965124078,0.9120758345926638,0.9061684460260973,0.9992176148429641,0.9127707420996568,0.914931377188831,0.7737536329085625,0.7495049504950495,0.771586037966932,0.8357342007434945,0.9964253798033958,0.9217468410551984,0.8582606751620836,0.8819452084937837,0.9294836202109938,0.7564903056194545,0.8948647156267255,0.8420523138832998,0.8390790886317547,0.8921880523153057,0.9044656742946012,0.9002479046157479,0.9036717540367175,0.9111947735577456,0.7492734182875028,0.8793164407778432,0.9025011066843737,0.8890854804821409,0.8593089734029331
ENSMVIT00005011692,0.908808864265928,1.0,0.8333152938629722,0.9409145215596828,0.7711873579391709,0.927680247322513,0.8414077775363893,0.9342711904480435,0.7658751477382615,0.9064833856477974,0.9122199372226432,0.92398891966759,0.7565498652291105,0.7756215888417223,0.9151423314211494,0.9321813232335188,0.9171096886188564,0.932135512501353,0.7619836667061191,0.9160314579552329,0.7619836667061191,0.7707544106505033,0.907817007830746,0.9056693099775122,0.9095844875346261,1.0,0.9125650733554188,0.7728109102716745,0.7565498652291105,0.7798053527980535,0.8215686274509804,0.9123545706371191,0.9350579066998593,0.8466217684119053,0.9276471856803968,0.8875346260387812,0.7709899076658793,0.9393939393939394,0.8289159243971324,0.8258965558054208,0.9414398491811005,0.9054964153812731,0.9425097391099044,0.9890881590319792,0.9155310404499243,0.7359021539127611,0.9255156157925751,0.9418718143368399,0.9325964456003468,0.8455655606266189
ENSPSIT00000014204,0.8409953135460835,0.8333152938629722,1.0,0.8291517323775388,0.7841726618705036,0.8150601744507011,0.9164205229187179,0.8370965835205108,0.7293435048887934,0.8330972872861968,0.8326987925595561,0.8327956391144733,0.7220485175202156,0.7210430563978169,0.8319800801125906,0.8343202273803885,0.8328089400021699,0.8381954234898601,0.7766666666666666,0.8384009691096306,0.7766666666666666,0.7827556136908654,0.8293721665063882,0.8279952550415184,0.8417763891988396,0.8290922002603859,0.8289162328442972,0.7826466099847394,0.7220485175202156,0.7142857142857143,0.8480836236933798,0.8421111359071636,0.8407319185794716,0.9188272617875506,0.814966573215441,0.8142143253747918,0.7348078161906807,0.8264069264069264,0.8564708456405208,0.8496428571428571,0.8254978201955933,0.8335148083623694,0.8239877228190297,0.831028522039758,0.8327925589444084,0.7462393721386528,0.8148497348261639,0.8264830278711637,0.8162115301257044,0.9312313803376365
ENSPMJT00000006938,0.9060075371314564,0.9409145215596828,0.8291517323775388,1.0,0.7613772129901162,0.9475543778293033,0.838601064407516,0.9191393781770895,0.7624368754700763,0.9030085804279353,0.9042033235581622,0.9157614719574374,0.7576280323450135,0.7550030321406913,0.9098512001737808,0.9133159886471145,0.908213084517739,0.9150646247420441,0.7689214758751183,0.9115861063881467,0.7689214758751183,0.7731074182687085,0.9004531099821502,0.8973509933774835,0.9067834183107958,0.9418164616840113,0.9079943235572374,0.7624633431085044,0.7576280323450135,0.7647058823529411,0.8224503922473465,0.9085568610064287,0.9207125013576627,0.84099055066797,0.9522320465818417,0.8843937042784304,0.7627227829074511,0.9667748917748917,0.8298034104485718,0.8227294228949859,0.9668905384706021,0.9059411317475834,0.9900838153700862,0.9364631898514583,0.9080646911972213,0.7281416313674378,0.9492044784914555,0.990239670317753,0.9548114434330299,0.8417939871858058
ENSSMRT00000008579,0.7787838139950816,0.7711873579391709,0.7841726618705036,0.7613772129901162,1.0,0.757535607817158,0.7940272288098376,0.75848209008157,0.7078543032126356,0.7847260050114392,0.7730882192972914,0.7740571809989988,0.7001617250673855,0.7125530624620983,0.7725451986575728,0.7636191378493605,0.7687967885429099,0.7724758702960633,0.8606863335340157,0.7738340399757723,0.8606863335340157,0.8637164244826068,0.7532628108256628,0.7589561091340451,0.7794791550240304,0.7621020239081548,0.7599384761003313,0.8560105680317041,0.7001617250673855,0.741579914268218,0.8082016728624535,0.7803842716711349,0.7677566045907319,0.7920052712497254,0.7496226008194954,0.7664630760688507,0.7093622503757784,0.7591991341991342,0.783641160949868,0.7763157894736842,0.7518557794273595,0.7661149825783972,0.749026089009562,0.7671780466724287,0.7678996322734155,0.8355350066050198,0.7520329994107248,0.7556664136210823,0.7598612917208496,0.7869505665546009
ENSJHYT00000003851,0.8847300430606161,0.927680247322513,0.8150601744507011,0.9475543778293033,0.757535607817158,1.0,0.8228994148172684,0.8958529688972667,0.7711028283271213,0.8802031577785139,0.885502925913658,0.898862758087667,0.7653465346534654,0.7781796262808921,0.896875345036988,0.8860744580584354,0.8933421662802252,0.8877111626366346,0.7561262959472196,0.8977089783281734,0.7561262959472196,0.7565419012918185,0.8843099671412924,0.8820688030160226,0.885502925913658,0.9283694627709708,0.8900801131008482,0.7524566633543116,0.7653465346534654,0.7643158529234478,0.8143808867447737,0.8882632218173788,0.896875345036988,0.8274263000993707,0.9565408735834525,0.8665120900960583,0.7773031000109542,0.9629016230539914,0.817157999337529,0.8123232799245994,0.961239396795476,0.8838467483714254,0.9520499528746466,0.9259136579441316,0.8910235177210997,0.7172352876228332,0.99375589066918,0.9520812631114055,0.9702992160759634,0.8266208251473477
ENSCABT00000029879,0.8571428571428571,0.8414077775363893,0.9164205229187179,0.838601064407516,0.7940272288098376,0.8228994148172684,1.0,0.8495093982740277,0.7451380681207693,0.8478023179532036,0.8447598253275109,0.8458115474468795,0.7346630727762803,0.7234687689508793,0.8395262929161235,0.8460445286594032,0.8409460778995335,0.8494775794514584,0.7922248803827752,0.8495499878375091,0.7922248803827752,0.796772068511199,0.83047121857398,0.8333333333333334,0.8578294400357662,0.8373772044028879,0.8325840037860861,0.7940272288098376,0.7346630727762803,0.7305572565829761,0.8536245353159851,0.8576854334226989,0.8526567423666196,0.9805561590267217,0.8243476385594134,0.8360910605219323,0.7425381146660941,0.8352813852813853,0.8679122311535955,0.8616694253960747,0.8339813832920938,0.8407012195121951,0.8291819147680322,0.8411579746286457,0.8366438727884511,0.7555994729907773,0.8181496758986446,0.8323392256805119,0.8272648461205028,0.9627692690823061
ENSCPUT00000004652,0.9203215510107577,0.9342711904480435,0.8370965835205108,0.9191393781770895,0.75848209008157,0.8958529688972667,0.8495093982740277,1.0,0.7559948531992046,0.9145289041257831,0.9092091263742759,0.9294242818300036,0.7526427061310782,0.7148634984833164,0.9193948705826734,0.9868886101926804,0.9279641001417099,0.9864050124128148,0.7629688747007183,0.9247627956701857,0.7587185246483036,0.7587185246483036,0.9116234390009607,0.911070573480789,0.9211490719943256,0.9366092805837418,0.9219017215824877,0.7665208653505142,0.7526427061310782,0.7123916369199388,0.827492596248766,0.9232769830949284,1.0,0.8558931315758364,0.8973576042278333,0.901525002955432,0.7546507546507546,0.9091551785083068,0.8323678921858376,0.8323678921858376,0.9123764064098193,0.9138196004255822,0.9208698622338609,0.9318530766505255,0.9190211608937227,0.7283366828230288,0.8981586724255513,0.9179553771691654,0.9016045304388862,0.8531658043853165
ENSPEMT00000017645,0.7507125630344222,0.7658751477382615,0.7293435048887934,0.7624368754700763,0.7078543032126356,0.7711028283271213,0.7451380681207693,0.7559948531992046,1.0,0.7487912324057161,0.7573869130761792,0.7586055689541767,0.9375328636029026,0.9278350515463918,0.7499731384979048,0.755409989472453,0.7437412700118191,0.7510475985817127,0.7058135454439116,0.748267355808763,0.7058135454439116,0.7024820027935962,0.7474296536796536,0.7543572347642999,0.7502740627055471,0.7681600187156392,0.7551760439817522,0.7009777586762652,0.9375328636029026,0.9432926829268292,0.7399656946826758,0.7503836877877659,0.7515848286236166,0.742774255936392,0.7724293542494897,0.7453409340057005,0.939365279529214,0.7666272697969271,0.7343934672826904,0.7354076500175459,0.7662884547900339,0.7446629508886318,0.7660545092993333,0.7627592134952187,0.7535188567744708,0.6784140969162996,0.7685109369516903,0.7655528097131191,0.7684538519394004,0.7448183369909778
ENSDNVT00000001153,0.9621820615796519,0.9064833856477974,0.8330972872861968,0.9030085804279353,0.7847260050114392,0.8802031577785139,0.8478023179532036,0.9145289041257831,0.7487912324057161,1.0,0.9210268682693353,0.9202358438091001,0.7436118598382749,0.7768344451182535,0.9225451010046452,0.9174561819043108,0.9209070196376261,0.9225680511875067,0.7797477391718229,0.9289425981873112,0.7797477391718229,0.7846170606819916,0.9201813435911527,0.9153024911032028,0.9629629629629629,0.9061427387856551,0.9172976810222433,0.7804771761629807,0.7436118598382749,0.7858017135862914,0.8386160455125973,0.9657518964747881,0.9198787353832828,0.8523944893942708,0.87836963554022,0.927706829539145,0.7497315868584926,0.8916666666666667,0.8415700852831839,0.8347215611613518,0.8893601979498056,0.9110169491525424,0.8951717624837682,0.8994165946413137,0.9162881245944192,0.7573809783200784,0.8742486741308191,0.8991432599501139,0.8859991330732553,0.8455244235060749
