phascolarctos_cinereus ENSPCIG00000001424
notamacropus_eugenii ENSMEUG00000009237
sarcophilus_harrisii ENSSHAG00000009917
monodelphis_domestica ENSMODG00000010331
loxodonta_africana ENSLAFG00000012069
procavia_capensis ENSPCAG00000003008
echinops_telfairi ENSETEG00000014697
choloepus_hoffmanni ENSCHOG00000000943
dasypus_novemcinctus ENSDNOG00000017308
ovis_aries ENSOARG00000007488
capra_hircus ENSCHIG00000011339
bos_taurus ENSBTAG00000000888
bos_mutus ENSBMUG00000016203
bison_bison_bison ENSBBBG00000005753
tursiops_truncatus ENSTTRG00000001869
sus_scrofa ENSSSCG00000006431
vicugna_pacos ENSVPAG00000007205
equus_asinus_asinus ENSEASG00005003375
equus_caballus ENSECAG00000021886
myotis_lucifugus ENSMLUG00000016009
pteropus_vampyrus ENSPVAG00000009945
ursus_americanus ENSUAMG00000026630
ursus_maritimus ENSUMAG00000002328
ailuropoda_melanoleuca ENSAMEG00000003988
neovison_vison ENSNVIG00000021842
mustela_putorius_furo ENSMPUG00000012860
canis_lupus_dingo ENSCAFG00020019383
canis_lupus_dingo ENSCAFG00020011397
canis_lupus_familiaris ENSCAFG00000011638
vulpes_vulpes ENSVVUG00000016559
panthera_pardus ENSPPRG00000001621
panthera_tigris_altaica ENSPTIG00000017529
felis_catus ENSFCAG00000046674
erinaceus_europaeus ENSEEUG00000004591
sorex_araneus ENSSARG00000000729
pan_troglodytes ENSPTRG00000001510
pan_paniscus ENSPPAG00000029302
homo_sapiens ENSG00000163554
gorilla_gorilla ENSGGOG00000000508
pongo_abelii ENSPPYG00000000673
nomascus_leucogenys ENSNLEG00000013076
piliocolobus_tephrosceles ENSPTEG00000017579
colobus_angolensis_palliatus ENSCANG00000033349
rhinopithecus_roxellana ENSRROG00000038061
rhinopithecus_bieti ENSRBIG00000030529
macaca_nemestrina ENSMNEG00000041794
macaca_mulatta ENSMMUG00000000730
macaca_fascicularis ENSMFAG00000029972
cercocebus_atys ENSCATG00000011752
mandrillus_leucophaeus ENSMLEG00000034291
papio_anubis ENSPANG00000005568
theropithecus_gelada ENSTGEG00000004170
chlorocebus_sabaeus ENSCSAG00000002429
cebus_capucinus ENSCCAG00000029933
saimiri_boliviensis_boliviensis ENSSBOG00000027374
callithrix_jacchus ENSCJAG00000006354
aotus_nancymaae ENSANAG00000032115
carlito_syrichta ENSTSYG00000010789
carlito_syrichta ENSTSYG00000037508
prolemur_simus ENSPSMG00000014166
microcebus_murinus ENSMICG00000014994
propithecus_coquereli ENSPCOG00000018062
otolemur_garnettii ENSOGAG00000000257
tupaia_belangeri ENSTBEG00000016713
castor_canadensis ENSCCNG00000015782
castor_canadensis ENSCCNG00000015794
castor_canadensis ENSCCNG00000029974
dipodomys_ordii ENSDORG00000016657
mus_spicilegus ENSMSIG00000012356
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015734
mus_musculus ENSMUSG00000026532
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014934
mus_pahari MGP_PahariEiJ_G0028167
rattus_norvegicus ENSRNOG00000003537
meriones_unguiculatus ENSMUGG00000010473
cricetulus_griseus_chok1gshd ENSCGRG00001024860
cricetulus_griseus_crigri-picr ENSCGRG00015015307
cricetulus_griseus_crigri ENSCGRG00000002237
mesocricetus_auratus ENSMAUG00000000194
microtus_ochrogaster ENSMOCG00000004568
peromyscus_maniculatus_bairdii ENSPEMG00000022812
nannospalax_galili ENSNGAG00000014572
jaculus_jaculus ENSJJAG00000006211
chinchilla_lanigera ENSCLAG00000013250
octodon_degus ENSODEG00000011975
cavia_porcellus ENSCPOG00000001867
cavia_aperea ENSCAPG00000017521
heterocephalus_glaber_female ENSHGLG00000013249
heterocephalus_glaber_male ENSHGLG00100002452
fukomys_damarensis ENSFDAG00000018323
urocitellus_parryii ENSUPAG00010010833
ictidomys_tridecemlineatus ENSSTOG00000015256
spermophilus_dauricus ENSSDAG00000018663
marmota_marmota_marmota ENSMMMG00000000097
oryctolagus_cuniculus ENSOCUG00000007762
ochotona_princeps ENSOPRG00000001253
ornithorhynchus_anatinus ENSOANG00000029026
ornithorhynchus_anatinus ENSOANG00000029342
ornithorhynchus_anatinus ENSOANG00000029645
ornithorhynchus_anatinus ENSOANG00000029452
ornithorhynchus_anatinus ENSOANG00000030713
ornithorhynchus_anatinus ENSOANG00000029562
ornithorhynchus_anatinus ENSOANG00000013338
ornithorhynchus_anatinus ENSOANG00000007376
