ENSPVIP00000018433	ENSPVIG00000014090	Pogona_vitticeps
ENSNSUP00000020251	ENSNSUG00000014751	Notechis_scutatus	ENSNSUT00000021552
ENSSPUP00000008416	ENSSPUG00000006535	Sphenodon_punctatus
ENSCABP00000005068	ENSCABG00000003808	Chelonoidis_abingdonii
ENSCPBP00000032709	ENSCPBG00000022933	Chrysemys_picta_bellii
ENSAOWP00000020694	ENSAOWG00000013998	Apteryx_owenii
ENSARWP00000023242	ENSARWG00000015851	Apteryx_rowi
ENSJHYP00000003388	ENSJHYG00000002794	Junco_hyemalis
ENSSCAP00000008376	ENSSCAG00000006394	Serinus_canaria
ENSPMJP00000015384	ENSPMJG00000011681	Parus_major
ENSFALP00000014614	ENSFALG00000014002	Ficedula_albicollis
ENSLSDP00000015843	ENSLSDG00000011434	Lonchura_striata_domestica
ENSLCOP00000018896	ENSLCOG00000013360	Lepidothrix_coronata
ENSGALP00000045303	ENSGALG00000029614	Gallus_gallus
ENSCJPP00005012540	ENSCJPG00005010667	Coturnix_japonica
ENSNMEP00000002653	ENSNMEG00000003302	Numida_meleagris
ENSABRP00000022645	ENSABRG00000019168	Anser_brachyrhynchus
ENSAPLP00000005981	ENSAPLG00000006392	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000005721	ENSCPGG00000004116	Calidris_pygmaea
ENSMUNP00000020316	ENSMUNG00000015464	Melopsittacus_undulatus
ENSPCOP00000001874	ENSPCOG00000005817	Propithecus_coquereli
ENSMICP00000021447	ENSMICG00000037159	Microcebus_murinus
ENSPSMP00000035544	ENSPSMG00000024470	Prolemur_simus
ENSGGOP00000044390	ENSGGOG00000027550	Gorilla_gorilla
ENSPTRP00000017328	ENSPTRG00000010194	Pan_troglodytes
ENSP00000386557	ENSG00000228300	Homo_sapiens
ENSRBIP00000038294	ENSRBIG00000042672	Rhinopithecus_bieti
ENSRROP00000040384	ENSRROG00000043456	Rhinopithecus_roxellana
ENSCANP00000010471	ENSCANG00000028653	Colobus_angolensis_palliatus
ENSPTEP00000034828	ENSPTEG00000032995	Piliocolobus_tephrosceles
ENSPANP00000009192	ENSPANG00000016064	Papio_anubis
ENSCATP00000015274	ENSCATG00000031621	Cercocebus_atys
ENSTGEP00000013243	ENSTGEG00000010770	Theropithecus_gelada
ENSMFAP00000023570	ENSMFAG00000043438	Macaca_fascicularis
ENSMNEP00000037833	ENSMNEG00000041976	Macaca_nemestrina
ENSMMUP00000032014	ENSMMUG00000022104	Macaca_mulatta
ENSCSAP00000008421	ENSCSAG00000012236	Chlorocebus_sabaeus
ENSCCAP00000002270	ENSCCAG00000013971	Cebus_capucinus_imitator
ENSCJAP00000061322	ENSCJAG00000005541	Callithrix_jacchus
ENSANAP00000005116	ENSANAG00000020672	Aotus_nancymaae
ENSMSIP00000007696	ENSMSIG00000006871	Mus_spicilegus
ENSMUSP00000037758	ENSMUSG00000035595	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0025033	MGP_SPRETEiJ_G0016387	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0023878	MGP_CAROLIEiJ_G0015569	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087032	MGP_PahariEiJ_G0030982	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000021677	ENSRNOG00000016193	Rattus_norvegicus
ENSMUGP00000024739	ENSMUGG00000020663	Meriones_unguiculatus
ENSCGRP00001002471	ENSCGRG00001002716	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015006667	ENSCGRG00015005179	Cricetulus_griseus_CriGri-PICR
