	ENSEBUT00000019503	ENSEBUT00000019486	ENSPMAT00000007153
ENSEBUT00000019503	1.0	0.9085155350978136	0.1962025316455696
ENSEBUT00000019486	0.9085155350978136	1.0	0.10471806674338324
ENSPMAT00000007153	0.1962025316455696	0.10471806674338324	1.0
