sarcophilus_harrisii ENSSHAG00000009519
monodelphis_domestica ENSMODG00000020534
phascolarctos_cinereus ENSPCIG00000011045
notamacropus_eugenii ENSMEUG00000004572
loxodonta_africana ENSLAFG00000002280
procavia_capensis ENSPCAG00000007480
echinops_telfairi ENSETEG00000003079
dasypus_novemcinctus ENSDNOG00000012046
choloepus_hoffmanni ENSCHOG00000008599
mus_musculus ENSMUSG00000037913
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028237
mus_spicilegus ENSMSIG00000010754
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027242
mus_pahari MGP_PahariEiJ_G0017024
rattus_norvegicus ENSRNOG00000026518
meriones_unguiculatus ENSMUGG00000010481
cricetulus_griseus_crigri-picr ENSCGRG00015000703
cricetulus_griseus_crigri ENSCGRG00000000044
cricetulus_griseus_chok1gshd ENSCGRG00001022810
mesocricetus_auratus ENSMAUG00000000185
microtus_ochrogaster ENSMOCG00000011114
peromyscus_maniculatus_bairdii ENSPEMG00000008551
nannospalax_galili ENSNGAG00000020186
marmota_marmota_marmota ENSMMMG00000017773
urocitellus_parryii ENSUPAG00010017254
spermophilus_dauricus ENSSDAG00000009112
ictidomys_tridecemlineatus ENSSTOG00000004246
castor_canadensis ENSCCNG00000015579
dipodomys_ordii ENSDORG00000010522
heterocephalus_glaber_male ENSHGLG00100011278
heterocephalus_glaber_female ENSHGLG00000002626
fukomys_damarensis ENSFDAG00000020853
chinchilla_lanigera ENSCLAG00000003928
cavia_aperea ENSCAPG00000017778
cavia_porcellus ENSCPOG00000013560
oryctolagus_cuniculus ENSOCUG00000000579
ochotona_princeps ENSOPRG00000002989
homo_sapiens ENSG00000121895
gorilla_gorilla ENSGGOG00000004085
pan_troglodytes ENSPTRG00000015988
pan_paniscus ENSPPAG00000034491
pongo_abelii ENSPPYG00000014671
nomascus_leucogenys ENSNLEG00000030669
macaca_fascicularis ENSMFAG00000043228
macaca_mulatta ENSMMUG00000002419
macaca_nemestrina ENSMNEG00000027960
chlorocebus_sabaeus ENSCSAG00000016878
theropithecus_gelada ENSTGEG00000000897
papio_anubis ENSPANG00000016908
cercocebus_atys ENSCATG00000034175
piliocolobus_tephrosceles ENSPTEG00000022679
colobus_angolensis_palliatus ENSCANG00000028450
rhinopithecus_roxellana ENSRROG00000042013
rhinopithecus_bieti ENSRBIG00000038386
callithrix_jacchus ENSCJAG00000000810
cebus_capucinus ENSCCAG00000019785
saimiri_boliviensis_boliviensis ENSSBOG00000019408
aotus_nancymaae ENSANAG00000024309
carlito_syrichta ENSTSYG00000004307
propithecus_coquereli ENSPCOG00000012504
microcebus_murinus ENSMICG00000009711
prolemur_simus ENSPSMG00000016267
tupaia_belangeri ENSTBEG00000007521
erinaceus_europaeus ENSEEUG00000007910
sorex_araneus ENSSARG00000012588
equus_asinus_asinus ENSEASG00005008152
equus_caballus ENSECAG00000015792
tursiops_truncatus ENSTTRG00000000648
sus_scrofa ENSSSCG00000023785
bos_taurus ENSBTAG00000015649
bos_mutus ENSBMUG00000019375
bison_bison_bison ENSBBBG00000001075
ovis_aries ENSOARG00000010348
capra_hircus ENSCHIG00000012783
vicugna_pacos ENSVPAG00000003125
ursus_maritimus ENSUMAG00000000785
ursus_americanus ENSUAMG00000007436
ailuropoda_melanoleuca ENSAMEG00000010032
neovison_vison ENSNVIG00000007526
mustela_putorius_furo ENSMPUG00000005993
canis_lupus_familiaris ENSCAFG00000016155
canis_lupus_dingo ENSCAFG00020000358
vulpes_vulpes ENSVVUG00000014555
panthera_tigris_altaica ENSPTIG00000014002
panthera_pardus ENSPPRG00000005087
felis_catus ENSFCAG00000028887
pteropus_vampyrus ENSPVAG00000002115
myotis_lucifugus ENSMLUG00000000296
otolemur_garnettii ENSOGAG00000012262
ornithorhynchus_anatinus ENSOANG00000010321
chrysemys_picta_bellii ENSCPBG00000013769
pelodiscus_sinensis ENSPSIG00000012327
serinus_canaria ENSSCAG00000005357
taeniopygia_guttata ENSTGUG00000009023
zonotrichia_albicollis ENSZALG00000017572
junco_hyemalis ENSJHYG00000005098
parus_major ENSPMJG00000016271
ficedula_albicollis ENSFALG00000009322
melopsittacus_undulatus ENSMUNG00000010039
calidris_pugnax ENSCPUG00000004722
calidris_pygmaea ENSCPGG00000019435
meleagris_gallopavo ENSMGAG00000012350
gallus_gallus ENSGALG00000024490
numida_meleagris ENSNMEG00000018534
anas_platyrhynchos_platyrhynchos ENSAPLG00000007444
apteryx_rowi ENSARWG00000018132
apteryx_owenii ENSAOWG00000002116
dromaius_novaehollandiae ENSDNVG00000007711
sphenodon_punctatus ENSSPUG00000007976
