ENSPANT00000042014 ENSPANG00000030904
ENSMFAT00000000138 ENSMFAG00000033842
ENSRROT00000000770 ENSRROG00000000680
ENSPTRT00000101409 ENSPTRG00000048990
ENSPPAT00000043090 ENSPPAG00000033373
ENSGGOT00000044747 ENSGGOG00000042211
ENSNLET00000038592 ENSNLEG00000032785
ENSANAT00000049167 ENSANAG00000033304
ENSCCAT00000041204 ENSCCAG00000029644
