poecilia_mexicana ENSPMEG00000003727
poecilia_formosa ENSPFOG00000023721
mola_mola ENSMMOG00000006838
gallus_gallus ENSGALG00000048857
gallus_gallus ENSGALG00000048560
gallus_gallus ENSGALG00000050102
gallus_gallus ENSGALG00000047828
gallus_gallus ENSGALG00000049772
gallus_gallus ENSGALG00000047170
gallus_gallus ENSGALG00000045962
gallus_gallus ENSGALG00000050356
gallus_gallus ENSGALG00000045984
gallus_gallus ENSGALG00000044238
gallus_gallus ENSGALG00000045335
gallus_gallus ENSGALG00000052997
gallus_gallus ENSGALG00000046911
gallus_gallus ENSGALG00000051313
gallus_gallus ENSGALG00000052157
anas_platyrhynchos_platyrhynchos ENSAPLG00000018357
calidris_pygmaea ENSCPGG00000009947
