,ENSCABT00000016826_ENSCABG00000011456,ENSGAGT00000008997_ENSGAGG00000006218,ENSUAMT00000004089_ENSUAMG00000003304,ENSCAPT00000006917_ENSCAPG00000006157,ENSODET00000025410_ENSODEG00000018396
ENSCABT00000016826_ENSCABG00000011456,1.0,0.45,0.45,0.45,0.45
ENSGAGT00000008997_ENSGAGG00000006218,0.45,1.0,0.79,0.99,0.99
ENSUAMT00000004089_ENSUAMG00000003304,0.45,0.79,1.0,0.78,0.78
ENSCAPT00000006917_ENSCAPG00000006157,0.45,0.99,0.78,1.0,1.0
ENSODET00000025410_ENSODEG00000018396,0.45,0.99,0.78,1.0,1.0
