labrus_bergylta ENSLBEG00000012763
gasterosteus_aculeatus ENSGACG00000020193
amphiprion_ocellaris ENSAOCG00000020538
amphiprion_percula ENSAPEG00000010284
acanthochromis_polyacanthus ENSAPOG00000004916
stegastes_partitus ENSSPAG00000021717
astatotilapia_calliptera ENSACLG00000026767
maylandia_zebra ENSMZEG00005022981
pundamilia_nyererei ENSPNYG00000000373
haplochromis_burtoni ENSHBUG00000018980
oreochromis_niloticus ENSONIG00000011318
neolamprologus_brichardi ENSNBRG00000019076
amphilophus_citrinellus ENSACIG00000003522
seriola_lalandi_dorsalis ENSSLDG00000005132
seriola_dumerili ENSSDUG00000019221
scophthalmus_maximus ENSSMAG00000001704
monopterus_albus ENSMALG00000002880
mastacembelus_armatus ENSMAMG00000003963
anabas_testudineus ENSATEG00000002969
cynoglossus_semilaevis ENSCSEG00000012955
hippocampus_comes ENSHCOG00000013020
oryzias_melastigma ENSOMEG00000010849
oryzias_latipes ENSORLG00000018527
mola_mola ENSMMOG00000005886
xiphophorus_maculatus ENSXMAG00000013894
xiphophorus_couchianus ENSXCOG00000012583
gambusia_affinis ENSGAFG00000015823
poecilia_formosa ENSPFOG00000014775
poecilia_latipinna ENSPLAG00000015846
poecilia_mexicana ENSPMEG00000005082
poecilia_reticulata ENSPREG00000010110
fundulus_heteroclitus ENSFHEG00000014132
cyprinodon_variegatus ENSCVAG00000013234
kryptolebias_marmoratus ENSKMAG00000010848
periophthalmus_magnuspinnatus ENSPMGG00000003108
tetraodon_nigroviridis ENSTNIG00000002985
tetraodon_nigroviridis ENSTNIG00000002984
takifugu_rubripes ENSTRUG00000004771
esox_lucius ENSELUG00000024228
pygocentrus_nattereri ENSPNAG00000001034
astyanax_mexicanus ENSAMXG00000006394
ictalurus_punctatus ENSIPUG00000020522
danio_rerio ENSDARG00000104953
paramormyrops_kingsleyae ENSPKIG00000016006
scleropages_formosus ENSSFOG00015008915
lepisosteus_oculatus ENSLOCG00000002777
anser_brachyrhynchus ENSABRG00000019012
anas_platyrhynchos_platyrhynchos ENSAPLG00000015299
meleagris_gallopavo ENSMGAG00000000711
coturnix_japonica ENSCJPG00005005693
gallus_gallus ENSGALG00000042730
numida_meleagris ENSNMEG00000012086
melopsittacus_undulatus ENSMUNG00000012532
calidris_pugnax ENSCPUG00000015975
calidris_pygmaea ENSCPGG00000001520
lepidothrix_coronata ENSLCOG00000004830
manacus_vitellinus ENSMVIG00005016276
zonotrichia_albicollis ENSZALG00000005608
junco_hyemalis ENSJHYG00000014031
serinus_canaria ENSSCAG00000017247
lonchura_striata_domestica ENSLSDG00000008057
taeniopygia_guttata ENSTGUG00000000797
ficedula_albicollis ENSFALG00000005104
cyanistes_caeruleus ENSCCEG00000005281
manacus_vitellinus ENSMVIG00005006878
parus_major ENSPMJG00000008858
nothoprocta_perdicaria ENSNPEG00000001326
apteryx_haastii ENSAHAG00000018399
apteryx_owenii ENSAOWG00000015819
apteryx_rowi ENSARWG00000017053
dromaius_novaehollandiae ENSDNVG00000008723
ornithorhynchus_anatinus ENSOANG00000006302
sorex_araneus ENSSARG00000004712
