anolis_carolinensis ENSACAG00000006996
pogona_vitticeps ENSPVIG00000025005
notechis_scutatus ENSNSUG00000007838
salvator_merianae ENSSMRG00000006789
sphenodon_punctatus ENSSPUG00000006258
urocitellus_parryii ENSUPAG00010013313
marmota_marmota_marmota ENSMMMG00000001941
ictidomys_tridecemlineatus ENSSTOG00000002014
spermophilus_dauricus ENSSDAG00000003395
dipodomys_ordii ENSDORG00000023777
propithecus_coquereli ENSPCOG00000018653
prolemur_simus ENSPSMG00000021228
microcebus_murinus ENSMICG00000026948
otolemur_garnettii ENSOGAG00000024115
ovis_aries ENSOARG00000003023
capra_hircus ENSCHIG00000015276
bos_taurus ENSBTAG00000017451
bos_mutus ENSBMUG00000019241
bison_bison_bison ENSBBBG00000010457
sus_scrofa ENSSSCG00000014051
equus_asinus_asinus ENSEASG00005012084
equus_caballus ENSECAG00000022322
equus_caballus ENSECAG00000032230
ursus_americanus ENSUAMG00000022135
ursus_maritimus ENSUMAG00000024495
ailuropoda_melanoleuca ENSAMEG00000007218
mustela_putorius_furo ENSMPUG00000012505
neovison_vison ENSNVIG00000021360
panthera_pardus ENSPPRG00000002520
canis_lupus_familiaris ENSCAFG00000016638
canis_lupus_dingo ENSCAFG00020011567
vulpes_vulpes ENSVVUG00000001412
panthera_pardus ENSPPRG00000010442
panthera_tigris_altaica ENSPTIG00000012471
felis_catus ENSFCAG00000007803
myotis_lucifugus ENSMLUG00000000338
homo_sapiens ENSG00000048140
gorilla_gorilla ENSGGOG00000015858
pan_paniscus ENSPPAG00000037966
pan_troglodytes ENSPTRG00000017568
pongo_abelii ENSPPYG00000016078
papio_anubis ENSPANG00000012113
theropithecus_gelada ENSTGEG00000014592
chlorocebus_sabaeus ENSCSAG00000009192
mandrillus_leucophaeus ENSMLEG00000036441
cercocebus_atys ENSCATG00000039640
macaca_fascicularis ENSMFAG00000040265
macaca_nemestrina ENSMNEG00000027999
macaca_mulatta ENSMMUG00000000144
rhinopithecus_roxellana ENSRROG00000039469
rhinopithecus_bieti ENSRBIG00000029629
colobus_angolensis_palliatus ENSCANG00000043239
piliocolobus_tephrosceles ENSPTEG00000030115
saimiri_boliviensis_boliviensis ENSSBOG00000017848
cebus_capucinus_imitator ENSCCAG00000028954
callithrix_jacchus ENSCJAG00000007278
aotus_nancymaae ENSANAG00000023022
nomascus_leucogenys ENSNLEG00000012538
dasypus_novemcinctus ENSDNOG00000044512
ursus_americanus ENSUAMG00000025136
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025875
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019427
mus_spicilegus ENSMSIG00000008428
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018547
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019612
rattus_norvegicus ENSRNOG00000018122
meriones_unguiculatus ENSMUGG00000016355
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017354
cricetulus_griseus_crigri-picr ENSCGRG00015018480
cricetulus_griseus_crigri_1.0 ENSCGRG00000012322
mesocricetus_auratus ENSMAUG00000016165
microtus_ochrogaster ENSMOCG00000018550
peromyscus_maniculatus_bairdii ENSPEMG00000003220
nannospalax_galili ENSNGAG00000017466
jaculus_jaculus ENSJJAG00000021974
castor_canadensis ENSCCNG00000024892
cavia_porcellus ENSCPOG00000027369
cavia_aperea ENSCAPG00000012747
octodon_degus ENSODEG00000008692
chinchilla_lanigera ENSCLAG00000016091
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016238
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100016387
fukomys_damarensis ENSFDAG00000016554
loxodonta_africana ENSLAFG00000008906
carlito_syrichta ENSTSYG00000006278
procavia_capensis ENSPCAG00000003545
echinops_telfairi ENSETEG00000000714
tursiops_truncatus ENSTTRG00000014024
pteropus_vampyrus ENSPVAG00000017040
mesocricetus_auratus ENSMAUG00000008483
cebus_capucinus_imitator ENSCCAG00000031419
ornithorhynchus_anatinus ENSOANG00000021444
oryctolagus_cuniculus ENSOCUG00000016785
phascolarctos_cinereus ENSPCIG00000018443
sarcophilus_harrisii ENSSHAG00000007977
monodelphis_domestica ENSMODG00000005086
xenopus_tropicalis ENSXETG00000019632
latimeria_chalumnae ENSLACG00000016012
pygocentrus_nattereri ENSPNAG00000019538
astyanax_mexicanus ENSAMXG00000020650
ictalurus_punctatus ENSIPUG00000006010
danio_rerio ENSDARG00000114067
labrus_bergylta ENSLBEG00000027556
gasterosteus_aculeatus ENSGACG00000018387
scophthalmus_maximus ENSSMAG00000008516
cynoglossus_semilaevis ENSCSEG00000016149
mastacembelus_armatus ENSMAMG00000011863
seriola_lalandi_dorsalis ENSSLDG00000011395
monopterus_albus ENSMALG00000004451
seriola_dumerili ENSSDUG00000009247
tetraodon_nigroviridis ENSTNIG00000009006
takifugu_rubripes ENSTRUG00000012091
mola_mola ENSMMOG00000009205
anabas_testudineus ENSATEG00000002265
amphiprion_percula ENSAPEG00000012330
amphiprion_ocellaris ENSAOCG00000008944
acanthochromis_polyacanthus ENSAPOG00000017132
stegastes_partitus ENSSPAG00000020678
maylandia_zebra ENSMZEG00005009299
pundamilia_nyererei ENSPNYG00000000190
astatotilapia_calliptera ENSACLG00000002406
haplochromis_burtoni ENSHBUG00000004465
neolamprologus_brichardi ENSNBRG00000015932
oreochromis_niloticus ENSONIG00000017712
amphilophus_citrinellus ENSACIG00000009426
poecilia_formosa ENSPFOG00000002286
poecilia_latipinna ENSPLAG00000003892
poecilia_mexicana ENSPMEG00000012770
poecilia_reticulata ENSPREG00000006323
xiphophorus_couchianus ENSXCOG00000009182
xiphophorus_maculatus ENSXMAG00000010118
gambusia_affinis ENSGAFG00000006589
fundulus_heteroclitus ENSFHEG00000007920
cyprinodon_variegatus ENSCVAG00000013563
kryptolebias_marmoratus ENSKMAG00000018252
oryzias_latipes_asm223469v1 ENSORLG00015005850
oryzias_latipes_asm223471v1 ENSORLG00020007124
oryzias_latipes_asm223467v1 ENSORLG00000007154
oryzias_melastigma ENSOMEG00000010802
hippocampus_comes ENSHCOG00000006322
periophthalmus_magnuspinnatus ENSPMGG00000010071
gadus_morhua ENSGMOG00000006958
tetraodon_nigroviridis ENSTNIG00000019661
esox_lucius ENSELUG00000020018
scleropages_formosus ENSSFOG00015015293
paramormyrops_kingsleyae ENSPKIG00000016032
lepisosteus_oculatus ENSLOCG00000011826
gasterosteus_aculeatus ENSGACG00000017858
haplochromis_burtoni ENSHBUG00000020917
gadus_morhua ENSGMOG00000012495
ictalurus_punctatus ENSIPUG00000022449
labrus_bergylta ENSLBEG00000013625
takifugu_rubripes ENSTRUG00000005732
gasterosteus_aculeatus ENSGACG00000000929
oryzias_latipes_asm223469v1 ENSORLG00015012744
oryzias_latipes_asm223467v1 ENSORLG00000011921
oryzias_latipes_asm223471v1 ENSORLG00020011710
poecilia_latipinna ENSPLAG00000005878
poecilia_mexicana ENSPMEG00000007429
poecilia_formosa ENSPFOG00000000762
poecilia_reticulata ENSPREG00000021391
xiphophorus_maculatus ENSXMAG00000024005
gambusia_affinis ENSGAFG00000006337
cyprinodon_variegatus ENSCVAG00000020582
amphilophus_citrinellus ENSACIG00000014049
kryptolebias_marmoratus ENSKMAG00000005254
mastacembelus_armatus ENSMAMG00000002417
anabas_testudineus ENSATEG00000000935
mola_mola ENSMMOG00000020297
stegastes_partitus ENSSPAG00000006333
periophthalmus_magnuspinnatus ENSPMGG00000005588
astatotilapia_calliptera ENSACLG00000007837
maylandia_zebra ENSMZEG00005012642
haplochromis_burtoni ENSHBUG00000009174
pundamilia_nyererei ENSPNYG00000009237
oreochromis_niloticus ENSONIG00000019859
hippocampus_comes ENSHCOG00000008844
gadus_morhua ENSGMOG00000000895
scleropages_formosus ENSSFOG00015002000
paramormyrops_kingsleyae ENSPKIG00000003076
paramormyrops_kingsleyae ENSPKIG00000023070
lepisosteus_oculatus ENSLOCG00000012728
pygocentrus_nattereri ENSPNAG00000001444
astyanax_mexicanus ENSAMXG00000040397
danio_rerio ENSDARG00000086033
mastacembelus_armatus ENSMAMG00000018206
monopterus_albus ENSMALG00000003553
anabas_testudineus ENSATEG00000017147
seriola_dumerili ENSSDUG00000002128
seriola_lalandi_dorsalis ENSSLDG00000005104
scophthalmus_maximus ENSSMAG00000008965
mola_mola ENSMMOG00000006997
tetraodon_nigroviridis ENSTNIG00000010574
labrus_bergylta ENSLBEG00000021943
cynoglossus_semilaevis ENSCSEG00000004278
poecilia_formosa ENSPFOG00000004326
poecilia_mexicana ENSPMEG00000019447
poecilia_latipinna ENSPLAG00000013137
poecilia_reticulata ENSPREG00000004513
xiphophorus_maculatus ENSXMAG00000005800
xiphophorus_couchianus ENSXCOG00000005031
cyprinodon_variegatus ENSCVAG00000011780
