paramormyrops_kingsleyae ENSPKIG00000025443
scleropages_formosus ENSSFOG00015020620
scleropages_formosus ENSSFOG00015004530
fundulus_heteroclitus ENSFHEG00000000168
cyprinodon_variegatus ENSCVAG00000005527
xiphophorus_maculatus ENSXMAG00000010028
xiphophorus_couchianus ENSXCOG00000017361
gambusia_affinis ENSGAFG00000020323
poecilia_mexicana ENSPMEG00000020852
poecilia_formosa ENSPFOG00000005524
poecilia_latipinna ENSPLAG00000002454
poecilia_reticulata ENSPREG00000016531
kryptolebias_marmoratus ENSKMAG00000005958
oryzias_latipes ENSORLG00000027733
oryzias_latipes ENSORLG00020020637
oryzias_latipes_asm223469v1 ENSORLG00015016921
oryzias_melastigma ENSOMEG00000023915
maylandia_zebra ENSMZEG00005000975
astatotilapia_calliptera ENSACLG00000019616
haplochromis_burtoni ENSHBUG00000011818
pundamilia_nyererei ENSPNYG00000019630
neolamprologus_brichardi ENSNBRG00000022586
oreochromis_niloticus ENSONIG00000020321
amphilophus_citrinellus ENSACIG00000012413
amphilophus_citrinellus ENSACIG00000012389
amphiprion_ocellaris ENSAOCG00000012394
amphiprion_percula ENSAPEG00000023619
acanthochromis_polyacanthus ENSAPOG00000001734
stegastes_partitus ENSSPAG00000020949
monopterus_albus ENSMALG00000004758
seriola_dumerili ENSSDUG00000021025
seriola_lalandi_dorsalis ENSSLDG00000011714
mastacembelus_armatus ENSMAMG00000020528
cynoglossus_semilaevis ENSCSEG00000004715
hippocampus_comes ENSHCOG00000004876
tetraodon_nigroviridis ENSTNIG00000007090
takifugu_rubripes ENSTRUG00000011351
gasterosteus_aculeatus ENSGACG00000009971
gadus_morhua ENSGMOG00000016712
scophthalmus_maximus ENSSMAG00000012701
periophthalmus_magnuspinnatus ENSPMGG00000017319
anabas_testudineus ENSATEG00000016649
mola_mola ENSMMOG00000020047
labrus_bergylta ENSLBEG00000016364
esox_lucius ENSELUG00000005799
pygocentrus_nattereri ENSPNAG00000012810
astyanax_mexicanus ENSAMXG00000043601
ictalurus_punctatus ENSIPUG00000023776
danio_rerio ENSDARG00000074904
amphiprion_percula ENSAPEG00000013941
fundulus_heteroclitus ENSFHEG00000003233
gasterosteus_aculeatus ENSGACG00000015119
labrus_bergylta ENSLBEG00000007734
mola_mola ENSMMOG00000017312
monopterus_albus ENSMALG00000022214
mastacembelus_armatus ENSMAMG00000024118
xiphophorus_maculatus ENSXMAG00000017854
xiphophorus_couchianus ENSXCOG00000011445
gambusia_affinis ENSGAFG00000015253
poecilia_formosa ENSPFOG00000009566
poecilia_mexicana ENSPMEG00000023106
poecilia_reticulata ENSPREG00000007912
cyprinodon_variegatus ENSCVAG00000000663
kryptolebias_marmoratus ENSKMAG00000013243
oryzias_latipes ENSORLG00000023244
oryzias_latipes_asm223469v1 ENSORLG00015013627
oryzias_latipes ENSORLG00020018588
oryzias_melastigma ENSOMEG00000007441
maylandia_zebra ENSMZEG00005025992
haplochromis_burtoni ENSHBUG00000012381
pundamilia_nyererei ENSPNYG00000021760
oreochromis_niloticus ENSONIG00000017145
amphilophus_citrinellus ENSACIG00000003220
amphiprion_ocellaris ENSAOCG00000006782
acanthochromis_polyacanthus ENSAPOG00000010145
stegastes_partitus ENSSPAG00000018974
scophthalmus_maximus ENSSMAG00000020989
seriola_dumerili ENSSDUG00000022805
seriola_lalandi_dorsalis ENSSLDG00000012515
cynoglossus_semilaevis ENSCSEG00000020656
tetraodon_nigroviridis ENSTNIG00000000162
hippocampus_comes ENSHCOG00000000765
periophthalmus_magnuspinnatus ENSPMGG00000017162
gadus_morhua ENSGMOG00000002705
esox_lucius ENSELUG00000016476
astyanax_mexicanus ENSAMXG00000035993
lepisosteus_oculatus ENSLOCG00000003580
latimeria_chalumnae ENSLACG00000018601
