latimeria_chalumnae ENSLACG00000005900
xenopus_tropicalis ENSXETG00000011814
anolis_carolinensis ENSACAG00000009938
pogona_vitticeps ENSPVIG00000013781
notechis_scutatus ENSNSUG00000013489
salvator_merianae ENSSMRG00000022162
sphenodon_punctatus ENSSPUG00000001429
anser_brachyrhynchus ENSABRG00000020110
anas_platyrhynchos_platyrhynchos ENSAPLG00000015785
coturnix_japonica ENSCJPG00005001123
meleagris_gallopavo ENSMGAG00000003078
gallus_gallus ENSGALG00000006453
numida_meleagris ENSNMEG00000014737
calidris_pygmaea ENSCPGG00000014482
calidris_pugnax ENSCPUG00000013219
melopsittacus_undulatus ENSMUNG00000004263
manacus_vitellinus ENSMVIG00005009590
manacus_vitellinus ENSMVIG00005008397
lepidothrix_coronata ENSLCOG00000011547
junco_hyemalis ENSJHYG00000017024
zonotrichia_albicollis ENSZALG00000006223
serinus_canaria ENSSCAG00000005869
taeniopygia_guttata ENSTGUG00000006576
lonchura_striata_domestica ENSLSDG00000005253
ficedula_albicollis ENSFALG00000003053
cyanistes_caeruleus ENSCCEG00000020483
parus_major ENSPMJG00000016544
apteryx_owenii ENSAOWG00000000203
apteryx_rowi ENSARWG00000000972
apteryx_haastii ENSAHAG00000003121
dromaius_novaehollandiae ENSDNVG00000002810
nothoprocta_perdicaria ENSNPEG00000013767
crocodylus_porosus ENSCPRG00005009494
gopherus_agassizii ENSGAGG00000022364
chelonoidis_abingdonii ENSCABG00000006451
chrysemys_picta_bellii ENSCPBG00000021401
pelodiscus_sinensis ENSPSIG00000007885
phascolarctos_cinereus ENSPCIG00000018639
notamacropus_eugenii ENSMEUG00000015994
sarcophilus_harrisii ENSSHAG00000006037
monodelphis_domestica ENSMODG00000018479
phascolarctos_cinereus ENSPCIG00000010297
notamacropus_eugenii ENSMEUG00000009372
sarcophilus_harrisii ENSSHAG00000013757
capra_hircus ENSCHIG00000016965
ovis_aries ENSOARG00000008620
bos_taurus ENSBTAG00000001292
bos_mutus ENSBMUG00000002552
bison_bison_bison ENSBBBG00000014855
tursiops_truncatus ENSTTRG00000017296
sus_scrofa ENSSSCG00000029879
vicugna_pacos ENSVPAG00000000519
myotis_lucifugus ENSMLUG00000007164
pteropus_vampyrus ENSPVAG00000005726
equus_asinus_asinus ENSEASG00005008098
equus_caballus ENSECAG00000021499
ursus_maritimus ENSUMAG00000004626
ursus_americanus ENSUAMG00000000840
ailuropoda_melanoleuca ENSAMEG00000012314
neovison_vison ENSNVIG00000021427
mustela_putorius_furo ENSMPUG00000015188
canis_lupus_dingo ENSCAFG00020013870
canis_lupus_familiaris ENSCAFG00000013763
vulpes_vulpes ENSVVUG00000005153
panthera_pardus ENSPPRG00000023139
panthera_tigris_altaica ENSPTIG00000014330
felis_catus ENSFCAG00000014504
pan_paniscus ENSPPAG00000020269
pan_troglodytes ENSPTRG00000014850
homo_sapiens ENSG00000012223
gorilla_gorilla ENSGGOG00000008073
pongo_abelii ENSPPYG00000013935
nomascus_leucogenys ENSNLEG00000006121
piliocolobus_tephrosceles ENSPTEG00000009023
colobus_angolensis_palliatus ENSCANG00000043820
rhinopithecus_bieti ENSRBIG00000027650
rhinopithecus_roxellana ENSRROG00000029383
theropithecus_gelada ENSTGEG00000011686
papio_anubis ENSPANG00000007056
mandrillus_leucophaeus ENSMLEG00000037966
macaca_mulatta ENSMMUG00000014261
macaca_fascicularis ENSMFAG00000035473
macaca_nemestrina ENSMNEG00000037556
cercocebus_atys ENSCATG00000041258
chlorocebus_sabaeus ENSCSAG00000016238
saimiri_boliviensis_boliviensis ENSSBOG00000029832
cebus_capucinus_imitator ENSCCAG00000032272
callithrix_jacchus ENSCJAG00000002108
aotus_nancymaae ENSANAG00000034650
carlito_syrichta ENSTSYG00000011335
propithecus_coquereli ENSPCOG00000013753
prolemur_simus ENSPSMG00000010784
microcebus_murinus ENSMICG00000049383
otolemur_garnettii ENSOGAG00000016290
mus_spicilegus ENSMSIG00000025653
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033900
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000032496
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032752
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015619
rattus_norvegicus ENSRNOG00000031779
meriones_unguiculatus ENSMUGG00000020870
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023833
cricetulus_griseus_crigri-picr ENSCGRG00015018296
