ENSPVAP00000007783	ENSPVAG00000008238	Pteropus_vampyrus
ENSMLUP00000006906	ENSMLUG00000007562	Myotis_lucifugus
ENSSARP00000007655	ENSSARG00000008456	Sorex_araneus
ENSEEUP00000008175	ENSEEUG00000008981	Erinaceus_europaeus
ENSBIXP00000032195	ENSBIXG00000014674	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027155	ENSBIXG00005001729	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000007359	ENSBMUG00000005788	Bos_mutus
ENSBTAP00000069708	ENSBTAG00000055017	Bos_taurus
ENSBBBP00000005010	ENSBBBG00000002963	Bison_bison_bison
ENSOARP00000004485	ENSOARG00000004198	Ovis_aries
ENSSSCP00000018957	ENSSSCG00000017896	Sus_scrofa_strain_reference
ENSTTRP00000010316	ENSTTRG00000010884	Tursiops_truncatus
ENSECAP00000014470	ENSECAG00000016938	Equus_caballus
ENSEASP00005022507	ENSEASG00005015379	Equus_asinus_asinus
ENSUMAP00000018458	ENSUMAG00000013561	Ursus_maritimus
ENSUAMP00000005261	ENSUAMG00000004704	Ursus_americanus
ENSAMEP00000006516	ENSAMEG00000006189	Ailuropoda_melanoleuca
ENSMPUP00000010978	ENSMPUG00000011068	Mustela_putorius_furo
ENSNVIP00000024707	ENSNVIG00000019137	Neovison_vison
ENSVVUP00000038474	ENSVVUG00000027438	Vulpes_vulpes
ENSCAFP00000022929	ENSCAFG00000015599	Canis_lupus_familiaris
ENSPPRP00000024266	ENSPPRG00000014489	Panthera_pardus
ENSPTIP00000012189	ENSPTIG00000012350	Panthera_tigris_altaica
ENSFCAP00000050512	ENSFCAG00000040469	Felis_catus
ENSPTRP00000014723	ENSPTRG00000008626	Pan_troglodytes
ENSPPAP00000006725	ENSPPAG00000025583	Pan_paniscus
ENSP00000461269	ENSG00000161929	Homo_sapiens
ENSGGOP00000026670	ENSGGOG00000025481	Gorilla_gorilla
ENSPPYP00000008855	ENSPPYG00000007865	Pongo_abelii
ENSNLEP00000032388	ENSNLEG00000034146	Nomascus_leucogenys
ENSTGEP00000025283	ENSTGEG00000020382	Theropithecus_gelada
ENSPANP00000022240	ENSPANG00000029803	Papio_anubis
ENSMLEP00000022325	ENSMLEG00000035368	Mandrillus_leucophaeus
ENSMFAP00000026244	ENSMFAG00000044584	Macaca_fascicularis
ENSMMUP00000068318	ENSMMUG00000057987	Macaca_mulatta
ENSCANP00000021966	ENSCANG00000034427	Colobus_angolensis_palliatus
ENSCSAP00000009015	ENSCSAG00000012849	Chlorocebus_sabaeus
ENSMNEP00000018989	ENSMNEG00000033387	Macaca_nemestrina
ENSCATP00000036301	ENSCATG00000040963	Cercocebus_atys
ENSRROP00000011670	ENSRROG00000030162	Rhinopithecus_roxellana
ENSRBIP00000004027	ENSRBIG00000018843	Rhinopithecus_bieti
ENSCCAP00000022829	ENSCCAG00000029211	Cebus_capucinus_imitator
ENSSBOP00000031879	ENSSBOG00000032132	Saimiri_boliviensis_boliviensis
ENSCJAP00000021177	ENSCJAG00000011513	Callithrix_jacchus
ENSANAP00000031335	ENSANAG00000033409	Aotus_nancymaae
ENSTSYP00000019548	ENSTSYG00000027528	Carlito_syrichta
ENSMICP00000000217	ENSMICG00000000241	Microcebus_murinus
ENSPCOP00000013567	ENSPCOG00000018419	Propithecus_coquereli
ENSPSMP00000026204	ENSPSMG00000018388	Prolemur_simus
ENSTBEP00000009498	ENSTBEG00000010994	Tupaia_belangeri
ENSMUSP00000104174	ENSMUSG00000057135	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000029214	ENSMSIG00000024527	Mus_spicilegus
MGP_SPRETEiJ_P0029312	MGP_SPRETEiJ_G0017488	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0027931	MGP_CAROLIEiJ_G0016652	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0034675	MGP_PahariEiJ_G0017783	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000053447	ENSRNOG00000037409	Rattus_norvegicus
ENSMUGP00000028243	ENSMUGG00000023442	Meriones_unguiculatus
ENSPEMP00000031668	ENSPEMG00000024658	Peromyscus_maniculatus_bairdii
ENSMOCP00000020574	ENSMOCG00000018214	Microtus_ochrogaster
ENSCGRP00001013184	ENSCGRG00001014394	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000018127	ENSCGRG00000013184	Cricetulus_griseus_CriGri_1.0
