loxodonta_africana ENSLAFG00000013127
procavia_capensis ENSPCAG00000001181
echinops_telfairi ENSETEG00000016164
choloepus_hoffmanni ENSCHOG00000012501
ursus_maritimus ENSUMAG00000012210
ursus_americanus ENSUAMG00000007287
ailuropoda_melanoleuca ENSAMEG00000002084
mustela_putorius_furo ENSMPUG00000016347
neovison_vison ENSNVIG00000009614
canis_lupus_familiaris ENSCAFG00000005213
vulpes_vulpes ENSVVUG00000006814
panthera_tigris_altaica ENSPTIG00000004908
panthera_pardus ENSPPRG00000009864
felis_catus ENSFCAG00000009007
tursiops_truncatus ENSTTRG00000001341
sus_scrofa ENSSSCG00000021815
capra_hircus ENSCHIG00000012562
ovis_aries ENSOARG00000012768
bos_taurus ENSBTAG00000006078
bos_mutus ENSBMUG00000001273
bison_bison_bison ENSBBBG00000001123
myotis_lucifugus ENSMLUG00000000138
pteropus_vampyrus ENSPVAG00000007085
equus_caballus ENSECAG00000006776
mus_spicilegus ENSMSIG00000026089
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024094
mus_musculus ENSMUSG00000023206
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023177
mus_pahari MGP_PahariEiJ_G0019236
rattus_norvegicus ENSRNOG00000018706
meriones_unguiculatus ENSMUGG00000000549
cricetulus_griseus_crigri ENSCGRG00000007242
cricetulus_griseus_chok1gshd ENSCGRG00001019754
cricetulus_griseus_crigri-picr ENSCGRG00015015990
mesocricetus_auratus ENSMAUG00000020115
microtus_ochrogaster ENSMOCG00000008515
peromyscus_maniculatus_bairdii ENSPEMG00000023000
nannospalax_galili ENSNGAG00000012486
jaculus_jaculus ENSJJAG00000010176
castor_canadensis ENSCCNG00000023862
dipodomys_ordii ENSDORG00000026716
urocitellus_parryii ENSUPAG00010000184
ictidomys_tridecemlineatus ENSSTOG00000005886
marmota_marmota_marmota ENSMMMG00000015476
spermophilus_dauricus ENSSDAG00000002507
cavia_porcellus ENSCPOG00000002495
cavia_aperea ENSCAPG00000002336
octodon_degus ENSODEG00000004284
chinchilla_lanigera ENSCLAG00000009610
heterocephalus_glaber_female ENSHGLG00000012759
heterocephalus_glaber_male ENSHGLG00100014226
oryctolagus_cuniculus ENSOCUG00000007203
oryctolagus_cuniculus ENSOCUG00000006248
ochotona_princeps ENSOPRG00000002955
pan_troglodytes ENSPTRG00000002262
homo_sapiens ENSG00000134470
gorilla_gorilla ENSGGOG00000003347
pongo_abelii ENSPPYG00000002065
nomascus_leucogenys ENSNLEG00000011627
chlorocebus_sabaeus ENSCSAG00000013636
mandrillus_leucophaeus ENSMLEG00000032545
theropithecus_gelada ENSTGEG00000024316
papio_anubis ENSPANG00000023429
cercocebus_atys ENSCATG00000040404
macaca_nemestrina ENSMNEG00000028915
piliocolobus_tephrosceles ENSPTEG00000023741
colobus_angolensis_palliatus ENSCANG00000040998
rhinopithecus_bieti ENSRBIG00000016773
rhinopithecus_roxellana ENSRROG00000029822
macaca_fascicularis ENSMFAG00000045254
pan_paniscus ENSPPAG00000030491
macaca_mulatta ENSMMUG00000015149
cebus_capucinus ENSCCAG00000036423
saimiri_boliviensis_boliviensis ENSSBOG00000018869
callithrix_jacchus ENSCJAG00000020567
aotus_nancymaae ENSANAG00000035082
carlito_syrichta ENSTSYG00000028176
propithecus_coquereli ENSPCOG00000028585
microcebus_murinus ENSMICG00000009667
otolemur_garnettii ENSOGAG00000032918
dasypus_novemcinctus ENSDNOG00000043244
equus_asinus_asinus ENSEASG00005019195
phascolarctos_cinereus ENSPCIG00000023461
sarcophilus_harrisii ENSSHAG00000010627
monodelphis_domestica ENSMODG00000018517
ornithorhynchus_anatinus ENSOANG00000031460
danio_rerio ENSDARG00000069311
