apteryx_haastii ENSAHAG00000008906
apteryx_rowi ENSARWG00000012036
apteryx_owenii ENSAOWG00000007028
dromaius_novaehollandiae ENSDNVG00000015128
nothoprocta_perdicaria ENSNPEG00000008094
anser_brachyrhynchus ENSABRG00000005721
anas_platyrhynchos_platyrhynchos ENSAPLG00000015458
meleagris_gallopavo ENSMGAG00000002330
coturnix_japonica ENSCJPG00005009179
gallus_gallus ENSGALG00000000417
numida_meleagris ENSNMEG00000009195
calidris_pugnax ENSCPUG00000019713
calidris_pygmaea ENSCPGG00000019291
lonchura_striata_domestica ENSLSDG00000008950
taeniopygia_guttata ENSTGUG00000000891
junco_hyemalis ENSJHYG00000016850
zonotrichia_albicollis ENSZALG00000006280
serinus_canaria ENSSCAG00000013736
parus_major ENSPMJG00000011951
cyanistes_caeruleus ENSCCEG00000006438
ficedula_albicollis ENSFALG00000003072
lepidothrix_coronata ENSLCOG00000005173
manacus_vitellinus ENSMVIG00005011289
melopsittacus_undulatus ENSMUNG00000006530
crocodylus_porosus ENSCPRG00005003700
chelonoidis_abingdonii ENSCABG00000006381
gopherus_agassizii ENSGAGG00000012116
chrysemys_picta_bellii ENSCPBG00000001674
pelodiscus_sinensis ENSPSIG00000018141
anolis_carolinensis ENSACAG00000012759
pogona_vitticeps ENSPVIG00000017018
notechis_scutatus ENSNSUG00000015365
notechis_scutatus ENSNSUG00000015123
sphenodon_punctatus ENSSPUG00000009716
ursus_americanus ENSUAMG00000017325
ursus_maritimus ENSUMAG00000013626
ailuropoda_melanoleuca ENSAMEG00000011510
neovison_vison ENSNVIG00000023255
mustela_putorius_furo ENSMPUG00000003825
canis_lupus_dingo ENSCAFG00020009610
canis_lupus_familiaris ENSCAFG00000019788
vulpes_vulpes ENSVVUG00000002937
panthera_pardus ENSPPRG00000012383
panthera_tigris_altaica ENSPTIG00000008350
felis_catus ENSFCAG00000007673
equus_asinus_asinus ENSEASG00005005361
equus_caballus ENSECAG00000022107
myotis_lucifugus ENSMLUG00000007191
pteropus_vampyrus ENSPVAG00000007192
tursiops_truncatus ENSTTRG00000001318
vicugna_pacos ENSVPAG00000011400
capra_hircus ENSCHIG00000025177
ovis_aries ENSOARG00000019433
bos_mutus ENSBMUG00000002898
bison_bison_bison ENSBBBG00000009481
bos_taurus ENSBTAG00000015380
sus_scrofa ENSSSCG00000006808
sorex_araneus ENSSARG00000000370
erinaceus_europaeus ENSEEUG00000011203
pan_troglodytes ENSPTRG00000023772
pan_paniscus ENSPPAG00000035725
homo_sapiens ENSG00000168679
gorilla_gorilla ENSGGOG00000016418
pongo_abelii ENSPPYG00000001050
nomascus_leucogenys ENSNLEG00000035516
colobus_angolensis_palliatus ENSCANG00000038687
piliocolobus_tephrosceles ENSPTEG00000027493
rhinopithecus_roxellana ENSRROG00000028929
rhinopithecus_bieti ENSRBIG00000043053
macaca_fascicularis ENSMFAG00000041455
macaca_nemestrina ENSMNEG00000044851
macaca_mulatta ENSMMUG00000015022
cercocebus_atys ENSCATG00000030942
papio_anubis ENSPANG00000005664
theropithecus_gelada ENSTGEG00000002655
mandrillus_leucophaeus ENSMLEG00000033046
chlorocebus_sabaeus ENSCSAG00000001564
cebus_capucinus_imitator ENSCCAG00000021749
saimiri_boliviensis_boliviensis ENSSBOG00000027853
callithrix_jacchus ENSCJAG00000003423
aotus_nancymaae ENSANAG00000027838
carlito_syrichta ENSTSYG00000011203
prolemur_simus ENSPSMG00000011010
microcebus_murinus ENSMICG00000005260
propithecus_coquereli ENSPCOG00000018546
otolemur_garnettii ENSOGAG00000009191
castor_canadensis ENSCCNG00000009625
dipodomys_ordii ENSDORG00000005670
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026450
mus_spicilegus ENSMSIG00000032156
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000027896
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025500
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026946
rattus_norvegicus ENSRNOG00000018131
meriones_unguiculatus ENSMUGG00000023695
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013244
cricetulus_griseus_crigri-picr ENSCGRG00015025970
cricetulus_griseus_crigri_1.0 ENSCGRG00000011618
mesocricetus_auratus ENSMAUG00000001178
peromyscus_maniculatus_bairdii ENSPEMG00000005593
microtus_ochrogaster ENSMOCG00000000077
nannospalax_galili ENSNGAG00000006546
jaculus_jaculus ENSJJAG00000004880
urocitellus_parryii ENSUPAG00010016126
ictidomys_tridecemlineatus ENSSTOG00000025557
spermophilus_dauricus ENSSDAG00000011947
marmota_marmota_marmota ENSMMMG00000020793
chinchilla_lanigera ENSCLAG00000004685
octodon_degus ENSODEG00000005794
cavia_porcellus ENSCPOG00000007529
cavia_aperea ENSCAPG00000015616
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014623
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019214
fukomys_damarensis ENSFDAG00000005633
oryctolagus_cuniculus ENSOCUG00000002440
ochotona_princeps ENSOPRG00000004208
tupaia_belangeri ENSTBEG00000008543
procavia_capensis ENSPCAG00000006379
echinops_telfairi ENSETEG00000010517
choloepus_hoffmanni ENSCHOG00000013384
dasypus_novemcinctus ENSDNOG00000016208
notamacropus_eugenii ENSMEUG00000016028
phascolarctos_cinereus ENSPCIG00000003431
sarcophilus_harrisii ENSSHAG00000010723
