chinchilla_lanigera ENSCLAG00000007840
octodon_degus ENSODEG00000016845
cavia_porcellus ENSCPOG00000037004
cavia_aperea ENSCAPG00000017975
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000016909
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013050
fukomys_damarensis ENSFDAG00000000273
castor_canadensis ENSCCNG00000002855
ictidomys_tridecemlineatus ENSSTOG00000012570
spermophilus_dauricus ENSSDAG00000003155
marmota_marmota_marmota ENSMMMG00000018469
urocitellus_parryii ENSUPAG00010006650
oryctolagus_cuniculus ENSOCUG00000029527
ochotona_princeps ENSOPRG00000013056
tupaia_belangeri ENSTBEG00000010982
pan_troglodytes ENSPTRG00000008623
pan_paniscus ENSPPAG00000039209
homo_sapiens ENSG00000167840
gorilla_gorilla ENSGGOG00000014373
pongo_abelii ENSPPYG00000007860
nomascus_leucogenys ENSNLEG00000018255
rhinopithecus_roxellana ENSRROG00000025813
rhinopithecus_bieti ENSRBIG00000033421
piliocolobus_tephrosceles ENSPTEG00000020650
colobus_angolensis_palliatus ENSCANG00000036313
cercocebus_atys ENSCATG00000030396
mandrillus_leucophaeus ENSMLEG00000036590
theropithecus_gelada ENSTGEG00000020306
papio_anubis ENSPANG00000034228
macaca_fascicularis ENSMFAG00000044344
macaca_mulatta ENSMMUG00000004779
macaca_nemestrina ENSMNEG00000029740
chlorocebus_sabaeus ENSCSAG00000012857
cebus_capucinus_imitator ENSCCAG00000032143
saimiri_boliviensis_boliviensis ENSSBOG00000026199
callithrix_jacchus ENSCJAG00000011531
aotus_nancymaae ENSANAG00000037004
carlito_syrichta ENSTSYG00000008060
prolemur_simus ENSPSMG00000018395
propithecus_coquereli ENSPCOG00000014909
microcebus_murinus ENSMICG00000008086
otolemur_garnettii ENSOGAG00000014767
spermophilus_dauricus ENSSDAG00000012058
tursiops_truncatus ENSTTRG00000010916
sus_scrofa ENSSSCG00000022999
ovis_aries ENSOARG00000004260
capra_hircus ENSCHIG00000020438
pteropus_vampyrus ENSPVAG00000017794
dasypus_novemcinctus ENSDNOG00000008737
dasypus_novemcinctus ENSDNOG00000045973
dasypus_novemcinctus ENSDNOG00000010486
choloepus_hoffmanni ENSCHOG00000008293
