petromyzon_marinus ENSPMAG00000004099
eptatretus_burgeri ENSEBUG00000016758
eptatretus_burgeri ENSEBUG00000000799
latimeria_chalumnae ENSLACG00000016959
xenopus_tropicalis ENSXETG00000004622
paramormyrops_kingsleyae ENSPKIG00000019517
scleropages_formosus ENSSFOG00015000579
scleropages_formosus ENSSFOG00015009552
paramormyrops_kingsleyae ENSPKIG00000024273
hippocampus_comes ENSHCOG00000010954
periophthalmus_magnuspinnatus ENSPMGG00000002574
lates_calcarifer ENSLCAG00010005901
seriola_lalandi ENSSLDG00000025060
mastacembelus_armatus ENSMAMG00000017577
oreochromis_niloticus ENSONIG00000010052
neolamprologus_brichardi ENSNBRG00000012556
pundamilia_nyererei ENSPNYG00000014546
amphilophus_citrinellus ENSACIG00000007455
larimichthys_crocea ENSLCRG00005004574
labrus_bergylta ENSLBEG00000017459
maylandia_zebra ENSMZEG00005009343
haplochromis_burtoni ENSHBUG00000021829
astatotilapia_calliptera ENSACLG00000024677
seriola_dumerili ENSSDUG00000002449
monopterus_albus ENSMALG00000004257
amphiprion_percula ENSAPEG00000023405
amphiprion_ocellaris ENSAOCG00000003577
acanthochromis_polyacanthus ENSAPOG00000010199
stegastes_partitus ENSSPAG00000008018
gouania_willdenowi ENSGWIG00000009898
poecilia_formosa ENSPFOG00000019489
poecilia_latipinna ENSPLAG00000000478
poecilia_mexicana ENSPMEG00000013352
poecilia_reticulata ENSPREG00000007261
xiphophorus_maculatus ENSXMAG00000006396
xiphophorus_couchianus ENSXCOG00000007131
gambusia_affinis ENSGAFG00000005568
cyprinodon_variegatus ENSCVAG00000015719
fundulus_heteroclitus ENSFHEG00000022276
oryzias_latipes ENSORLG00020014804
oryzias_latipes ENSORLG00000012215
oryzias_latipes ENSORLG00015023042
oryzias_melastigma ENSOMEG00000020365
betta_splendens ENSBSLG00000008856
cynoglossus_semilaevis ENSCSEG00000012635
takifugu_rubripes ENSTRUG00000000155
tetraodon_nigroviridis ENSTNIG00000016647
mola_mola ENSMMOG00000001065
scophthalmus_maximus ENSSMAG00000009980
anabas_testudineus ENSATEG00000016244
parambassis_ranga ENSPRNG00000012733
kryptolebias_marmoratus ENSKMAG00000007936
cottoperca_gobio ENSCGOG00000017167
gasterosteus_aculeatus ENSGACG00000004455
gadus_morhua ENSGMOG00000018929
esox_lucius ENSELUG00000017583
hucho_hucho ENSHHUG00000006749
clupea_harengus ENSCHAG00000001609
denticeps_clupeoides ENSDCDG00000028225
astyanax_mexicanus ENSAMXG00000040058
astyanax_mexicanus ENSAMXG00005001401
pygocentrus_nattereri ENSPNAG00000000136
ictalurus_punctatus ENSIPUG00000005003
electrophorus_electricus ENSEEEG00000008924
