	ENSPFOT00000013815	ENSPRET00000005658	ENSXMAT00000018250	ENSEBUT00000002856	ENSCHAT00000009156	ENSDCDT00000009682	ENSFHET00000009476	ENSTRUT00000016541	ENSLBET00000023132	ENSEBUT00000025570	ENSCHAT00000009222	ENSPMET00000012714	ENSPMAT00000001519	ENSGAFT00000011037	ENSDCDT00000009649	ENSGAFT00000011031	ENSPLAT00000011697	ENSPLAT00000011690	ENSXMAT00000038357	ENSEBUT00000025555	ENSDCDT00000009653	ENSTRUT00000016540
ENSPFOT00000013815	1.0	0.99009900990099	0.9849504950495048	0.40673267326732665	0.8748514851485149	0.7845544554455446	0.9596039603960396	0.9251485148514852	0.931881188118812	0.7017821782178217	0.7132673267326732	0.9766336633663366	0.7362376237623762	0.876039603960396	0.8479207920792079	0.984158415841584	0.8899009900990099	0.9992079207920792	0.8772277227722772	0.6637623762376238	0.7944554455445545	0.9057425742574258
ENSPRET00000005658	0.99009900990099	1.0	0.984158415841584	0.4071287128712871	0.8748514851485149	0.7821782178217822	0.9556435643564356	0.9211881188118812	0.9302970297029703	0.7049504950495049	0.7124752475247524	0.9702970297029704	0.7346534653465346	0.8756435643564356	0.8455445544554455	0.9833663366336634	0.8835643564356436	0.9908910891089108	0.8768316831683168	0.666930693069307	0.7924752475247525	0.9021782178217822
ENSXMAT00000018250	0.9849504950495048	0.984158415841584	1.0	0.4051485148514852	0.8693069306930693	0.7825742574257426	0.9552475247524752	0.9207920792079208	0.9370297029702972	0.7017821782178217	0.7093069306930693	0.9647524752475248	0.7330693069306929	0.883960396039604	0.8463366336633663	0.9912871287128712	0.8776237623762376	0.9853465346534652	0.8906930693069307	0.6637623762376238	0.7936633663366337	0.9013861386138614
ENSEBUT00000002856	0.40673267326732665	0.4071287128712871	0.4051485148514852	1.0	0.3912871287128713	0.4879207920792079	0.4063366336633663	0.4055445544554456	0.40198019801980195	0.5493069306930694	0.4205940594059405	0.4253465346534653	0.4245544554455445	0.3603960396039604	0.4106930693069306	0.40396039603960404	0.3627722772277228	0.40673267326732665	0.3611881188118812	0.5112871287128713	0.4031683168316832	0.4233663366336633
ENSCHAT00000009156	0.8748514851485149	0.8748514851485149	0.8693069306930693	0.3912871287128713	1.0	0.7889108910891091	0.876039603960396	0.8665346534653465	0.8661386138613861	0.6835643564356436	0.7940594059405941	0.8594059405940594	0.7203960396039604	0.7782178217821782	0.8562376237623762	0.8716831683168317	0.7817821782178218	0.8748514851485149	0.777029702970297	0.6455445544554456	0.7984158415841585	0.8475247524752475
ENSDCDT00000009682	0.7845544554455446	0.7821782178217822	0.7825742574257426	0.4879207920792079	0.7889108910891091	1.0	0.7845544554455446	0.7809900990099008	0.7798019801980198	0.7093069306930693	0.7936633663366337	0.7726732673267327	0.7065346534653465	0.6954455445544554	0.9013861386138614	0.7817821782178218	0.6974257425742574	0.7845544554455446	0.6962376237623762	0.6712871287128713	0.8439603960396039	0.7683168316831683
ENSFHET00000009476	0.9596039603960396	0.9556435643564356	0.9552475247524752	0.4063366336633663	0.876039603960396	0.7845544554455446	1.0	0.9334653465346536	0.9291089108910892	0.7005940594059406	0.7152475247524752	0.9405940594059404	0.7338613861386138	0.8526732673267327	0.8491089108910891	0.956039603960396	0.8558415841584158	0.9603960396039604	0.8518811881188119	0.6625742574257426	0.7944554455445545	0.9132673267326732
ENSTRUT00000016541	0.9251485148514852	0.9211881188118812	0.9207920792079208	0.4055445544554456	0.8665346534653465	0.7809900990099008	0.9334653465346536	1.0	0.9203960396039604	0.6958415841584158	0.7053465346534653	0.9073267326732674	0.7330693069306929	0.8265346534653465	0.8439603960396039	0.921980198019802	0.8297029702970297	0.9255445544554456	0.8261386138613861	0.6578217821782179	0.7924752475247525	0.9774257425742574
ENSLBET00000023132	0.931881188118812	0.9302970297029703	0.9370297029702972	0.40198019801980195	0.8661386138613861	0.7798019801980198	0.9291089108910892	0.9203960396039604	1.0	0.6966336633663366	0.7077227722772277	0.914059405940594	0.7259405940594059	0.8352475247524752	0.8431683168316831	0.9342574257425744	0.8320792079207919	0.9314851485148516	0.8368316831683168	0.6586138613861386	0.7889108910891091	0.9001980198019802
ENSEBUT00000025570	0.7017821782178217	0.7049504950495049	0.7017821782178217	0.5493069306930694	0.6835643564356436	0.7093069306930693	0.7005940594059406	0.6958415841584158	0.6966336633663366	1.0	0.5912871287128713	0.6895049504950495	0.7017821782178217	0.6205940594059406	0.7061386138613861	0.700990099009901	0.6213861386138614	0.7017821782178217	0.6213861386138614	0.961980198019802	0.6613861386138614	0.6827722772277228
ENSCHAT00000009222	0.7132673267326732	0.7124752475247524	0.7093069306930693	0.4205940594059405	0.7940594059405941	0.7936633663366337	0.7152475247524752	0.7053465346534653	0.7077227722772277	0.5912871287128713	1.0	0.7334653465346535	0.5904950495049505	0.6542574257425743	0.7243564356435643	0.7120792079207919	0.6558415841584159	0.7132673267326732	0.6526732673267327	0.5532673267326733	0.7045544554455445	0.7231683168316831
ENSPMET00000012714	0.9766336633663366	0.9702970297029704	0.9647524752475248	0.4253465346534653	0.8594059405940594	0.7726732673267327	0.9405940594059404	0.9073267326732674	0.914059405940594	0.6895049504950495	0.7334653465346535	1.0	0.7235643564356435	0.8986138613861386	0.8308910891089109	0.9643564356435644	0.9093069306930692	0.9758415841584158	0.8998019801980198	0.6514851485148515	0.8150495049504951	0.9251485148514852
ENSPMAT00000001519	0.7362376237623762	0.7346534653465346	0.7330693069306929	0.4245544554455445	0.7203960396039604	0.7065346534653465	0.7338613861386138	0.7330693069306929	0.7259405940594059	0.7017821782178217	0.5904950495049505	0.7235643564356435	1.0	0.6582178217821782	0.7243564356435643	0.7342574257425742	0.6605940594059406	0.7358415841584158	0.6578217821782179	0.6637623762376238	0.6851485148514852	0.7188118811881188
ENSGAFT00000011037	0.876039603960396	0.8756435643564356	0.883960396039604	0.3603960396039604	0.7782178217821782	0.6954455445544554	0.8526732673267327	0.8265346534653465	0.8352475247524752	0.6205940594059406	0.6542574257425743	0.8986138613861386	0.6582178217821782	1.0	0.7540594059405941	0.8906930693069307	0.9857425742574256	0.8764356435643564	0.9928712871287128	0.5825742574257425	0.8146534653465346	0.8443564356435643
ENSDCDT00000009649	0.8479207920792079	0.8455445544554455	0.8463366336633663	0.4106930693069306	0.8562376237623762	0.9013861386138614	0.8491089108910891	0.8439603960396039	0.8431683168316831	0.7061386138613861	0.7243564356435643	0.8308910891089109	0.7243564356435643	0.7540594059405941	1.0	0.8455445544554455	0.7556435643564356	0.8479207920792079	0.7548514851485149	0.6681188118811882	0.9370297029702972	0.8257425742574257
