anolis_carolinensis ENSACAG00000005301
pogona_vitticeps ENSPVIG00000003722
notechis_scutatus ENSNSUG00000011478
salvator_merianae ENSSMRG00000015276
sphenodon_punctatus ENSSPUG00000001837
lepidothrix_coronata ENSLCOG00000004995
manacus_vitellinus ENSMVIG00005013098
junco_hyemalis ENSJHYG00000002985
zonotrichia_albicollis ENSZALG00000013744
serinus_canaria ENSSCAG00000006468
taeniopygia_guttata ENSTGUG00000000377
lonchura_striata_domestica ENSLSDG00000015856
ficedula_albicollis ENSFALG00000006554
cyanistes_caeruleus ENSCCEG00000007839
parus_major ENSPMJG00000004392
melopsittacus_undulatus ENSMUNG00000003841
calidris_pygmaea ENSCPGG00000010732
calidris_pugnax ENSCPUG00000019127
anas_platyrhynchos_platyrhynchos ENSAPLG00000008184
anser_brachyrhynchus ENSABRG00000020617
meleagris_gallopavo ENSMGAG00000003270
gallus_gallus ENSGALG00000005763
coturnix_japonica ENSCJPG00005010942
numida_meleagris ENSNMEG00000005554
apteryx_haastii ENSAHAG00000004221
apteryx_owenii ENSAOWG00000016996
apteryx_rowi ENSARWG00000001592
dromaius_novaehollandiae ENSDNVG00000018870
nothoprocta_perdicaria ENSNPEG00000010713
crocodylus_porosus ENSCPRG00005003212
gopherus_agassizii ENSGAGG00000012448
chelonoidis_abingdonii ENSCABG00000001890
chrysemys_picta_bellii ENSCPBG00000018691
pelodiscus_sinensis ENSPSIG00000008538
notamacropus_eugenii ENSMEUG00000013064
phascolarctos_cinereus ENSPCIG00000007205
loxodonta_africana ENSLAFG00000018403
procavia_capensis ENSPCAG00000009710
echinops_telfairi ENSETEG00000002838
dasypus_novemcinctus ENSDNOG00000010025
equus_caballus ENSECAG00000012325
equus_asinus_asinus ENSEASG00005007472
pteropus_vampyrus ENSPVAG00000013624
ursus_americanus ENSUAMG00000005135
ursus_maritimus ENSUMAG00000006079
ailuropoda_melanoleuca ENSAMEG00000017826
canis_lupus_dingo ENSCAFG00020000940
canis_lupus_familiaris ENSCAFG00000004890
vulpes_vulpes ENSVVUG00000006336
panthera_pardus ENSPPRG00000004951
panthera_tigris_altaica ENSPTIG00000009941
felis_catus ENSFCAG00000002285
myotis_lucifugus ENSMLUG00000010367
neovison_vison ENSNVIG00000024932
erinaceus_europaeus ENSEEUG00000005576
sorex_araneus ENSSARG00000010972
bos_taurus ENSBTAG00000012963
bos_mutus ENSBMUG00000007909
bison_bison_bison ENSBBBG00000005122
ovis_aries ENSOARG00000000692
capra_hircus ENSCHIG00000021533
tursiops_truncatus ENSTTRG00000005440
sus_scrofa ENSSSCG00000011246
heterocephalus_glaber_female ENSHGLG00000006895
heterocephalus_glaber_male ENSHGLG00100000773
