mastacembelus_armatus ENSMAMG00000017119
oreochromis_niloticus ENSONIG00000011284
astyanax_mexicanus ENSAMXG00000035014
mesocricetus_auratus ENSMAUG00000020615
marmota_marmota_marmota ENSMMMG00000013027
aotus_nancymaae ENSANAG00000026657
ursus_americanus ENSUAMG00000006513
ursus_maritimus ENSUMAG00000025402
panthera_tigris_altaica ENSPTIG00000021416
equus_caballus ENSECAG00000022731
equus_asinus_asinus ENSEASG00005007062
sus_scrofa ENSSSCG00000022506
ornithorhynchus_anatinus ENSOANG00000020546
apteryx_owenii ENSAOWG00000003593
apteryx_haastii ENSAHAG00000016765
zonotrichia_albicollis ENSZALG00000008647
chelonoidis_abingdonii ENSCABG00000010331
chrysemys_picta_bellii ENSCPBG00000012145
salvator_merianae ENSSMRG00000020973
