labrus_bergylta ENSLBEG00000013514
takifugu_rubripes ENSTRUG00000024826
cynoglossus_semilaevis ENSCSEG00000008733
mastacembelus_armatus ENSMAMG00000000180
poecilia_latipinna ENSPLAG00000023159
poecilia_mexicana ENSPMEG00000003902
poecilia_formosa ENSPFOG00000022847
gambusia_affinis ENSGAFG00000018156
xiphophorus_maculatus ENSXMAG00000026775
fundulus_heteroclitus ENSFHEG00000004883
cyprinodon_variegatus ENSCVAG00000022272
kryptolebias_marmoratus ENSKMAG00000015772
hippocampus_comes ENSHCOG00000018148
monopterus_albus ENSMALG00000020872
anabas_testudineus ENSATEG00000021177
mola_mola ENSMMOG00000009133
acanthochromis_polyacanthus ENSAPOG00000018268
amphiprion_percula ENSAPEG00000008666
stegastes_partitus ENSSPAG00000006574
astatotilapia_calliptera ENSACLG00000027346
haplochromis_burtoni ENSHBUG00000013576
maylandia_zebra ENSMZEG00005010942
pundamilia_nyererei ENSPNYG00000022117
neolamprologus_brichardi ENSNBRG00000002416
amphilophus_citrinellus ENSACIG00000012342
seriola_lalandi_dorsalis ENSSLDG00000010296
seriola_dumerili ENSSDUG00000018451
esox_lucius ENSELUG00000001448
astyanax_mexicanus ENSAMXG00000038468
paramormyrops_kingsleyae ENSPKIG00000002521
