ENSPCIP00000015607	ENSPCIG00000012111	Phascolarctos_cinereus
ENSPTEP00000008299	ENSPTEG00000009393	Piliocolobus_tephrosceles
ENSKMAP00000018776	ENSKMAG00000013945	Kryptolebias_marmoratus
ENSJJAP00000004048	ENSJJAG00000008081	Jaculus_jaculus
ENSEEEP00000045642	ENSEEEG00000021531	Electrophorus_electricus
ENSLACP00000006285	ENSLACG00000005575	Latimeria_chalumnae
ENSCINP00000009121	ENSCING00000004409	Ciona_intestinalis
ENSOGAP00000013623	ENSOGAG00000015206	Otolemur_garnettii
ENSONIP00000006532	ENSONIG00000005200	Oreochromis_niloticus
ENSUPAP00010024303	ENSUPAG00010019279	Urocitellus_parryii
ENSHGLP00100019448	ENSHGLG00100014333	Heterocephalus_glaber_HetGla_1.0
ENSATEP00000035344	ENSATEG00000024299	Anabas_testudineus
ENSLAFP00000019351	ENSLAFG00000031838	Loxodonta_africana
ENSANAP00000001693	ENSANAG00000013948	Aotus_nancymaae
ENSBBBP00000013898	ENSBBBG00000021609	Bison_bison_bison
ENSLOCP00000002836	ENSLOCG00000002377	Lepisosteus_oculatus
ENSPLAP00000006033	ENSPLAG00000008168	Poecilia_latipinna
ENSSARP00000010904	ENSSARG00000012066	Sorex_araneus
ENSSDUP00000014890	ENSSDUG00000010876	Seriola_dumerili
ENSMUSP00000048489	ENSMUSG00000039637	Mus_musculus_strain_reference_(CL57BL6)
ENSCGOP00000032932	ENSCGOG00000015306	Cottoperca_gobio
ENSSPUP00000022027	ENSSPUG00000016910	Sphenodon_punctatus
ENSCAFP00000055832	ENSCAFG00000019220	Canis_lupus_familiaris
ENSNPEP00000013459	ENSNPEG00000009959	Nothoprocta_perdicaria
ENSPANP00000021406	ENSPANG00000010766	Papio_anubis
ENSMLEP00000040239	ENSMLEG00000044135	Mandrillus_leucophaeus
ENSMGAP00000009706	ENSMGAG00000009355	Meleagris_gallopavo
ENSXCOP00000013788	ENSXCOG00000010432	Xiphophorus_couchianus
ENSXMAP00000028763	ENSXMAG00000004649	Xiphophorus_maculatus
MGP_PahariEiJ_P0027587	MGP_PahariEiJ_G0016112	Mus_pahari_strain_PAHARI_EIJ
MGP_CAROLIEiJ_P0040188	MGP_CAROLIEiJ_G0020404	Mus_caroli_strain_CAROLI_EIJ
ENSMMUP00000057083	ENSMMUG00000006499	Macaca_mulatta
ENSCSAP00000005539	ENSCSAG00000009532	Chlorocebus_sabaeus
ENSTNIP00000012630	ENSTNIG00000009744	Tetraodon_nigroviridis
ENSAOWP00000019391	ENSAOWG00000013161	Apteryx_owenii
ENSPREP00000011723	ENSPREG00000007934	Poecilia_reticulata
ENSMVIP00005011034	ENSMVIG00005007826	Manacus_vitellinus
ENSCPOP00000012224	ENSCPOG00000013578	Cavia_porcellus
ENSCHIP00000006664	ENSCHIG00000010358	Capra_hircus
ENSELUP00000036173	ENSELUG00000015435	Esox_lucius
ENSETEP00000007681	ENSETEG00000009456	Echinops_telfairi
ENSMOCP00000009673	ENSMOCG00000009834	Microtus_ochrogaster
ENSVVUP00000022344	ENSVVUG00000016385	Vulpes_vulpes
ENSGGOP00000025967	ENSGGOG00000004648	Gorilla_gorilla
ENSOARP00000003399	ENSOARG00000003187	Ovis_aries
ENSMUGP00000020071	ENSMUGG00000016947	Meriones_unguiculatus
ENSCCNP00000021294	ENSCCNG00000021128	Castor_canadensis
ENSTNIP00000012629	ENSTNIG00000009743	Tetraodon_nigroviridis
ENSSHAP00000011954	ENSSHAG00000010258	Sarcophilus_harrisii
ENSAPEP00000009497	ENSAPEG00000006838	Amphiprion_percula
ENSNSUP00000004766	ENSNSUG00000003801	Notechis_scutatus
ENSIPUP00000018073	ENSIPUG00000012266	Ictalurus_punctatus
ENSFALP00000004523	ENSFALG00000004338	Ficedula_albicollis
ENSCMIP00000018061	ENSCMIG00000008384	Callorhinchus_milii
ENSCGRP00001006069	ENSCGRG00001008116	Cricetulus_griseus_CHOK1GS_HDv1
ENSPSMP00000007331	ENSPSMG00000005397	Prolemur_simus
ENSBIXP00000026390	ENSBIXG00000030114	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSPAP00000025135	ENSSPAG00000018999	Stegastes_partitus
ENSMICP00000034604	ENSMICG00000017819	Microcebus_murinus
ENSMSIP00000032090	ENSMSIG00000026842	Mus_spicilegus
ENSDARP00000138414	ENSDARG00000100810	Danio_rerio
ENSODEP00000018082	ENSODEG00000013332	Octodon_degus
ENSCVAP00000021388	ENSCVAG00000003459	Cyprinodon_variegatus
ENSPMEP00000024507	ENSPMEG00000006806	Poecilia_mexicana
ENSOANP00000007032	ENSOANG00000004438	Ornithorhynchus_anatinus
ENSSSCP00000039118	ENSSSCG00000007944	Sus_scrofa_strain_reference
ENSEASP00005001061	ENSEASG00005000882	Equus_asinus_asinus
ENSFDAP00000005795	ENSFDAG00000014709	Fukomys_damarensis
ENSCJAP00000072122	ENSCJAG00000019778	Callithrix_jacchus
