tetraodon_nigroviridis ENSTNIG00000014421
takifugu_rubripes ENSTRUG00000022774
mola_mola ENSMMOG00000020930
gasterosteus_aculeatus ENSGACG00000003531
amphiprion_percula ENSAPEG00000003069
amphiprion_ocellaris ENSAOCG00000004329
acanthochromis_polyacanthus ENSAPOG00000020814
stegastes_partitus ENSSPAG00000007448
xiphophorus_couchianus ENSXCOG00000003964
xiphophorus_maculatus ENSXMAG00000017702
gambusia_affinis ENSGAFG00000012078
poecilia_mexicana ENSPMEG00000016114
poecilia_reticulata ENSPREG00000011135
poecilia_latipinna ENSPLAG00000011552
poecilia_formosa ENSPFOG00000016835
cyprinodon_variegatus ENSCVAG00000007767
fundulus_heteroclitus ENSFHEG00000011196
kryptolebias_marmoratus ENSKMAG00000006625
astatotilapia_calliptera ENSACLG00000025886
maylandia_zebra ENSMZEG00005006303
pundamilia_nyererei ENSPNYG00000002683
haplochromis_burtoni ENSHBUG00000006636
neolamprologus_brichardi ENSNBRG00000005313
oreochromis_niloticus ENSONIG00000007879
amphilophus_citrinellus ENSACIG00000010030
seriola_dumerili ENSSDUG00000011909
scophthalmus_maximus ENSSMAG00000007232
cynoglossus_semilaevis ENSCSEG00000007756
seriola_dumerili ENSSDUG00000012137
seriola_lalandi_dorsalis ENSSLDG00000006669
labrus_bergylta ENSLBEG00000028225
mastacembelus_armatus ENSMAMG00000005092
periophthalmus_magnuspinnatus ENSPMGG00000014560
hippocampus_comes ENSHCOG00000011557
