phascolarctos_cinereus ENSPCIG00000025762
notamacropus_eugenii ENSMEUG00000011174
sarcophilus_harrisii ENSSHAG00000011473
monodelphis_domestica ENSMODG00000018495
oryctolagus_cuniculus ENSOCUG00000010714
ochotona_princeps ENSOPRG00000003968
tupaia_belangeri ENSTBEG00000000254
mandrillus_leucophaeus ENSMLEG00000036204
cercocebus_atys ENSCATG00000039823
macaca_mulatta ENSMMUG00000004491
macaca_nemestrina ENSMNEG00000034343
macaca_fascicularis ENSMFAG00000041950
papio_anubis ENSPANG00000036022
theropithecus_gelada ENSTGEG00000015085
chlorocebus_sabaeus ENSCSAG00000017454
colobus_angolensis_palliatus ENSCANG00000036705
piliocolobus_tephrosceles ENSPTEG00000023625
rhinopithecus_roxellana ENSRROG00000039865
rhinopithecus_bieti ENSRBIG00000044510
pan_troglodytes ENSPTRG00000018357
pan_paniscus ENSPPAG00000030083
homo_sapiens ENSG00000112701
gorilla_gorilla ENSGGOG00000006460
pongo_abelii ENSPPYG00000016784
nomascus_leucogenys ENSNLEG00000004998
saimiri_boliviensis_boliviensis ENSSBOG00000024005
callithrix_jacchus ENSCJAG00000010386
cebus_capucinus_imitator ENSCCAG00000037335
aotus_nancymaae ENSANAG00000021321
carlito_syrichta ENSTSYG00000035048
prolemur_simus ENSPSMG00000006651
microcebus_murinus ENSMICG00000005250
propithecus_coquereli ENSPCOG00000021433
otolemur_garnettii ENSOGAG00000000115
cricetulus_griseus_crigri-picr ENSCGRG00015012624
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014659
cricetulus_griseus_crigri_1.0 ENSCGRG00000008009
cricetulus_griseus_crigri_1.0 ENSCGRG00000000954
mesocricetus_auratus ENSMAUG00000012039
microtus_ochrogaster ENSMOCG00000002123
peromyscus_maniculatus_bairdii ENSPEMG00000022303
mus_spicilegus ENSMSIG00000005034
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034252
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033617
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032477
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0015344
rattus_norvegicus ENSRNOG00000024336
meriones_unguiculatus ENSMUGG00000002198
nannospalax_galili ENSNGAG00000011560
jaculus_jaculus ENSJJAG00000022873
castor_canadensis ENSCCNG00000006847
chinchilla_lanigera ENSCLAG00000002196
octodon_degus ENSODEG00000004215
cavia_porcellus ENSCPOG00000033810
cavia_aperea ENSCAPG00000016351
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009708
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001854
fukomys_damarensis ENSFDAG00000014612
urocitellus_parryii ENSUPAG00010023098
ictidomys_tridecemlineatus ENSSTOG00000013337
spermophilus_dauricus ENSSDAG00000014766
marmota_marmota_marmota ENSMMMG00000007505
loxodonta_africana ENSLAFG00000004947
procavia_capensis ENSPCAG00000005155
echinops_telfairi ENSETEG00000012526
echinops_telfairi ENSETEG00000003557
dasypus_novemcinctus ENSDNOG00000002293
dasypus_novemcinctus ENSDNOG00000048790
choloepus_hoffmanni ENSCHOG00000005426
vicugna_pacos ENSVPAG00000011094
