takifugu_rubripes ENSTRUG00000006607
tetraodon_nigroviridis ENSTNIG00000004124
mola_mola ENSMMOG00000010056
gasterosteus_aculeatus ENSGACG00000004996
labrus_bergylta ENSLBEG00000013526
monopterus_albus ENSMALG00000020194
mastacembelus_armatus ENSMAMG00000001164
anabas_testudineus ENSATEG00000002049
maylandia_zebra ENSMZEG00005001076
pundamilia_nyererei ENSPNYG00000019894
haplochromis_burtoni ENSHBUG00000003263
astatotilapia_calliptera ENSACLG00000022772
neolamprologus_brichardi ENSNBRG00000006031
oreochromis_niloticus ENSONIG00000006428
amphilophus_citrinellus ENSACIG00000017029
poecilia_mexicana ENSPMEG00000016263
poecilia_formosa ENSPFOG00000005722
poecilia_latipinna ENSPLAG00000005400
poecilia_reticulata ENSPREG00000014548
xiphophorus_couchianus ENSXCOG00000005407
xiphophorus_maculatus ENSXMAG00000012171
gambusia_affinis ENSGAFG00000010924
cyprinodon_variegatus ENSCVAG00000010645
amphiprion_ocellaris ENSAOCG00000000734
amphiprion_percula ENSAPEG00000007834
stegastes_partitus ENSSPAG00000014961
scophthalmus_maximus ENSSMAG00000013727
kryptolebias_marmoratus ENSKMAG00000004766
acanthochromis_polyacanthus ENSAPOG00000018529
cynoglossus_semilaevis ENSCSEG00000003090
hippocampus_comes ENSHCOG00000012555
seriola_lalandi_dorsalis ENSSLDG00000018341
seriola_dumerili ENSSDUG00000007892
oryzias_latipes_asm223467v1 ENSORLG00000015084
oryzias_latipes_asm223471v1 ENSORLG00020007762
oryzias_latipes_asm223469v1 ENSORLG00015013578
oryzias_melastigma ENSOMEG00000001262
periophthalmus_magnuspinnatus ENSPMGG00000020481
esox_lucius ENSELUG00000016086
astyanax_mexicanus ENSAMXG00000005240
pygocentrus_nattereri ENSPNAG00000003401
ictalurus_punctatus ENSIPUG00000014972
danio_rerio ENSDARG00000028793
paramormyrops_kingsleyae ENSPKIG00000009868
scleropages_formosus ENSSFOG00015012084
lepisosteus_oculatus ENSLOCG00000005662
tupaia_belangeri ENSTBEG00000003221
carlito_syrichta ENSTSYG00000008815
chinchilla_lanigera ENSCLAG00000004514
octodon_degus ENSODEG00000012925
cavia_porcellus ENSCPOG00000031914
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015221
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018198
fukomys_damarensis ENSFDAG00000019208
castor_canadensis ENSCCNG00000000140
ictidomys_tridecemlineatus ENSSTOG00000007526
urocitellus_parryii ENSUPAG00010022389
marmota_marmota_marmota ENSMMMG00000012357
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018447
cricetulus_griseus_crigri-picr ENSCGRG00015015235
cricetulus_griseus_crigri_1.0 ENSCGRG00000013613
mesocricetus_auratus ENSMAUG00000017286
peromyscus_maniculatus_bairdii ENSPEMG00000028887
microtus_ochrogaster ENSMOCG00000015184
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000017376
mus_spicilegus ENSMSIG00000009822
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017658
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016815
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017952
rattus_norvegicus ENSRNOG00000008704
meriones_unguiculatus ENSMUGG00000014239
nannospalax_galili ENSNGAG00000015020
jaculus_jaculus ENSJJAG00000023496
dipodomys_ordii ENSDORG00000010252
oryctolagus_cuniculus ENSOCUG00000007764
prolemur_simus ENSPSMG00000014779
propithecus_coquereli ENSPCOG00000019791
microcebus_murinus ENSMICG00000033073
otolemur_garnettii ENSOGAG00000003321
pan_paniscus ENSPPAG00000030759
pan_paniscus ENSPPAG00000007240
pan_troglodytes ENSPTRG00000008904
homo_sapiens ENSG00000087095
gorilla_gorilla ENSGGOG00000010535
