lepidothrix_coronata ENSLCOG00000008004
manacus_vitellinus ENSMVIG00005013240
taeniopygia_guttata ENSTGUG00000006453
lonchura_striata_domestica ENSLSDG00000014889
serinus_canaria ENSSCAG00000009240
junco_hyemalis ENSJHYG00000006140
zonotrichia_albicollis ENSZALG00000014361
cyanistes_caeruleus ENSCCEG00000010342
parus_major ENSPMJG00000019665
ficedula_albicollis ENSFALG00000006225
melopsittacus_undulatus ENSMUNG00000013953
calidris_pygmaea ENSCPGG00000009985
calidris_pugnax ENSCPUG00000019911
anas_platyrhynchos_platyrhynchos ENSAPLG00000011550
anser_brachyrhynchus ENSABRG00000017151
meleagris_gallopavo ENSMGAG00000008902
gallus_gallus ENSGALG00000021572
coturnix_japonica ENSCJPG00005012767
numida_meleagris ENSNMEG00000016273
apteryx_owenii ENSAOWG00000008011
apteryx_haastii ENSAHAG00000006006
apteryx_rowi ENSARWG00000013855
dromaius_novaehollandiae ENSDNVG00000001449
nothoprocta_perdicaria ENSNPEG00000010883
crocodylus_porosus ENSCPRG00005014132
gopherus_agassizii ENSGAGG00000011542
chelonoidis_abingdonii ENSCABG00000009959
chrysemys_picta_bellii ENSCPBG00000020085
pogona_vitticeps ENSPVIG00000018426
anolis_carolinensis ENSACAG00000012066
salvator_merianae ENSSMRG00000008138
sphenodon_punctatus ENSSPUG00000004546
phascolarctos_cinereus ENSPCIG00000035803
notamacropus_eugenii ENSMEUG00000001684
monodelphis_domestica ENSMODG00000009679
vicugna_pacos ENSVPAG00000010208
sus_scrofa ENSSSCG00000017791
bison_bison_bison ENSBBBG00000020311
bos_mutus ENSBMUG00000009028
bos_taurus ENSBTAG00000011011
ovis_aries ENSOARG00000008802
capra_hircus ENSCHIG00000014965
tursiops_truncatus ENSTTRG00000016336
equus_asinus_asinus ENSEASG00005009704
equus_caballus ENSECAG00000015172
ursus_americanus ENSUAMG00000022289
ursus_maritimus ENSUMAG00000010617
ailuropoda_melanoleuca ENSAMEG00000004063
mustela_putorius_furo ENSMPUG00000013890
neovison_vison ENSNVIG00000015493
canis_lupus_dingo ENSCAFG00020011357
canis_lupus_familiaris ENSCAFG00000018965
vulpes_vulpes ENSVVUG00000021111
panthera_pardus ENSPPRG00000024245
panthera_tigris_altaica ENSPTIG00000009150
felis_catus ENSFCAG00000002761
pteropus_vampyrus ENSPVAG00000009279
myotis_lucifugus ENSMLUG00000003080
erinaceus_europaeus ENSEEUG00000004624
sorex_araneus ENSSARG00000004477
cricetulus_griseus_crigri_1.0 ENSCGRG00000013160
cricetulus_griseus_crigri-picr ENSCGRG00015017196
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001017782
mesocricetus_auratus ENSMAUG00000020745
peromyscus_maniculatus_bairdii ENSPEMG00000021409
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017614
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000037926
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016771
mus_spicilegus ENSMSIG00000025588
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017908
rattus_norvegicus ENSRNOG00000014285
meriones_unguiculatus ENSMUGG00000005028
nannospalax_galili ENSNGAG00000015423
jaculus_jaculus ENSJJAG00000019804
castor_canadensis ENSCCNG00000028648
