chelonoidis_abingdonii ENSCABG00000004186
gopherus_agassizii ENSGAGG00000004350
chrysemys_picta ENSCPBG00000023812
pelodiscus_sinensis ENSPSIG00000015945
sphenodon_punctatus ENSSPUG00000004235
anolis_carolinensis ENSACAG00000015723
notechis_scutatus ENSNSUG00000013311
pogona_vitticeps ENSPVIG00000009132
salvator_merianae ENSSMRG00000017041
capra_hircus ENSCHIG00000014809
ovis_aries ENSOARG00000007462
bos_indicus ENSBIXG00000027277
bos_indicus ENSBIXG00005003473
bos_taurus ENSBTAG00000008841
bos_mutus ENSBMUG00000000150
bison_bison ENSBBBG00000005189
tursiops_truncatus ENSTTRG00000008374
sus_scrofa ENSSSCG00000013763
myotis_lucifugus ENSMLUG00000012992
pteropus_vampyrus ENSPVAG00000017548
ursus_americanus ENSUAMG00000007182
ursus_maritimus ENSUMAG00000004671
ailuropoda_melanoleuca ENSAMEG00000013062
canis_lupus ENSCAFG00020006741
canis_lupus ENSCAFG00000016398
vulpes_vulpes ENSVVUG00000026764
neovison_vison ENSNVIG00000006385
mustela_putorius ENSMPUG00000003126
felis_catus ENSFCAG00000014364
panthera_pardus ENSPPRG00000011956
equus_asinus ENSEASG00005015306
equus_caballus ENSECAG00000016571
sorex_araneus ENSSARG00000004553
pan_troglodytes ENSPTRG00000010573
pan_paniscus ENSPPAG00000042487
homo_sapiens ENSG00000132017
gorilla_gorilla ENSGGOG00000000384
pongo_abelii ENSPPYG00000009630
nomascus_leucogenys ENSNLEG00000013221
rhinopithecus_roxellana ENSRROG00000033775
rhinopithecus_bieti ENSRBIG00000036812
piliocolobus_tephrosceles ENSPTEG00000037174
chlorocebus_sabaeus ENSCSAG00000006394
theropithecus_gelada ENSTGEG00000006672
papio_anubis ENSPANG00000011700
mandrillus_leucophaeus ENSMLEG00000043946
cercocebus_atys ENSCATG00000041636
macaca_fascicularis ENSMFAG00000030070
macaca_mulatta ENSMMUG00000008326
macaca_nemestrina ENSMNEG00000031487
colobus_angolensis ENSCANG00000036220
saimiri_boliviensis ENSSBOG00000028396
cebus_capucinus ENSCCAG00000020314
cebus_capucinus ENSCCAG00000030809
callithrix_jacchus ENSCJAG00000005014
aotus_nancymaae ENSANAG00000026170
carlito_syrichta ENSTSYG00000037378
propithecus_coquereli ENSPCOG00000016926
microcebus_murinus ENSMICG00000012026
prolemur_simus ENSPSMG00000000694
otolemur_garnettii ENSOGAG00000026882
mus_spretus MGP_SPRETEiJ_G0032410
mus_spicilegus ENSMSIG00000012945
mus_musculus ENSMUSG00000037103
mus_caroli MGP_CAROLIEiJ_G0031292
mus_pahari MGP_PahariEiJ_G0022898
rattus_norvegicus ENSRNOG00000006551
meriones_unguiculatus ENSMUGG00000014932
cricetulus_griseus ENSCGRG00001023898
cricetulus_griseus ENSCGRG00000013602
cricetulus_griseus ENSCGRG00015016466
mesocricetus_auratus ENSMAUG00000010865
microtus_ochrogaster ENSMOCG00000017126
peromyscus_maniculatus ENSPEMG00000012514
nannospalax_galili ENSNGAG00000009961
jaculus_jaculus ENSJJAG00000020594
castor_canadensis ENSCCNG00000020395
heterocephalus_glaber ENSHGLG00100007123
heterocephalus_glaber ENSHGLG00000010729
fukomys_damarensis ENSFDAG00000002532
chinchilla_lanigera ENSCLAG00000015146
octodon_degus ENSODEG00000010421
cavia_aperea ENSCAPG00000008492
cavia_porcellus ENSCPOG00000010084
urocitellus_parryii ENSUPAG00010011735
marmota_marmota ENSMMMG00000021706
ictidomys_tridecemlineatus ENSSTOG00000024329
spermophilus_dauricus ENSSDAG00000008416
dasypus_novemcinctus ENSDNOG00000045057
loxodonta_africana ENSLAFG00000010147
procavia_capensis ENSPCAG00000010122
monodelphis_domestica ENSMODG00000012004
monodelphis_domestica ENSMODG00000017465
phascolarctos_cinereus ENSPCIG00000029768
vombatus_ursinus ENSVURG00010024215
notamacropus_eugenii ENSMEUG00000015841
sarcophilus_harrisii ENSSHAG00000010157
ornithorhynchus_anatinus ENSOANG00000009410
gallus_gallus ENSGALG00000049399
xenopus_tropicalis ENSXETG00000005106
latimeria_chalumnae ENSLACG00000014304
monopterus_albus ENSMALG00000006153
mastacembelus_armatus ENSMAMG00000011813
anabas_testudineus ENSATEG00000019319
betta_splendens ENSBSLG00000002948
lates_calcarifer ENSLCAG00010005539
scophthalmus_maximus ENSSMAG00000004136
seriola_dumerili ENSSDUG00000002448
seriola_lalandi ENSSLDG00000013026
larimichthys_crocea ENSLCRG00005018661
labrus_bergylta ENSLBEG00000005227
tetraodon_nigroviridis ENSTNIG00000014068
takifugu_rubripes ENSTRUG00000010245
mola_mola ENSMMOG00000021385
cottoperca_gobio ENSCGOG00000001536
amphiprion_ocellaris ENSAOCG00000010062
amphiprion_percula ENSAPEG00000013391
acanthochromis_polyacanthus ENSAPOG00000009405
stegastes_partitus ENSSPAG00000008417
parambassis_ranga ENSPRNG00000011298
maylandia_zebra ENSMZEG00005007530
astatotilapia_calliptera ENSACLG00000020575
pundamilia_nyererei ENSPNYG00000001330
haplochromis_burtoni ENSHBUG00000001095
neolamprologus_brichardi ENSNBRG00000023810
oreochromis_niloticus ENSONIG00000017709
amphilophus_citrinellus ENSACIG00000009425
xiphophorus_maculatus ENSXMAG00000012868
xiphophorus_couchianus ENSXCOG00000014448
gambusia_affinis ENSGAFG00000010462
poecilia_formosa ENSPFOG00000005125
poecilia_mexicana ENSPMEG00000014043
poecilia_latipinna ENSPLAG00000010739
poecilia_reticulata ENSPREG00000000418
fundulus_heteroclitus ENSFHEG00000009594
cyprinodon_variegatus ENSCVAG00000001882
kryptolebias_marmoratus ENSKMAG00000018543
oryzias_latipes ENSORLG00000011832
oryzias_latipes ENSORLG00020005308
oryzias_latipes ENSORLG00015003836
oryzias_melastigma ENSOMEG00000013277
gouania_willdenowi ENSGWIG00000007883
hippocampus_comes ENSHCOG00000020472
cynoglossus_semilaevis ENSCSEG00000011464
periophthalmus_magnuspinnatus ENSPMGG00000016452
esox_lucius ENSELUG00000016361
denticeps_clupeoides ENSDCDG00000031736
clupea_harengus ENSCHAG00000008698
astyanax_mexicanus ENSAMXG00005007662
astyanax_mexicanus ENSAMXG00000010080
pygocentrus_nattereri ENSPNAG00000026063
electrophorus_electricus ENSEEEG00000018426
ictalurus_punctatus ENSIPUG00000006001
danio_rerio ENSDARG00000077790
paramormyrops_kingsleyae ENSPKIG00000003156
scleropages_formosus ENSSFOG00015018822
lepisosteus_oculatus ENSLOCG00000006211
erpetoichthys_calabaricus ENSECRG00000018254
callorhinchus_milii ENSCMIG00000012174
eptatretus_burgeri ENSEBUG00000007162
drosophila_melanogaster FBgn0037814
