gopherus_agassizii ENSGAGG00000004575
chelonoidis_abingdonii ENSCABG00000008420
chrysemys_picta_bellii ENSCPBG00000014330
pelodiscus_sinensis ENSPSIG00000006931
apteryx_haastii ENSAHAG00000007945
apteryx_owenii ENSAOWG00000011510
apteryx_rowi ENSARWG00000006866
dromaius_novaehollandiae ENSDNVG00000005521
calidris_pygmaea ENSCPGG00000007738
calidris_pugnax ENSCPUG00000017744
melopsittacus_undulatus ENSMUNG00000008219
anas_platyrhynchos_platyrhynchos ENSAPLG00000020242
anser_brachyrhynchus ENSABRG00000004161
meleagris_gallopavo ENSMGAG00000001600
coturnix_japonica ENSCJPG00005003547
numida_meleagris ENSNMEG00000011020
lepidothrix_coronata ENSLCOG00000015006
manacus_vitellinus ENSMVIG00005001750
lonchura_striata_domestica ENSLSDG00000014728
taeniopygia_guttata ENSTGUG00000002603
serinus_canaria ENSSCAG00000001200
zonotrichia_albicollis ENSZALG00000014310
junco_hyemalis ENSJHYG00000002232
ficedula_albicollis ENSFALG00000004104
parus_major ENSPMJG00000007895
cyanistes_caeruleus ENSCCEG00000011158
nothoprocta_perdicaria ENSNPEG00000013983
crocodylus_porosus ENSCPRG00005009296
sphenodon_punctatus ENSSPUG00000001357
phascolarctos_cinereus ENSPCIG00000026916
notamacropus_eugenii ENSMEUG00000009697
sarcophilus_harrisii ENSSHAG00000002689
monodelphis_domestica ENSMODG00000004077
sarcophilus_harrisii ENSSHAG00000012164
phascolarctos_cinereus ENSPCIG00000021489
octodon_degus ENSODEG00000003226
octodon_degus ENSODEG00000002530
octodon_degus ENSODEG00000001312
chinchilla_lanigera ENSCLAG00000000556
cavia_aperea ENSCAPG00000007114
cavia_porcellus ENSCPOG00000040717
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000001559
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100009158
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019670
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000020852
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008462
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014884
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015070
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006587
fukomys_damarensis ENSFDAG00000009169
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0030674
vicugna_pacos ENSVPAG00000001892
sus_scrofa ENSSSCG00000038615
choloepus_hoffmanni ENSCHOG00000013095
bos_mutus ENSBMUG00000023155
panthera_pardus ENSPPRG00000005181
saimiri_boliviensis_boliviensis ENSSBOG00000024250
loxodonta_africana ENSLAFG00000012084
echinops_telfairi ENSETEG00000014186
procavia_capensis ENSPCAG00000003362
carlito_syrichta ENSTSYG00000029672
carlito_syrichta ENSTSYG00000009378
erinaceus_europaeus ENSEEUG00000003092
choloepus_hoffmanni ENSCHOG00000004726
macaca_mulatta ENSMMUG00000009140
ictidomys_tridecemlineatus ENSSTOG00000004766
capra_hircus ENSCHIG00000019926
ailuropoda_melanoleuca ENSAMEG00000003684
ictidomys_tridecemlineatus ENSSTOG00000029936
marmota_marmota_marmota ENSMMMG00000020122
microtus_ochrogaster ENSMOCG00000018404
piliocolobus_tephrosceles ENSPTEG00000017019
gorilla_gorilla ENSGGOG00000004126
aotus_nancymaae ENSANAG00000033882
