phascolarctos_cinereus ENSPCIG00000029378
notamacropus_eugenii ENSMEUG00000001057
sarcophilus_harrisii ENSSHAG00000007419
monodelphis_domestica ENSMODG00000017413
sorex_araneus ENSSARG00000007498
sorex_araneus ENSSARG00000010585
erinaceus_europaeus ENSEEUG00000004621
bos_mutus ENSBMUG00000021771
bos_taurus ENSBTAG00000054765
bison_bison_bison ENSBBBG00000014028
ovis_aries ENSOARG00000000406
capra_hircus ENSCHIG00000023048
sus_scrofa ENSSSCG00000006587
ursus_americanus ENSUAMG00000001868
ursus_maritimus ENSUMAG00000001126
mustela_putorius_furo ENSMPUG00000012356
panthera_tigris_altaica ENSPTIG00000012437
panthera_pardus ENSPPRG00000010622
felis_catus ENSFCAG00000011704
equus_caballus ENSECAG00000011674
equus_asinus_asinus ENSEASG00005001041
pan_paniscus ENSPPAG00000024696
pan_troglodytes ENSPTRG00000001344
homo_sapiens ENSG00000163218
gorilla_gorilla ENSGGOG00000000856
pongo_abelii ENSPPYG00000000817
nomascus_leucogenys ENSNLEG00000010382
theropithecus_gelada ENSTGEG00000018628
papio_anubis ENSPANG00000010021
cercocebus_atys ENSCATG00000015274
mandrillus_leucophaeus ENSMLEG00000040887
macaca_fascicularis ENSMFAG00000002961
macaca_mulatta ENSMMUG00000006865
macaca_nemestrina ENSMNEG00000043479
chlorocebus_sabaeus ENSCSAG00000001843
piliocolobus_tephrosceles ENSPTEG00000036556
colobus_angolensis_palliatus ENSCANG00000040327
rhinopithecus_bieti ENSRBIG00000043573
rhinopithecus_roxellana ENSRROG00000029317
saimiri_boliviensis_boliviensis ENSSBOG00000024082
cebus_capucinus_imitator ENSCCAG00000033967
callithrix_jacchus ENSCJAG00000005866
aotus_nancymaae ENSANAG00000020408
carlito_syrichta ENSTSYG00000002641
propithecus_coquereli ENSPCOG00000026583
prolemur_simus ENSPSMG00000020584
microcebus_murinus ENSMICG00000026819
otolemur_garnettii ENSOGAG00000012312
tupaia_belangeri ENSTBEG00000011004
chinchilla_lanigera ENSCLAG00000003515
octodon_degus ENSODEG00000010627
cavia_aperea ENSCAPG00000008550
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008250
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000177
fukomys_damarensis ENSFDAG00000009135
marmota_marmota_marmota ENSMMMG00000018144
spermophilus_dauricus ENSSDAG00000002715
urocitellus_parryii ENSUPAG00010015778
ictidomys_tridecemlineatus ENSSTOG00000030299
castor_canadensis ENSCCNG00000022914
dipodomys_ordii ENSDORG00000003425
mus_spicilegus ENSMSIG00000001549
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026196
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000042250
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025253
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026697
rattus_norvegicus ENSRNOG00000021798
meriones_unguiculatus ENSMUGG00000024437
cricetulus_griseus_crigri-picr ENSCGRG00015007442
cricetulus_griseus_crigri_1.0 ENSCGRG00000005565
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011415
mesocricetus_auratus ENSMAUG00000021376
microtus_ochrogaster ENSMOCG00000012559
peromyscus_maniculatus_bairdii ENSPEMG00000009227
nannospalax_galili ENSNGAG00000000320
jaculus_jaculus ENSJJAG00000009619
choloepus_hoffmanni ENSCHOG00000007959
dasypus_novemcinctus ENSDNOG00000024563
loxodonta_africana ENSLAFG00000000592
procavia_capensis ENSPCAG00000006880
echinops_telfairi ENSETEG00000002552
pelodiscus_sinensis ENSPSIG00000008653
