apteryx_rowi ENSARWG00000003369
apteryx_haastii ENSAHAG00000004390
apteryx_owenii ENSAOWG00000010405
nothoprocta_perdicaria ENSNPEG00000006858
dromaius_novaehollandiae ENSDNVG00000013706
anser_brachyrhynchus ENSABRG00000017448
anas_platyrhynchos ENSAPLG00000015926
gallus_gallus ENSGALG00000004594
coturnix_japonica ENSCJPG00005006545
meleagris_gallopavo ENSMGAG00000006589
numida_meleagris ENSNMEG00000018301
parus_major ENSPMJG00000008120
cyanistes_caeruleus ENSCCEG00000010087
ficedula_albicollis ENSFALG00000008018
zonotrichia_albicollis ENSZALG00000010351
junco_hyemalis ENSJHYG00000000467
serinus_canaria ENSSCAG00000011849
lonchura_striata ENSLSDG00000009890
taeniopygia_guttata ENSTGUG00000000882
lepidothrix_coronata ENSLCOG00000007101
manacus_vitellinus ENSMVIG00005000925
melopsittacus_undulatus ENSMUNG00000002317
calidris_pugnax ENSCPUG00000002388
calidris_pygmaea ENSCPGG00000016479
crocodylus_porosus ENSCPRG00005012582
chelonoidis_abingdonii ENSCABG00000013082
gopherus_agassizii ENSGAGG00000003196
chrysemys_picta ENSCPBG00000010082
pelodiscus_sinensis ENSPSIG00000013807
sphenodon_punctatus ENSSPUG00000003812
phascolarctos_cinereus ENSPCIG00000014630
vombatus_ursinus ENSVURG00010007697
notamacropus_eugenii ENSMEUG00000014915
sarcophilus_harrisii ENSSHAG00000018021
monodelphis_domestica ENSMODG00000028756
castor_canadensis ENSCCNG00000015629
dipodomys_ordii ENSDORG00000001514
cricetulus_griseus ENSCGRG00001022698
cricetulus_griseus ENSCGRG00000009492
cricetulus_griseus ENSCGRG00015021503
mesocricetus_auratus ENSMAUG00000015863
peromyscus_maniculatus ENSPEMG00000015385
microtus_ochrogaster ENSMOCG00000008628
mus_musculus ENSMUSG00000024610
mus_spicilegus ENSMSIG00000001611
mus_spretus MGP_SPRETEiJ_G0023224
mus_caroli MGP_CAROLIEiJ_G0022312
mus_pahari MGP_PahariEiJ_G0019042
rattus_norvegicus ENSRNOG00000018735
meriones_unguiculatus ENSMUGG00000000433
nannospalax_galili ENSNGAG00000013216
jaculus_jaculus ENSJJAG00000011199
cavia_porcellus ENSCPOG00000034371
cavia_aperea ENSCAPG00000008658
octodon_degus ENSODEG00000006374
chinchilla_lanigera ENSCLAG00000014142
heterocephalus_glaber ENSHGLG00100007884
heterocephalus_glaber ENSHGLG00000003902
urocitellus_parryii ENSUPAG00010012673
ictidomys_tridecemlineatus ENSSTOG00000009017
marmota_marmota ENSMMMG00000019567
