anser_brachyrhynchus ENSABRG00000014826
anas_platyrhynchos_platyrhynchos ENSAPLG00000013716
meleagris_gallopavo ENSMGAG00000010924
gallus_gallus ENSGALG00000008332
coturnix_japonica ENSCJPG00005013566
numida_meleagris ENSNMEG00000018241
lepidothrix_coronata ENSLCOG00000012103
manacus_vitellinus ENSMVIG00005009065
taeniopygia_guttata ENSTGUG00000010580
lonchura_striata_domestica ENSLSDG00000016900
serinus_canaria ENSSCAG00000003007
junco_hyemalis ENSJHYG00000008324
zonotrichia_albicollis ENSZALG00000008370
cyanistes_caeruleus ENSCCEG00000002700
parus_major ENSPMJG00000013670
ficedula_albicollis ENSFALG00000006272
melopsittacus_undulatus ENSMUNG00000015077
calidris_pygmaea ENSCPGG00000016753
calidris_pugnax ENSCPUG00000013501
apteryx_owenii ENSAOWG00000017753
apteryx_haastii ENSAHAG00000018277
apteryx_rowi ENSARWG00000014066
dromaius_novaehollandiae ENSDNVG00000003473
nothoprocta_perdicaria ENSNPEG00000009303
crocodylus_porosus ENSCPRG00005013914
gopherus_agassizii ENSGAGG00000010971
chelonoidis_abingdonii ENSCABG00000010404
chrysemys_picta_bellii ENSCPBG00000012688
pelodiscus_sinensis ENSPSIG00000005006
sphenodon_punctatus ENSSPUG00000003565
pogona_vitticeps ENSPVIG00000013753
anolis_carolinensis ENSACAG00000003853
notechis_scutatus ENSNSUG00000017817
salvator_merianae ENSSMRG00000005831
phascolarctos_cinereus ENSPCIG00000020069
notamacropus_eugenii ENSMEUG00000012316
monodelphis_domestica ENSMODG00000019896
ochotona_princeps ENSOPRG00000009249
sorex_araneus ENSSARG00000005910
ornithorhynchus_anatinus ENSOANG00000002767
xenopus_tropicalis ENSXETG00000001982
latimeria_chalumnae ENSLACG00000018806
pygocentrus_nattereri ENSPNAG00000026900
astyanax_mexicanus ENSAMXG00000021260
ictalurus_punctatus ENSIPUG00000002533
danio_rerio ENSDARG00000036041
mastacembelus_armatus ENSMAMG00000022703
monopterus_albus ENSMALG00000001576
anabas_testudineus ENSATEG00000009474
seriola_lalandi_dorsalis ENSSLDG00000014579
seriola_dumerili ENSSDUG00000002556
scophthalmus_maximus ENSSMAG00000000055
hippocampus_comes ENSHCOG00000002889
gasterosteus_aculeatus ENSGACG00000015448
labrus_bergylta ENSLBEG00000011926
tetraodon_nigroviridis ENSTNIG00000006584
takifugu_rubripes ENSTRUG00000005893
mola_mola ENSMMOG00000013172
amphiprion_ocellaris ENSAOCG00000020327
amphiprion_percula ENSAPEG00000009889
acanthochromis_polyacanthus ENSAPOG00000020804
stegastes_partitus ENSSPAG00000008959
maylandia_zebra ENSMZEG00005012343
haplochromis_burtoni ENSHBUG00000001425
pundamilia_nyererei ENSPNYG00000020700
neolamprologus_brichardi ENSNBRG00000022236
oreochromis_niloticus ENSONIG00000008965
pundamilia_nyererei ENSPNYG00000020623
maylandia_zebra ENSMZEG00005012271
astatotilapia_calliptera ENSACLG00000004466
oreochromis_niloticus ENSONIG00000008983
fundulus_heteroclitus ENSFHEG00000005745
cyprinodon_variegatus ENSCVAG00000004284
xiphophorus_maculatus ENSXMAG00000006156
xiphophorus_couchianus ENSXCOG00000016535
gambusia_affinis ENSGAFG00000000067
poecilia_mexicana ENSPMEG00000004317
poecilia_latipinna ENSPLAG00000017699
poecilia_formosa ENSPFOG00000005196
poecilia_reticulata ENSPREG00000011285
kryptolebias_marmoratus ENSKMAG00000011891
seriola_lalandi_dorsalis ENSSLDG00000017830
oryzias_latipes_asm223467v1 ENSORLG00000019844
oryzias_latipes_asm223469v1 ENSORLG00015009663
oryzias_latipes_asm223471v1 ENSORLG00020006301
oryzias_melastigma ENSOMEG00000017563
cynoglossus_semilaevis ENSCSEG00000008468
periophthalmus_magnuspinnatus ENSPMGG00000007523
gadus_morhua ENSGMOG00000000107
esox_lucius ENSELUG00000022267
scleropages_formosus ENSSFOG00015009140
paramormyrops_kingsleyae ENSPKIG00000002920
lepisosteus_oculatus ENSLOCG00000005789
lepisosteus_oculatus ENSLOCG00000005730
petromyzon_marinus ENSPMAG00000003419
eptatretus_burgeri ENSEBUG00000015055
petromyzon_marinus ENSPMAG00000008439
