drosophila_melanogaster FBgn0000257
caenorhabditis_elegans_strain_n2 WBGene00015130
petromyzon_marinus ENSPMAG00000005710
eptatretus_burgeri ENSEBUG00000004144
pogona_vitticeps ENSPVIG00000012801
anolis_carolinensis ENSACAG00000001096
salvator_merianae ENSSMRG00000000381
notechis_scutatus ENSNSUG00000008905
sphenodon_punctatus ENSSPUG00000011391
apteryx_owenii ENSAOWG00000016653
apteryx_rowi ENSARWG00000015182
apteryx_haastii ENSAHAG00000005810
dromaius_novaehollandiae ENSDNVG00000015397
calidris_pygmaea ENSCPGG00000001168
calidris_pugnax ENSCPUG00000007233
cyanistes_caeruleus ENSCCEG00000001411
parus_major ENSPMJG00000003839
serinus_canaria ENSSCAG00000009144
taeniopygia_guttata ENSTGUG00000006195
lonchura_striata_domestica ENSLSDG00000004837
ficedula_albicollis ENSFALG00000009105
junco_hyemalis ENSJHYG00000011015
lepidothrix_coronata ENSLCOG00000010595
manacus_vitellinus ENSMVIG00005000112
melopsittacus_undulatus ENSMUNG00000015843
meleagris_gallopavo ENSMGAG00000004659
coturnix_japonica ENSCJPG00005020732
gallus_gallus ENSGALG00000004440
numida_meleagris ENSNMEG00000018901
anas_platyrhynchos_platyrhynchos ENSAPLG00000006872
crocodylus_porosus ENSCPRG00005012501
chelonoidis_abingdonii ENSCABG00000013363
gopherus_agassizii ENSGAGG00000021422
chrysemys_picta_bellii ENSCPBG00000002546
pelodiscus_sinensis ENSPSIG00000012966
phascolarctos_cinereus ENSPCIG00000028631
notamacropus_eugenii ENSMEUG00000002389
sarcophilus_harrisii ENSSHAG00000009138
monodelphis_domestica ENSMODG00000012219
bos_mutus ENSBMUG00000017540
bos_taurus ENSBTAG00000004203
bison_bison_bison ENSBBBG00000017598
capra_hircus ENSCHIG00000017349
ovis_aries ENSOARG00000011538
tursiops_truncatus ENSTTRG00000015798
sus_scrofa ENSSSCG00000028005
vicugna_pacos ENSVPAG00000011451
myotis_lucifugus ENSMLUG00000017248
pteropus_vampyrus ENSPVAG00000001274
equus_asinus_asinus ENSEASG00005012423
equus_caballus ENSECAG00000021593
ursus_americanus ENSUAMG00000008691
ursus_maritimus ENSUMAG00000005347
ailuropoda_melanoleuca ENSAMEG00000014640
neovison_vison ENSNVIG00000018343
mustela_putorius_furo ENSMPUG00000001995
canis_lupus_familiaris ENSCAFG00000007919
canis_lupus_dingo ENSCAFG00020016527
vulpes_vulpes ENSVVUG00000016998
panthera_pardus ENSPPRG00000006773
panthera_tigris_altaica ENSPTIG00000011050
felis_catus ENSFCAG00000022475
erinaceus_europaeus ENSEEUG00000009214
prolemur_simus ENSPSMG00000017882
propithecus_coquereli ENSPCOG00000025330
microcebus_murinus ENSMICG00000001172
otolemur_garnettii ENSOGAG00000006006
colobus_angolensis_palliatus ENSCANG00000031411
colobus_angolensis_palliatus ENSCANG00000028139
piliocolobus_tephrosceles ENSPTEG00000010837
rhinopithecus_bieti ENSRBIG00000001912
rhinopithecus_roxellana ENSRROG00000024193
macaca_fascicularis ENSMFAG00000019477
macaca_mulatta ENSMMUG00000046409
macaca_nemestrina ENSMNEG00000036043
papio_anubis ENSPANG00000010982
cercocebus_atys ENSCATG00000031100
mandrillus_leucophaeus ENSMLEG00000037828
theropithecus_gelada ENSTGEG00000025504
chlorocebus_sabaeus ENSCSAG00000002138
macaca_fascicularis ENSMFAG00000001367
macaca_nemestrina ENSMNEG00000042241
macaca_mulatta ENSMMUG00000040902
papio_anubis ENSPANG00000033144
cercocebus_atys ENSCATG00000031533
mandrillus_leucophaeus ENSMLEG00000035409
rhinopithecus_roxellana ENSRROG00000037436
colobus_angolensis_palliatus ENSCANG00000030739
pan_troglodytes ENSPTRG00000005577
pan_paniscus ENSPPAG00000032654
homo_sapiens ENSG00000139719
homo_sapiens ENSG00000256861
gorilla_gorilla ENSGGOG00000005356
pongo_abelii ENSPPYG00000005066
nomascus_leucogenys ENSNLEG00000001520
callithrix_jacchus ENSCJAG00000020370
saimiri_boliviensis_boliviensis ENSSBOG00000029119
cebus_capucinus ENSCCAG00000036082
aotus_nancymaae ENSANAG00000016214
carlito_syrichta ENSTSYG00000003548
dipodomys_ordii ENSDORG00000012718
castor_canadensis ENSCCNG00000030692
microtus_ochrogaster ENSMOCG00000005783
peromyscus_maniculatus_bairdii ENSPEMG00000002296
cricetulus_griseus_crigri-picr ENSCGRG00015025271
cricetulus_griseus_crigri ENSCGRG00000013561
cricetulus_griseus_chok1gshd ENSCGRG00001020988
mesocricetus_auratus ENSMAUG00000019373
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028728
mus_spicilegus ENSMSIG00000011336
mus_musculus ENSMUSG00000029434
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027730
mus_pahari MGP_PahariEiJ_G0024310
rattus_norvegicus ENSRNOG00000056889
meriones_unguiculatus ENSMUGG00000015624
nannospalax_galili ENSNGAG00000018993
jaculus_jaculus ENSJJAG00000001353
urocitellus_parryii ENSUPAG00010017211
spermophilus_dauricus ENSSDAG00000017953
ictidomys_tridecemlineatus ENSSTOG00000014932
marmota_marmota_marmota ENSMMMG00000000659
cavia_porcellus ENSCPOG00000009092
cavia_aperea ENSCAPG00000000665
octodon_degus ENSODEG00000010529
chinchilla_lanigera ENSCLAG00000011023
heterocephalus_glaber_male ENSHGLG00100019459
heterocephalus_glaber_female ENSHGLG00000007798
fukomys_damarensis ENSFDAG00000001777
oryctolagus_cuniculus ENSOCUG00000002298
ochotona_princeps ENSOPRG00000010607
sorex_araneus ENSSARG00000013679
echinops_telfairi ENSETEG00000004068
tupaia_belangeri ENSTBEG00000008424
loxodonta_africana ENSLAFG00000016458
procavia_capensis ENSPCAG00000006290
choloepus_hoffmanni ENSCHOG00000008139
dasypus_novemcinctus ENSDNOG00000017560
ornithorhynchus_anatinus ENSOANG00000006203
ornithorhynchus_anatinus ENSOANG00000031606
xenopus_tropicalis ENSXETG00000031342
latimeria_chalumnae ENSLACG00000018156
