pan_paniscus ENSPPAG00000030471
pan_troglodytes ENSPTRG00000048582
homo_sapiens ENSG00000170367
gorilla_gorilla ENSGGOG00000016581
nomascus_leucogenys ENSNLEG00000015517
rhinopithecus_bieti ENSRBIG00000031216
rhinopithecus_roxellana ENSRROG00000038423
colobus_angolensis_palliatus ENSCANG00000040533
macaca_mulatta ENSMMUG00000023713
macaca_fascicularis ENSMFAG00000042493
macaca_nemestrina ENSMNEG00000039359
theropithecus_gelada ENSTGEG00000020328
papio_anubis ENSPANG00000006984
cercocebus_atys ENSCATG00000032239
mandrillus_leucophaeus ENSMLEG00000029640
chlorocebus_sabaeus ENSCSAG00000010994
theropithecus_gelada ENSTGEG00000020391
saimiri_boliviensis_boliviensis ENSSBOG00000022942
cebus_capucinus ENSCCAG00000034182
callithrix_jacchus ENSCJAG00000037422
aotus_nancymaae ENSANAG00000019554
