ENSCABP00000017230	ENSCABG00000012782	Chelonoidis_abingdonii
ENSGAGP00000002041	ENSGAGG00000001647	Gopherus_agassizii
ENSCPBP00000008935	ENSCPBG00000006915	Chrysemys_picta_bellii
ENSPSIP00000003409	ENSPSIG00000003260	Pelodiscus_sinensis
ENSCPRP00005017478	ENSCPRG00005012181	Crocodylus_porosus
ENSSPUP00000012368	ENSSPUG00000009509	Sphenodon_punctatus
ENSCPGP00000005959	ENSCPGG00000004267	Calidris_pygmaea
ENSCPUP00000007865	ENSCPUG00000005684	Calidris_pugnax
ENSMUNP00000004450	ENSMUNG00000003705	Melopsittacus_undulatus
ENSCPGP00000013502	ENSCPGG00000009586	Calidris_pygmaea
ENSABRP00000004810	ENSABRG00000004420	Anser_brachyrhynchus
ENSABRP00000020449	ENSABRG00000017407	Anser_brachyrhynchus
ENSAPLP00000001419	ENSAPLG00000001994	Anas_platyrhynchos_platyrhynchos
ENSGALP00000008573	ENSGALG00000005354	Gallus_gallus
ENSMGAP00000017061	ENSMGAG00000016120	Meleagris_gallopavo
ENSCJPP00005006721	ENSCJPG00005006228	Coturnix_japonica
ENSNMEP00000016304	ENSNMEG00000014399	Numida_meleagris
ENSAOWP00000007764	ENSAOWG00000005329	Apteryx_owenii
ENSAHAP00000000277	ENSAHAG00000000288	Apteryx_haastii
ENSARWP00000009608	ENSARWG00000006708	Apteryx_rowi
ENSDNVP00000025793	ENSDNVG00000017945	Dromaius_novaehollandiae
ENSSCAP00000012706	ENSSCAG00000009485	Serinus_canaria
ENSFALP00000013535	ENSFALG00000012967	Ficedula_albicollis
ENSLCOP00000006153	ENSLCOG00000004571	Lepidothrix_coronata
ENSMVIP00005028834	ENSMVIG00005020059	Manacus_vitellinus
ENSLSDP00000012796	ENSLSDG00000009335	Lonchura_striata_domestica
ENSTGUP00000007395	ENSTGUG00000007188	Taeniopygia_guttata
ENSPMJP00000001909	ENSPMJG00000001576	Parus_major
ENSPMJP00000001911	ENSPMJG00000001577	Parus_major
ENSNPEP00000008396	ENSNPEG00000006307	Nothoprocta_perdicaria
ENSPVIP00000023437	ENSPVIG00000017718	Pogona_vitticeps
ENSACAP00000011705	ENSACAG00000011965	Anolis_carolinensis
ENSNSUP00000021214	ENSNSUG00000015410	Notechis_scutatus
ENSSMRP00000017188	ENSSMRG00000013393	Salvator_merianae
ENSVURP00010015148	ENSVURG00010011592	Vombatus_ursinus	ENSVURT00010017214
ENSMEUP00000010065	ENSMEUG00000011041	Notamacropus_eugenii	ENSMEUT00000011065
ENSSHAP00000018830	ENSSHAG00000015981	Sarcophilus_harrisii	ENSSHAT00000018985
ENSMODP00000037391	ENSMODG00000025213	Monodelphis_domestica	ENSMODT00000038988
ENSUMAP00000015661	ENSUMAG00000011489	Ursus_maritimus	ENSUMAT00000018540
ENSUAMP00000015645	ENSUAMG00000012516	Ursus_americanus	ENSUAMT00000017536
ENSAMEP00000020494	ENSAMEG00000019436	Ailuropoda_melanoleuca	ENSAMET00000021263
ENSNVIP00000020399	ENSNVIG00000015984	Neovison_vison	ENSNVIT00000023756
ENSMPUP00000018415	ENSMPUG00000018533	Mustela_putorius_furo
ENSCAFP00000048270	ENSCAFG00000029817	Canis_lupus_familiaris
ENSCAFP00020022623	ENSCAFG00020017850	Canis_lupus_dingo
ENSVVUP00000027189	ENSVVUG00000019963	Vulpes_vulpes
ENSPPRP00000027887	ENSPPRG00000019658	Panthera_pardus
ENSPTIP00000004939	ENSPTIG00000007324	Panthera_tigris_altaica
ENSFCAP00000012131	ENSFCAG00000013080	Felis_catus
ENSBIXP00000014747	ENSBIXG00000019374	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001710	ENSBIXG00005008186	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000010202	ENSBTAG00000007761	Bos_taurus
ENSBMUP00000009815	ENSBMUG00000007614	Bos_mutus
ENSBBBP00000023808	ENSBBBG00000018589	Bison_bison_bison
ENSCHIP00000004545	ENSCHIG00000008725	Capra_hircus
ENSTTRP00000007846	ENSTTRG00000008293	Tursiops_truncatus
ENSSSCP00000061681	ENSSSCG00000036340	Sus_scrofa_strain_reference
ENSECAP00000003041	ENSECAG00000004450	Equus_caballus
ENSEASP00005000755	ENSEASG00005000672	Equus_asinus_asinus
ENSPVAP00000007491	ENSPVAG00000007939	Pteropus_vampyrus
ENSMLUP00000011539	ENSMLUG00000012686	Myotis_lucifugus
ENSPPAP00000003402	ENSPPAG00000014277	Pan_paniscus
ENSPTRP00000066976	ENSPTRG00000047266	Pan_troglodytes
ENSP00000307604	ENSG00000168795	Homo_sapiens
ENSGGOP00000038299	ENSGGOG00000043647	Gorilla_gorilla
ENSPPYP00000021362	ENSPPYG00000019062	Pongo_abelii
ENSNLEP00000028246	ENSNLEG00000027095	Nomascus_leucogenys
ENSRROP00000007430	ENSRROG00000027523	Rhinopithecus_roxellana
ENSRBIP00000006540	ENSRBIG00000026693	Rhinopithecus_bieti
