	ENSABRT00000003588	ENSSPAT00000026599	ENSECRT00000026398	ENSDCDT00000010078
ENSABRT00000003588	1.0	0.392578125	0.49609375	0.517578125
ENSSPAT00000026599	0.392578125	1.0	0.423828125	0.5078125
ENSECRT00000026398	0.49609375	0.423828125	1.0	0.68359375
ENSDCDT00000010078	0.517578125	0.5078125	0.68359375	1.0
