taeniopygia_guttata ENSTGUG00000017325
melopsittacus_undulatus ENSMUNG00000011894
pelodiscus_sinensis ENSPSIG00000017721
procavia_capensis ENSPCAG00000010392
dasypus_novemcinctus ENSDNOG00000030632
urocitellus_parryii ENSUPAG00010020856
ictidomys_tridecemlineatus ENSSTOG00000031108
jaculus_jaculus ENSJJAG00000009301
nannospalax_galili ENSNGAG00000015750
ochotona_princeps ENSOPRG00000012651
macaca_nemestrina ENSMNEG00000028776
macaca_nemestrina ENSMNEG00000014998
macaca_fascicularis ENSMFAG00000044190
gorilla_gorilla ENSGGOG00000042067
callithrix_jacchus ENSCJAG00000003660
microcebus_murinus ENSMICG00000034032
colobus_angolensis_palliatus ENSCANG00000002214
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000011449
jaculus_jaculus ENSJJAG00000005969
vulpes_vulpes ENSVVUG00000012591
ursus_americanus ENSUAMG00000024655
canis_lupus_dingo ENSCAFG00020017147
mesocricetus_auratus ENSMAUG00000018320
peromyscus_maniculatus_bairdii ENSPEMG00000024971
astatotilapia_calliptera ENSACLG00000009541
amphilophus_citrinellus ENSACIG00000010728
takifugu_rubripes ENSTRUG00000008994
periophthalmus_magnuspinnatus ENSPMGG00000001329
