,ENSPNAT00000017638_ENSPNAG00000016444,ENSPNAT00000017625_ENSPNAG00000003420,ENSLACT00000008784_ENSLACG00000007704,ENSXETT00000013695_ENSXETG00000004407,ENSCHAT00000018078_ENSCHAG00000008702,ENSDCDT00000029543_ENSDCDG00000016821,ENSDCDT00000029545_ENSDCDG00000016821,ENSAMXT00000047526_ENSAMXG00000033260,ENSAMXT00000048675_ENSAMXG00000033260
ENSPNAT00000017638_ENSPNAG00000016444,1.0,0.43,0.36,0.41,0.39,0.38,0.39,0.38,0.4
ENSPNAT00000017625_ENSPNAG00000003420,0.43,1.0,0.38,0.51,0.43,0.41,0.43,0.4,0.44
ENSLACT00000008784_ENSLACG00000007704,0.36,0.38,1.0,0.43,0.63,0.66,0.63,0.57,0.63
ENSXETT00000013695_ENSXETG00000004407,0.41,0.51,0.43,1.0,0.49,0.44,0.5,0.45,0.4
ENSCHAT00000018078_ENSCHAG00000008702,0.39,0.43,0.63,0.49,1.0,0.72,0.84,0.69,0.67
ENSDCDT00000029543_ENSDCDG00000016821,0.38,0.41,0.66,0.44,0.72,1.0,0.75,0.62,0.8
ENSDCDT00000029545_ENSDCDG00000016821,0.39,0.43,0.63,0.5,0.84,0.75,1.0,0.69,0.67
ENSAMXT00000047526_ENSAMXG00000033260,0.38,0.4,0.57,0.45,0.69,0.62,0.69,1.0,0.61
ENSAMXT00000048675_ENSAMXG00000033260,0.4,0.44,0.63,0.4,0.67,0.8,0.67,0.61,1.0
