ENSTGEP00000006114	ENSTGEG00000005023	Theropithecus_gelada
ENSCJAP00000077540	ENSCJAG00000063293	Callithrix_jacchus
ENSPPAP00000004166	ENSPPAG00000017725	Pan_paniscus
ENSMMUP00000002872	ENSMMUG00000002154	Macaca_mulatta
ENSPTRP00000020472	ENSPTRG00000011922	Pan_troglodytes
ENSHGLP00000000286	ENSHGLG00000000283	Heterocephalus_glaber_HetGla_female_1.0
ENSP00000417919	ENSG00000178021	Homo_sapiens
ENSGGOP00000003118	ENSGGOG00000003174	Gorilla_gorilla
ENSBMUP00000005726	ENSBMUG00000004500	Bos_mutus
ENSPCAP00000007493	ENSPCAG00000008033	Procavia_capensis
ENSPSMP00000031143	ENSPSMG00000021607	Prolemur_simus
ENSPPYP00000013851	ENSPPYG00000012411	Pongo_abelii
ENSPVAP00000007740	ENSPVAG00000008194	Pteropus_vampyrus
ENSOCUP00000020155	ENSOCUG00000015797	Oryctolagus_cuniculus	ENSOCUT00000015794
ENSPTEP00000031333	ENSPTEG00000030297	Piliocolobus_tephrosceles
ENSCSAP00000009989	ENSCSAG00000013844	Chlorocebus_sabaeus
