clupea_harengus ENSCHAG00000010952
denticeps_clupeoides ENSDCDG00000020163
astyanax_mexicanus ENSAMXG00005008867
astyanax_mexicanus ENSAMXG00000001323
pygocentrus_nattereri ENSPNAG00000027807
ictalurus_punctatus ENSIPUG00000016953
electrophorus_electricus ENSEEEG00000022695
danio_rerio ENSDARG00000103518
hucho_hucho ENSHHUG00000031448
hucho_hucho ENSHHUG00000027357
esox_lucius ENSELUG00000019824
gasterosteus_aculeatus ENSGACG00000015596
mola_mola ENSMMOG00000006214
labrus_bergylta ENSLBEG00000013188
hippocampus_comes ENSHCOG00000013539
gouania_willdenowi ENSGWIG00000012369
betta_splendens ENSBSLG00000026463
cottoperca_gobio ENSCGOG00000020101
larimichthys_crocea ENSLCRG00005023711
amphiprion_percula ENSAPEG00000015485
amphiprion_ocellaris ENSAOCG00000012191
acanthochromis_polyacanthus ENSAPOG00000015404
stegastes_partitus ENSSPAG00000000284
parambassis_ranga ENSPRNG00000022454
astatotilapia_calliptera ENSACLG00000008251
maylandia_zebra ENSMZEG00005004191
haplochromis_burtoni ENSHBUG00000007851
pundamilia_nyererei ENSPNYG00000002717
neolamprologus_brichardi ENSNBRG00000001753
oreochromis_niloticus ENSONIG00000010524
amphilophus_citrinellus ENSACIG00000020827
fundulus_heteroclitus ENSFHEG00000005595
cyprinodon_variegatus ENSCVAG00000022846
poecilia_formosa ENSPFOG00000001661
poecilia_mexicana ENSPMEG00000013923
poecilia_latipinna ENSPLAG00000016467
poecilia_reticulata ENSPREG00000008566
xiphophorus_maculatus ENSXMAG00000003855
xiphophorus_couchianus ENSXCOG00000007228
gambusia_affinis ENSGAFG00000013140
kryptolebias_marmoratus ENSKMAG00000015494
oryzias_latipes ENSORLG00015009055
oryzias_latipes ENSORLG00000008706
oryzias_latipes ENSORLG00020013124
oryzias_melastigma ENSOMEG00000005696
scophthalmus_maximus ENSSMAG00000006020
cynoglossus_semilaevis ENSCSEG00000011834
seriola_lalandi ENSSLDG00000021593
seriola_dumerili ENSSDUG00000012392
lates_calcarifer ENSLCAG00010022390
monopterus_albus ENSMALG00000001009
mastacembelus_armatus ENSMAMG00000005613
anabas_testudineus ENSATEG00000018651
takifugu_rubripes ENSTRUG00000008288
tetraodon_nigroviridis ENSTNIG00000006610
periophthalmus_magnuspinnatus ENSPMGG00000014377
gadus_morhua ENSGMOG00000016960
periophthalmus_magnuspinnatus ENSPMGG00000008716
paramormyrops_kingsleyae ENSPKIG00000025627
mola_mola ENSMMOG00000007093
labrus_bergylta ENSLBEG00000027216
larimichthys_crocea ENSLCRG00005015208
cottoperca_gobio ENSCGOG00000009440
mastacembelus_armatus ENSMAMG00000007032
anabas_testudineus ENSATEG00000017349
scophthalmus_maximus ENSSMAG00000020980
cynoglossus_semilaevis ENSCSEG00000016551
seriola_lalandi ENSSLDG00000002372
seriola_dumerili ENSSDUG00000010485
lates_calcarifer ENSLCAG00010007098
amphiprion_percula ENSAPEG00000007256
amphiprion_ocellaris ENSAOCG00000007959
acanthochromis_polyacanthus ENSAPOG00000002338
stegastes_partitus ENSSPAG00000003745
parambassis_ranga ENSPRNG00000021866
fundulus_heteroclitus ENSFHEG00000022317
cyprinodon_variegatus ENSCVAG00000002160
xiphophorus_maculatus ENSXMAG00000021422
xiphophorus_couchianus ENSXCOG00000008936
poecilia_formosa ENSPFOG00000010896
poecilia_mexicana ENSPMEG00000015425
poecilia_latipinna ENSPLAG00000006023
poecilia_reticulata ENSPREG00000012448
gambusia_affinis ENSGAFG00000006968
kryptolebias_marmoratus ENSKMAG00000004137
oryzias_latipes ENSORLG00000008820
oryzias_latipes ENSORLG00015000285
oryzias_latipes ENSORLG00020013633
oryzias_melastigma ENSOMEG00000004876
gouania_willdenowi ENSGWIG00000025741
pundamilia_nyererei ENSPNYG00000014154
maylandia_zebra ENSMZEG00005018778
haplochromis_burtoni ENSHBUG00000004500
astatotilapia_calliptera ENSACLG00000012304
neolamprologus_brichardi ENSNBRG00000021782
oreochromis_niloticus ENSONIG00000010117
amphilophus_citrinellus ENSACIG00000012211
tetraodon_nigroviridis ENSTNIG00000003634
takifugu_rubripes ENSTRUG00000003248
tetraodon_nigroviridis ENSTNIG00000014479
monopterus_albus ENSMALG00000021060
hippocampus_comes ENSHCOG00000007615
gasterosteus_aculeatus ENSGACG00000007838
betta_splendens ENSBSLG00000025553
gadus_morhua ENSGMOG00000018509
hucho_hucho ENSHHUG00000046249
hucho_hucho ENSHHUG00000052911
esox_lucius ENSELUG00000019715
electrophorus_electricus ENSEEEG00000014523
ictalurus_punctatus ENSIPUG00000007012
astyanax_mexicanus ENSAMXG00000019058
astyanax_mexicanus ENSAMXG00005022575
pygocentrus_nattereri ENSPNAG00000001770
danio_rerio ENSDARG00000076620
denticeps_clupeoides ENSDCDG00000022436
paramormyrops_kingsleyae ENSPKIG00000008969
scleropages_formosus ENSSFOG00015019752
lepisosteus_oculatus ENSLOCG00000002983
erpetoichthys_calabaricus ENSECRG00000016229
xenopus_tropicalis ENSXETG00000007265
gopherus_agassizii ENSGAGG00000009652
chelonoidis_abingdonii ENSCABG00000004206
chrysemys_picta ENSCPBG00000012422
pelodiscus_sinensis ENSPSIG00000015080
gallus_gallus ENSGALG00000036297
meleagris_gallopavo ENSMGAG00000001860
coturnix_japonica ENSCJPG00005011146
numida_meleagris ENSNMEG00000003386
anser_brachyrhynchus ENSABRG00000014189
melopsittacus_undulatus ENSMUNG00000008041
calidris_pygmaea ENSCPGG00000008727
calidris_pugnax ENSCPUG00000001362
ficedula_albicollis ENSFALG00000013587
cyanistes_caeruleus ENSCCEG00000002249
zonotrichia_albicollis ENSZALG00000007649
junco_hyemalis ENSJHYG00000005330
taeniopygia_guttata ENSTGUG00000015931
lonchura_striata ENSLSDG00000008275
lepidothrix_coronata ENSLCOG00000013400
dromaius_novaehollandiae ENSDNVG00000013816
apteryx_rowi ENSARWG00000015699
nothoprocta_perdicaria ENSNPEG00000002014
crocodylus_porosus ENSCPRG00005000939
sphenodon_punctatus ENSSPUG00000007232
notechis_scutatus ENSNSUG00000002857
pogona_vitticeps ENSPVIG00000013061
salvator_merianae ENSSMRG00000008018
mus_musculus ENSMUSG00000007950
mus_spretus MGP_SPRETEiJ_G0032303
mus_spicilegus ENSMSIG00000030613
mus_caroli MGP_CAROLIEiJ_G0031184
mus_pahari MGP_PahariEiJ_G0021649
rattus_norvegicus ENSRNOG00000000054
meriones_unguiculatus ENSMUGG00000023290
cricetulus_griseus ENSCGRG00015004826
cricetulus_griseus ENSCGRG00001010324
cricetulus_griseus ENSCGRG00000007243
mesocricetus_auratus ENSMAUG00000001821
microtus_ochrogaster ENSMOCG00000013739
peromyscus_maniculatus ENSPEMG00000010266
nannospalax_galili ENSNGAG00000022805
jaculus_jaculus ENSJJAG00000010342
cavia_porcellus ENSCPOG00000006938
cavia_aperea ENSCAPG00000005695
octodon_degus ENSODEG00000001471
chinchilla_lanigera ENSCLAG00000008511
heterocephalus_glaber ENSHGLG00000003401
heterocephalus_glaber ENSHGLG00100016975
fukomys_damarensis ENSFDAG00000015279
ochotona_princeps ENSOPRG00000000849
propithecus_coquereli ENSPCOG00000018319
propithecus_coquereli ENSPCOG00000021807
prolemur_simus ENSPSMG00000025028
otolemur_garnettii ENSOGAG00000007003
homo_sapiens ENSG00000127220
gorilla_gorilla ENSGGOG00000005794
pan_troglodytes ENSPTRG00000010666
pongo_abelii ENSPPYG00000009707
nomascus_leucogenys ENSNLEG00000005723
pan_paniscus ENSPPAG00000006875
colobus_angolensis ENSCANG00000029273
rhinopithecus_roxellana ENSRROG00000039901
piliocolobus_tephrosceles ENSPTEG00000032882
cercocebus_atys ENSCATG00000040979
mandrillus_leucophaeus ENSMLEG00000035464
theropithecus_gelada ENSTGEG00000012093
papio_anubis ENSPANG00000004510
