,ENSBSLT00000051508,ENSCVAT00000007527,ENSPRET00000023147,ENSFHET00000013380,ENSCSET00000009235,ENSPLAT00000028674,ENSFHET00000013390,ENSPLAT00000032149,ENSGWIT00000013070,ENSGWIT00000013071,ENSPRET00000023153,ENSFHET00000013401,ENSGWIT00000013068,ENSXMAT00000037708,ENSORLT00000039387,ENSPFOT00000009724,ENSGAFT00000025119,ENSMALT00000017948,ENSPFOT00000022436,ENSXMAT00000021100,ENSFHET00000013376,ENSXCOT00000002065,ENSPMET00000012308,ENSKMAT00000005765,ENSKMAT00000005746,ENSGAFT00000025121,ENSMALT00000017935,ENSPMET00000012292,ENSMALT00000017917,ENSPMET00000012299
ENSBSLT00000051508,1.0,0.9914628951180029,0.9931328278094913,0.988105989605521,0.991343614211468,0.9928431456079067,0.9931669080685013,0.9911050523983982,0.9896055210019596,0.9853284484962086,0.9927749850898867,0.9928090653488967,0.9908494504558235,0.9930135469029565,0.9888387151742353,0.9928431456079067,0.9926045837948368,0.9917866575785976,0.9896396012609696,0.9926557041833518,0.9922978614637471,0.9918548180966176,0.9931839481980063,0.9904064070886939,0.9909176109738435,0.9929624265144416,0.9938825935077107,0.9907812899378036,0.9933713896225611,0.9928261054784017
ENSCVAT00000007527,0.9914628951180029,1.0,0.9962852517679134,0.9912243333049331,0.993490670529096,0.9960126096958337,0.9962852517679134,0.9962341313793985,0.9876118258498765,0.9823464258328364,0.9959274090483088,0.9959274090483088,0.9914799352475079,0.9962000511203886,0.990236005793644,0.9960296498253387,0.9959103689188038,0.994547158558405,0.9885831132316606,0.9958422084007839,0.9954162051631592,0.9905768083837437,0.9963874925449433,0.9923489818522621,0.9928601857374116,0.9962682116384085,0.994547158558405,0.9939848342847406,0.9940359546732556,0.9960296498253387
ENSPRET00000023147,0.9931328278094913,0.9962852517679134,1.0,0.9929965067734515,0.9933884297520661,0.9990627928772259,0.9980574252364318,0.9963193320269234,0.9892987986708699,0.9840504387833348,0.9994717559853454,0.9975291812217773,0.9931157876799863,0.9991991139132658,0.9916503365425577,0.9990968731362359,0.9986708698986112,0.9940529948027605,0.9912072931754281,0.9986708698986112,0.9970179773366278,0.9932009883275112,0.9996251171508903,0.9938314731191957,0.9944960381698901,0.9991991139132658,0.9963193320269234,0.9970520575956378,0.995637726846724,0.9990968731362359
ENSFHET00000013380,0.988105989605521,0.9912243333049331,0.9929965067734515,1.0,0.9882934310300758,0.993439550140581,0.9949390815370197,0.9898781630740393,0.9841015591718497,0.9788531992843146,0.9933373093635511,0.9952969242566243,0.9886342336201756,0.9930305870324615,0.9865382976910625,0.993439550140581,0.9933884297520661,0.9888557553037403,0.9850217261651188,0.9933373093635511,0.9938996336372157,0.9871517423532419,0.9930987475504813,0.9897077617789896,0.9896055210019596,0.9930646672914715,0.9911220925279032,0.9905256879952288,0.9912413734344381,0.993439550140581
ENSCSET00000009235,0.991343614211468,0.993490670529096,0.9933884297520661,0.9882934310300758,1.0,0.9930987475504813,0.9933543494930561,0.9925705035358269,0.9875777455908665,0.9823464258328364,0.9930305870324615,0.9929965067734515,0.991394734599983,0.9933373093635511,0.9889239158217602,0.9931157876799863,0.9929453863849366,0.9943767572633552,0.9862656556189827,0.9929794666439465,0.992485302888302,0.9879355883104711,0.993456590270086,0.9907131294197836,0.9912243333049331,0.9933032291045412,0.9940700349322655,0.9910539320098832,0.993558831047116,0.9930987475504813
ENSPLAT00000028674,0.9928431456079067,0.9960126096958337,0.9990627928772259,0.993439550140581,0.9930987475504813,1.0,0.9976314219988072,0.9963534122859333,0.9889579960807702,0.983743716452245,0.9995910368918803,0.9981426258839567,0.9935758711766209,0.9987049501576212,0.991343614211468,0.9998636789639601,0.9992161540427708,0.9937803527306808,0.9910028116213683,0.9991991139132658,0.996762375394053,0.9928772258669166,0.9993013546902957,0.9944449177813751,0.9941722757092953,0.9987049501576212,0.9958762886597938,0.9968986964300929,0.9961830109908836,0.9998295987049501
ENSFHET00000013390,0.9931669080685013,0.9962852517679134,0.9980574252364318,0.9949390815370197,0.9933543494930561,0.9976314219988072,1.0,0.9949390815370197,0.98916247763483,0.9839141177472949,0.9975291812217773,0.9994717559853454,0.9929283462554316,0.9980915054954418,0.9915992161540428,0.9976314219988072,0.9975973417397972,0.9939166737667207,0.9900826446280991,0.9975632614807872,0.998960552100196,0.9922126608162222,0.9981596660134617,0.9940018744142456,0.9946664394649399,0.9981255857544518,0.9961830109908836,0.9955866064582091,0.9955014058106841,0.9976314219988072
ENSPLAT00000032149,0.9911050523983982,0.9962341313793985,0.9963193320269234,0.9898781630740393,0.9925705035358269,0.9963534122859333,0.9949390815370197,1.0,0.9863167760074977,0.9820056232427367,0.9959614893073188,0.994581238817415,0.9901508051461191,0.9959955695663287,0.9886683138791855,0.9962170912498935,0.995603646587714,0.9938996336372157,0.9894010394478998,0.995637726846724,0.9940700349322655,0.991343614211468,0.9965408537104882,0.9909687313623583,0.9914799352475079,0.9959614893073188,0.9932180284570162,0.9941381954502854,0.9927068245718668,0.9961830109908836
ENSGWIT00000013070,0.9896055210019596,0.9876118258498765,0.9892987986708699,0.9841015591718497,0.9875777455908665,0.9889579960807702,0.98916247763483,0.9863167760074977,1.0,0.9939507540257306,0.9889409559512652,0.9888046349152254,0.9939507540257306,0.9892647184118599,0.9857714918633381,0.9889409559512652,0.9889068756922552,0.9874755048138366,0.9918888983556275,0.9889068756922552,0.9882934310300758,0.9865553378205675,0.9893158388003749,0.9866575785975974,0.9871687824827469,0.9892647184118599,0.9895714407429497,0.9869131805401721,0.9890602368578001,0.9889579960807702
ENSGWIT00000013071,0.9853284484962086,0.9823464258328364,0.9840504387833348,0.9788531992843146,0.9823464258328364,0.983743716452245,0.9839141177472949,0.9820056232427367,0.9939507540257306,1.0,0.98369259606373,0.9835562750276902,0.9882763909005708,0.9840504387833348,0.980489051716793,0.983709636193235,0.9836755559342251,0.9822782653148164,0.9912243333049331,0.98369259606373,0.9830450711425407,0.985890772769873,0.9840845190423447,0.9813751384510522,0.9818863423362018,0.9840333986538298,0.9843742012439295,0.9816818607821419,0.9838629973587799,0.98372667632274
