FBtr0077685 FBgn0051694
F58B3.6.1 WBGene00010232
ENSOANT00000005620 ENSOANG00000003546
ENSVURT00010014025 ENSVURG00010009503
ENSVURT00010014039 ENSVURG00010009503
ENSPCIT00000019958 ENSPCIG00000012498
ENSPCIT00000058566 ENSPCIG00000012498
ENSPCIT00000063516 ENSPCIG00000012498
ENSMEUT00000014109 ENSMEUG00000014064
ENSSHAT00000017059 ENSSHAG00000014390
ENSSHAT00000017060 ENSSHAG00000014390
ENSMODT00000020216 ENSMODG00000015916
ENSLAFT00000004166 ENSLAFG00000004167
ENSLAFT00000029713 ENSLAFG00000004167
ENSPCAT00000013376 ENSPCAG00000013362
ENSETET00000019162 ENSETEG00000019162
ENSPPAT00000063600 ENSPPAG00000042969
ENSPTRT00000093690 ENSPTRG00000019601
ENSPTRT00000089084 ENSPTRG00000019601
ENST00000432734 ENSG00000006652
ENST00000005558 ENSG00000006652
ENST00000443101 ENSG00000006652
ENST00000445335 ENSG00000006652
ENST00000417662 ENSG00000006652
ENST00000403825 ENSG00000006652
ENST00000429071 ENSG00000006652
ENST00000476927 ENSG00000006652
ENST00000440625 ENSG00000006652
ENST00000621379 ENSG00000006652
ENST00000535603 ENSG00000006652
ENSGGOT00000030418 ENSGGOG00000000718
ENSGGOT00000049977 ENSGGOG00000000718
ENSGGOT00000000723 ENSGGOG00000000718
ENSPPYT00000033253 ENSPPYG00000029715
ENSNLET00000014451 ENSNLEG00000011280
ENSNLET00000041149 ENSNLEG00000011280
ENSMMUT00000096258 ENSMMUG00000008033
ENSMMUT00000076969 ENSMMUG00000052812
ENSMFAT00000002238 ENSMFAG00000045385
ENSMNET00000069071 ENSMNEG00000044857
ENSMNET00000069077 ENSMNEG00000044857
ENSCATT00000058979 ENSCATG00000040248
ENSMLET00000040590 ENSMLEG00000032760
ENSMLET00000040592 ENSMLEG00000032760
ENSMLET00000040599 ENSMLEG00000032760
ENSTGET00000022507 ENSTGEG00000015223
ENSTGET00000022515 ENSTGEG00000015223
ENSPANT00000054433 ENSPANG00000021877
ENSCSAT00000009208 ENSCSAG00000011121
ENSPTET00000029704 ENSPTEG00000021693
