Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.0011)   P(D|M,rr[2]=0.0484)   P(D|M,rr[3]=0.4425)   P(D|M,rr[4]=3.5079)   Posterior mean        
1      0.0132984       0.0229001             0.0208191             0.00944782            2.65195e-05           0.0997825             
2      0.0360429       0.0610713             0.0559155             0.0270252             0.000159808           0.106097              
3      2.53666e-05     2.18378e-07           9.18451e-06           5.84389e-05           3.36245e-05           1.42174               
4      1.27211e-05     4.40764e-08           1.91099e-06           1.54401e-05           3.34893e-05           2.44482               
5      0.0359484       0.0558699             0.0529038             0.0337238             0.00129615            0.153659              
6      0.0342258       0.0529861             0.0502353             0.03235               0.00133174            0.156896              
7      0.0124596       0.0228817             0.0200957             0.00685815            2.89176e-06           0.0811383             
8      0.0439616       0.0714678             0.0665772             0.0371695             0.000632109           0.124939              
9      0.0616183       0.0989268             0.0925402             0.0536224             0.00138369            0.134601              
10     0.0439616       0.0714678             0.0665772             0.0371695             0.000632109           0.124939              
11     0.0130415       0.0223071             0.0203452             0.00948216            3.15522e-05           0.101925              
12     0.0261388       0.0422348             0.0394495             0.0224711             0.000399816           0.127247              
13     0.0324254       0.0529622             0.0492516             0.0270883             0.00039938            0.122071              
14     0.0439616       0.0714678             0.0665772             0.0371695             0.000632109           0.124939              
15     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
16     0.0324254       0.0529622             0.0492516             0.0270883             0.00039938            0.122071              
17     0.0385943       0.0644764             0.0593914             0.0302278             0.000281733           0.112149              
18     0.0462246       0.0788972             0.0719854             0.0338412             0.000174539           0.103637              
19     0.0231592       0.0406672             0.0366065             0.0153344             2.87795e-05           0.0939699             
20     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
21     0.0215824       0.0341072             0.0321171             0.01956               0.000545169           0.140877              
22     1.44431e-05     1.89602e-07           7.81903e-06           4.22791e-05           7.48473e-06           0.784891              
23     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
24     0.0383856       0.0572803             0.0548996             0.0386144             0.00274799            0.191808              
25     0.0338344       0.0610257             0.054116              0.0201694             2.62488e-05           0.0864985             
26     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
27     0.0388715       0.0689661             0.0616467             0.0247896             8.36141e-05           0.0921362             
28     0.0241043       0.0418794             0.0378969             0.0165969             4.39396e-05           0.097294              
29     0.0383856       0.0572803             0.0548996             0.0386144             0.00274799            0.191808              
30     0.0616183       0.0989268             0.0925402             0.0536224             0.00138369            0.134601              
31     0.0304075       0.044004              0.0424865             0.0317393             0.0034003             0.230868              
32     0.0338344       0.0610257             0.054116              0.0201694             2.62488e-05           0.0864985             
33     0.0304075       0.044004              0.0424865             0.0317393             0.0034003             0.230868              
34     0.0303655       0.0531581             0.0479128             0.0203435             4.78105e-05           0.0950914             
35     0.0130415       0.0223071             0.0203452             0.00948216            3.15522e-05           0.101925              
36     0.0338344       0.0610257             0.054116              0.0201694             2.62488e-05           0.0864985             
37     0.0462246       0.0788972             0.0719854             0.0338412             0.000174539           0.103637              
38     0.0130415       0.0223071             0.0203452             0.00948216            3.15522e-05           0.101925              
39     0.00787951      0.012915              0.0120046             0.00653702            6.1427e-05            0.117524              
40     0.0338344       0.0610257             0.054116              0.0201694             2.62488e-05           0.0864985             
41     0.0261388       0.0422348             0.0394495             0.0224711             0.000399816           0.127247              
42     0.0215824       0.0341072             0.0321171             0.01956               0.000545169           0.140877              
43     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
44     0.0303655       0.0531581             0.0479128             0.0203435             4.78105e-05           0.0950914             
45     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
46     0.0303655       0.0531581             0.0479128             0.0203435             4.78105e-05           0.0950914             
47     0.0616183       0.0989268             0.0925402             0.0536224             0.00138369            0.134601              
48     0.0231592       0.0406672             0.0366065             0.0153344             2.87795e-05           0.0939699             
49     0.0303655       0.0531581             0.0479128             0.0203435             4.78105e-05           0.0950914             
50     0.0616183       0.0989268             0.0925402             0.0536224             0.00138369            0.134601              
51     0.0338344       0.0610257             0.054116              0.0201694             2.62488e-05           0.0864985             
52     0.0338344       0.0610257             0.054116              0.0201694             2.62488e-05           0.0864985             
53     0.0439616       0.0714678             0.0665772             0.0371695             0.000632109           0.124939              
54     0.0385943       0.0644764             0.0593914             0.0302278             0.000281733           0.112149              
55     0.0385943       0.0644764             0.0593914             0.0302278             0.000281733           0.112149              
56     0.0462246       0.0788972             0.0719854             0.0338412             0.000174539           0.103637              
57     0.0385943       0.0644764             0.0593914             0.0302278             0.000281733           0.112149              
58     0.0385943       0.0644764             0.0593914             0.0302278             0.000281733           0.112149              
59     0.0388715       0.0689661             0.0616467             0.0247896             8.36141e-05           0.0921362             
60     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
61     0.0261388       0.0422348             0.0394495             0.0224711             0.000399816           0.127247              
62     0.0215824       0.0341072             0.0321171             0.01956               0.000545169           0.140877              
63     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
64     0.0241043       0.0418794             0.0378969             0.0165969             4.39396e-05           0.097294              
65     0.0383856       0.0572803             0.0548996             0.0386144             0.00274799            0.191808              
66     0.0324254       0.0529622             0.0492516             0.0270883             0.00039938            0.122071              
67     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
68     0.0215824       0.0341072             0.0321171             0.01956               0.000545169           0.140877              
69     0.0261388       0.0422348             0.0394495             0.0224711             0.000399816           0.127247              
70     0.0385943       0.0644764             0.0593914             0.0302278             0.000281733           0.112149              
71     0.0383856       0.0572803             0.0548996             0.0386144             0.00274799            0.191808              
72     0.0345167       0.0619847             0.0550375             0.0209871             5.74827e-05           0.0885339             
73     0.0388715       0.0689661             0.0616467             0.0247896             8.36141e-05           0.0921362             
74     0.0215824       0.0341072             0.0321171             0.01956               0.000545169           0.140877              
75     0.0462246       0.0788972             0.0719854             0.0338412             0.000174539           0.103637              
76     0.0345167       0.0619847             0.0550375             0.0209871             5.74827e-05           0.0885339             
77     3.44323e-05     7.49746e-07           2.93896e-05           0.000105551           2.03864e-06           0.401416              
78     0.0304075       0.044004              0.0424865             0.0317393             0.0034003             0.230868              
79     0.0324254       0.0529622             0.0492516             0.0270883             0.00039938            0.122071              
80     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
81     0.0261388       0.0422348             0.0394495             0.0224711             0.000399816           0.127247              
82     0.0340481       0.0558441             0.0518441             0.028124              0.000380257           0.120071              
83     0.0338344       0.0610257             0.054116              0.0201694             2.62488e-05           0.0864985             
84     0.000247417     3.43079e-06           0.000140942           0.000738671           0.000106622           0.715136              
85     0.0439616       0.0714678             0.0665772             0.0371695             0.000632109           0.124939              
86     0.0462246       0.0788972             0.0719854             0.0338412             0.000174539           0.103637              
87     4.57356e-05     6.22954e-07           2.55535e-05           0.000132959           2.3807e-05            0.7849                
88     0.0613502       0.0989232             0.0923929             0.0528491             0.00123578            0.131652              
89     0.0462246       0.0788972             0.0719854             0.0338412             0.000174539           0.103637              
90     0.0324254       0.0529622             0.0492516             0.0270883             0.00039938            0.122071              
