drosophila_melanogaster FBgn0032916
caenorhabditis_elegans_strain_n2 WBGene00018423
phascolarctos_cinereus ENSPCIG00000025974
notamacropus_eugenii ENSMEUG00000000916
sarcophilus_harrisii ENSSHAG00000015595
chinchilla_lanigera ENSCLAG00000010269
octodon_degus ENSODEG00000006857
cavia_porcellus ENSCPOG00000014377
heterocephalus_glaber_male ENSHGLG00100013131
heterocephalus_glaber_female ENSHGLG00000013447
fukomys_damarensis ENSFDAG00000007269
urocitellus_parryii ENSUPAG00010016823
marmota_marmota_marmota ENSMMMG00000021005
ictidomys_tridecemlineatus ENSSTOG00000003095
castor_canadensis ENSCCNG00000018958
dipodomys_ordii ENSDORG00000026837
cricetulus_griseus_chok1gshd ENSCGRG00001022314
cricetulus_griseus_crigri-picr ENSCGRG00015001663
mesocricetus_auratus ENSMAUG00000000215
microtus_ochrogaster ENSMOCG00000001542
peromyscus_maniculatus_bairdii ENSPEMG00000001293
mus_spicilegus ENSMSIG00000010508
mus_musculus ENSMUSG00000048578
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028614
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027616
mus_pahari MGP_PahariEiJ_G0024196
rattus_norvegicus ENSRNOG00000021725
meriones_unguiculatus ENSMUGG00000000727
jaculus_jaculus ENSJJAG00000018770
jaculus_jaculus ENSJJAG00000019000
nannospalax_galili ENSNGAG00000005925
oryctolagus_cuniculus ENSOCUG00000008367
ochotona_princeps ENSOPRG00000004378
propithecus_coquereli ENSPCOG00000024508
microcebus_murinus ENSMICG00000008695
prolemur_simus ENSPSMG00000002027
otolemur_garnettii ENSOGAG00000008533
pan_troglodytes ENSPTRG00000045338
pan_paniscus ENSPPAG00000033163
homo_sapiens ENSG00000110917
gorilla_gorilla ENSGGOG00000007223
pongo_abelii ENSPPYG00000005038
nomascus_leucogenys ENSNLEG00000034759
rhinopithecus_bieti ENSRBIG00000026937
rhinopithecus_roxellana ENSRROG00000026109
piliocolobus_tephrosceles ENSPTEG00000000066
colobus_angolensis_palliatus ENSCANG00000040183
macaca_fascicularis ENSMFAG00000031302
macaca_nemestrina ENSMNEG00000022632
macaca_mulatta ENSMMUG00000000183
theropithecus_gelada ENSTGEG00000023501
papio_anubis ENSPANG00000024285
mandrillus_leucophaeus ENSMLEG00000044072
cercocebus_atys ENSCATG00000034833
chlorocebus_sabaeus ENSCSAG00000002239
saimiri_boliviensis_boliviensis ENSSBOG00000020984
callithrix_jacchus ENSCJAG00000046969
cebus_capucinus ENSCCAG00000024437
aotus_nancymaae ENSANAG00000038365
sorex_araneus ENSSARG00000012644
loxodonta_africana ENSLAFG00000014549
procavia_capensis ENSPCAG00000002323
choloepus_hoffmanni ENSCHOG00000000429
myotis_lucifugus ENSMLUG00000005515
pteropus_vampyrus ENSPVAG00000002238
capra_hircus ENSCHIG00000014459
ovis_aries ENSOARG00000012941
bison_bison_bison ENSBBBG00000012633
bos_taurus ENSBTAG00000020050
sus_scrofa ENSSSCG00000009914
tursiops_truncatus ENSTTRG00000000155
ursus_americanus ENSUAMG00000014256
ailuropoda_melanoleuca ENSAMEG00000008482
mustela_putorius_furo ENSMPUG00000003247
neovison_vison ENSNVIG00000009196
canis_lupus_dingo ENSCAFG00020020680
canis_lupus_familiaris ENSCAFG00000010408
vulpes_vulpes ENSVVUG00000021167
panthera_pardus ENSPPRG00000009739
panthera_tigris_altaica ENSPTIG00000013142
felis_catus ENSFCAG00000002400
equus_caballus ENSECAG00000022275
equus_asinus_asinus ENSEASG00005004654
erinaceus_europaeus ENSEEUG00000003615
tupaia_belangeri ENSTBEG00000001390
ursus_maritimus ENSUMAG00000006120
carlito_syrichta ENSTSYG00000000289
cricetulus_griseus_crigri ENSCGRG00000015233
dasypus_novemcinctus ENSDNOG00000011615
bos_mutus ENSBMUG00000021423
ornithorhynchus_anatinus ENSOANG00000012870
pogona_vitticeps ENSPVIG00000010636
anolis_carolinensis ENSACAG00000003140
notechis_scutatus ENSNSUG00000019411
salvator_merianae ENSSMRG00000005644
sphenodon_punctatus ENSSPUG00000015428
lonchura_striata_domestica ENSLSDG00000000910
parus_major ENSPMJG00000018007
junco_hyemalis ENSJHYG00000009584
lepidothrix_coronata ENSLCOG00000015033
calidris_pygmaea ENSCPGG00000018335
calidris_pugnax ENSCPUG00000010017
meleagris_gallopavo ENSMGAG00000008583
gallus_gallus ENSGALG00000007102
coturnix_japonica ENSCJPG00005013348
numida_meleagris ENSNMEG00000022566
anas_platyrhynchos_platyrhynchos ENSAPLG00000017885
anser_brachyrhynchus ENSABRG00000016002
apteryx_owenii ENSAOWG00000011498
apteryx_haastii ENSAHAG00000002695
apteryx_rowi ENSARWG00000003820
dromaius_novaehollandiae ENSDNVG00000009336
taeniopygia_guttata ENSTGUG00000009621
serinus_canaria ENSSCAG00000003929
zonotrichia_albicollis ENSZALG00000014348
cyanistes_caeruleus ENSCCEG00000021608
ficedula_albicollis ENSFALG00000007526
melopsittacus_undulatus ENSMUNG00000013448
nothoprocta_perdicaria ENSNPEG00000006583
crocodylus_porosus ENSCPRG00005004787
pelodiscus_sinensis ENSPSIG00000012651
pelodiscus_sinensis ENSPSIG00000004378
chelonoidis_abingdonii ENSCABG00000018976
gopherus_agassizii ENSGAGG00000015990
chrysemys_picta_bellii ENSCPBG00000011318
xenopus_tropicalis ENSXETG00000012272
latimeria_chalumnae ENSLACG00000018098
tetraodon_nigroviridis ENSTNIG00000011475
takifugu_rubripes ENSTRUG00000023844
mola_mola ENSMMOG00000010512
scophthalmus_maximus ENSSMAG00000018774
cynoglossus_semilaevis ENSCSEG00000018070
poecilia_mexicana ENSPMEG00000006307
poecilia_formosa ENSPFOG00000013408
poecilia_latipinna ENSPLAG00000013775
poecilia_reticulata ENSPREG00000020414
gambusia_affinis ENSGAFG00000005760
xiphophorus_maculatus ENSXMAG00000002971
xiphophorus_couchianus ENSXCOG00000007890
fundulus_heteroclitus ENSFHEG00000022720
cyprinodon_variegatus ENSCVAG00000008902
kryptolebias_marmoratus ENSKMAG00000011436
labrus_bergylta ENSLBEG00000008991
periophthalmus_magnuspinnatus ENSPMGG00000000147
astatotilapia_calliptera ENSACLG00000000382
maylandia_zebra ENSMZEG00005000567
pundamilia_nyererei ENSPNYG00000002329
haplochromis_burtoni ENSHBUG00000011961
neolamprologus_brichardi ENSNBRG00000000696
oreochromis_niloticus ENSONIG00000011214
amphilophus_citrinellus ENSACIG00000017822
oryzias_latipes_asm223469v1 ENSORLG00015013800
oryzias_latipes ENSORLG00000014642
oryzias_latipes ENSORLG00020001248
oryzias_melastigma ENSOMEG00000017191
monopterus_albus ENSMALG00000018078
mastacembelus_armatus ENSMAMG00000002736
anabas_testudineus ENSATEG00000017561
amphiprion_ocellaris ENSAOCG00000008851
amphiprion_percula ENSAPEG00000007103
acanthochromis_polyacanthus ENSAPOG00000023050
stegastes_partitus ENSSPAG00000014316
seriola_lalandi_dorsalis ENSSLDG00000016628
seriola_dumerili ENSSDUG00000000706
gasterosteus_aculeatus ENSGACG00000012610
hippocampus_comes ENSHCOG00000012210
gadus_morhua ENSGMOG00000015186
esox_lucius ENSELUG00000023149
scleropages_formosus ENSSFOG00015005178
paramormyrops_kingsleyae ENSPKIG00000023496
pygocentrus_nattereri ENSPNAG00000005676
astyanax_mexicanus ENSAMXG00000041877
ictalurus_punctatus ENSIPUG00000021791
danio_rerio ENSDARG00000059630
lepisosteus_oculatus ENSLOCG00000002903
eptatretus_burgeri ENSEBUG00000002853
eptatretus_burgeri ENSEBUG00000010239
ciona_savignyi ENSCSAVG00000009445
ciona_intestinalis ENSCING00000009792
