apteryx_haastii ENSAHAG00000018589
apteryx_owenii ENSAOWG00000007491
apteryx_rowi ENSARWG00000006037
dromaius_novaehollandiae ENSDNVG00000009678
nothoprocta_perdicaria ENSNPEG00000010489
anas_platyrhynchos_platyrhynchos ENSAPLG00000025555
anas_platyrhynchos_platyrhynchos ENSAPLG00000005391
anser_brachyrhynchus ENSABRG00000010878
meleagris_gallopavo ENSMGAG00000006491
meleagris_gallopavo ENSMGAG00000006372
gallus_gallus ENSGALG00000042215
coturnix_japonica ENSCJPG00005021246
numida_meleagris ENSNMEG00000003222
calidris_pygmaea ENSCPGG00000016200
calidris_pugnax ENSCPUG00000014604
taeniopygia_guttata ENSTGUG00000017013
zonotrichia_albicollis ENSZALG00000002765
cyanistes_caeruleus ENSCCEG00000017828
lepidothrix_coronata ENSLCOG00000010882
lonchura_striata_domestica ENSLSDG00000003770
serinus_canaria ENSSCAG00000012978
junco_hyemalis ENSJHYG00000002198
cyanistes_caeruleus ENSCCEG00000012037
parus_major ENSPMJG00000017039
ficedula_albicollis ENSFALG00000012667
melopsittacus_undulatus ENSMUNG00000007594
melopsittacus_undulatus ENSMUNG00000007758
crocodylus_porosus ENSCPRG00005018387
gopherus_agassizii ENSGAGG00000005742
chelonoidis_abingdonii ENSCABG00000012989
chrysemys_picta_bellii ENSCPBG00000010399
pelodiscus_sinensis ENSPSIG00000007679
anolis_carolinensis ENSACAG00000015174
pogona_vitticeps ENSPVIG00000008237
notechis_scutatus ENSNSUG00000009749
salvator_merianae ENSSMRG00000004686
sphenodon_punctatus ENSSPUG00000014384
phascolarctos_cinereus ENSPCIG00000029607
notamacropus_eugenii ENSMEUG00000010400
sarcophilus_harrisii ENSSHAG00000013761
monodelphis_domestica ENSMODG00000002672
ursus_americanus ENSUAMG00000016873
ursus_maritimus ENSUMAG00000015521
ailuropoda_melanoleuca ENSAMEG00000016032
mustela_putorius_furo ENSMPUG00000011549
neovison_vison ENSNVIG00000015999
canis_lupus_dingo ENSCAFG00020009233
canis_lupus_familiaris ENSCAFG00000005752
vulpes_vulpes ENSVVUG00000019385
panthera_pardus ENSPPRG00000024560
panthera_tigris_altaica ENSPTIG00000011357
felis_catus ENSFCAG00000012918
pteropus_vampyrus ENSPVAG00000011442
bos_mutus ENSBMUG00000026413
bison_bison_bison ENSBBBG00000016021
bos_taurus ENSBTAG00000019104
capra_hircus ENSCHIG00000019046
ovis_aries ENSOARG00000018448
tursiops_truncatus ENSTTRG00000006437
sus_scrofa ENSSSCG00000029616
equus_asinus_asinus ENSEASG00005005738
equus_caballus ENSECAG00000002876
erinaceus_europaeus ENSEEUG00000002762
pan_troglodytes ENSPTRG00000009763
pan_paniscus ENSPPAG00000037798
homo_sapiens ENSG00000185504
gorilla_gorilla ENSGGOG00000004214
pongo_abelii ENSPPYG00000008736
nomascus_leucogenys ENSNLEG00000013759
papio_anubis ENSPANG00000019407
theropithecus_gelada ENSTGEG00000009907
macaca_mulatta ENSMMUG00000001585
macaca_fascicularis ENSMFAG00000042241
macaca_nemestrina ENSMNEG00000041842
cercocebus_atys ENSCATG00000027144
rhinopithecus_bieti ENSRBIG00000038343
colobus_angolensis_palliatus ENSCANG00000041055
piliocolobus_tephrosceles ENSPTEG00000031536
rhinopithecus_roxellana ENSRROG00000044773
mandrillus_leucophaeus ENSMLEG00000036321
cebus_capucinus_imitator ENSCCAG00000038034
saimiri_boliviensis_boliviensis ENSSBOG00000015919
callithrix_jacchus ENSCJAG00000001556
aotus_nancymaae ENSANAG00000038098
carlito_syrichta ENSTSYG00000036212
propithecus_coquereli ENSPCOG00000028605
microcebus_murinus ENSMICG00000008568
prolemur_simus ENSPSMG00000013890
otolemur_garnettii ENSOGAG00000007492
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025384
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018358
mus_spicilegus ENSMSIG00000014480
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017514
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018640
rattus_norvegicus ENSRNOG00000036699
meriones_unguiculatus ENSMUGG00000001624
cricetulus_griseus_crigri-picr ENSCGRG00015000254
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019784
cricetulus_griseus_crigri_1.0 ENSCGRG00000018353
mesocricetus_auratus ENSMAUG00000014683
microtus_ochrogaster ENSMOCG00000020709
peromyscus_maniculatus_bairdii ENSPEMG00000017629
nannospalax_galili ENSNGAG00000016742
jaculus_jaculus ENSJJAG00000015909
castor_canadensis ENSCCNG00000009440
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100006215
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012377
fukomys_damarensis ENSFDAG00000002923
cavia_porcellus ENSCPOG00000001797
cavia_aperea ENSCAPG00000016211
octodon_degus ENSODEG00000008214
chinchilla_lanigera ENSCLAG00000012330
dipodomys_ordii ENSDORG00000024388
spermophilus_dauricus ENSSDAG00000015107
marmota_marmota_marmota ENSMMMG00000005853
urocitellus_parryii ENSUPAG00010019610
ictidomys_tridecemlineatus ENSSTOG00000000078
oryctolagus_cuniculus ENSOCUG00000025089
ochotona_princeps ENSOPRG00000009374
tupaia_belangeri ENSTBEG00000013017
procavia_capensis ENSPCAG00000000917
loxodonta_africana ENSLAFG00000032189
dasypus_novemcinctus ENSDNOG00000043753
xenopus_tropicalis ENSXETG00000015035
latimeria_chalumnae ENSLACG00000018494
mola_mola ENSMMOG00000002741
takifugu_rubripes ENSTRUG00000016744
labrus_bergylta ENSLBEG00000009311
mastacembelus_armatus ENSMAMG00000007467
kryptolebias_marmoratus ENSKMAG00000008970
cynoglossus_semilaevis ENSCSEG00000000542
amphiprion_ocellaris ENSAOCG00000021592
amphiprion_percula ENSAPEG00000000857
acanthochromis_polyacanthus ENSAPOG00000003167
stegastes_partitus ENSSPAG00000013704
astatotilapia_calliptera ENSACLG00000014464
maylandia_zebra ENSMZEG00005009062
haplochromis_burtoni ENSHBUG00000021935
neolamprologus_brichardi ENSNBRG00000021233
pundamilia_nyererei ENSPNYG00000019491
oreochromis_niloticus ENSONIG00000019858
amphilophus_citrinellus ENSACIG00000002042
xiphophorus_maculatus ENSXMAG00000011143
xiphophorus_couchianus ENSXCOG00000001184
gambusia_affinis ENSGAFG00000012189
poecilia_formosa ENSPFOG00000015135
poecilia_latipinna ENSPLAG00000022841
poecilia_mexicana ENSPMEG00000022796
poecilia_reticulata ENSPREG00000019939
cyprinodon_variegatus ENSCVAG00000018628
fundulus_heteroclitus ENSFHEG00000006777
oryzias_latipes_asm223467v1 ENSORLG00000003631
oryzias_latipes_asm223471v1 ENSORLG00020021923
oryzias_melastigma ENSOMEG00000006022
gasterosteus_aculeatus ENSGACG00000009690
monopterus_albus ENSMALG00000016578
anabas_testudineus ENSATEG00000013559
seriola_dumerili ENSSDUG00000004347
seriola_lalandi_dorsalis ENSSLDG00000002606
scophthalmus_maximus ENSSMAG00000010519
hippocampus_comes ENSHCOG00000013848
periophthalmus_magnuspinnatus ENSPMGG00000004140
gadus_morhua ENSGMOG00000002764
esox_lucius ENSELUG00000017501
pygocentrus_nattereri ENSPNAG00000022867
astyanax_mexicanus ENSAMXG00000017012
ictalurus_punctatus ENSIPUG00000012728
danio_rerio ENSDARG00000079457
scleropages_formosus ENSSFOG00015004152
paramormyrops_kingsleyae ENSPKIG00000013401
lepisosteus_oculatus ENSLOCG00000012780
eptatretus_burgeri ENSEBUG00000005922
