apteryx_owenii ENSAOWG00000016346
apteryx_haastii ENSAHAG00000019199
nothoprocta_perdicaria ENSNPEG00000006197
anas_platyrhynchos_platyrhynchos ENSAPLG00000008575
anser_brachyrhynchus ENSABRG00000001150
numida_meleagris ENSNMEG00000011391
coturnix_japonica ENSCJPG00005010435
gallus_gallus ENSGALG00000004856
lepidothrix_coronata ENSLCOG00000014739
melopsittacus_undulatus ENSMUNG00000012330
calidris_pygmaea ENSCPGG00000011272
calidris_pugnax ENSCPUG00000001082
calidris_pugnax ENSCPUG00000001065
calidris_pygmaea ENSCPGG00000006538
melopsittacus_undulatus ENSMUNG00000012329
cyanistes_caeruleus ENSCCEG00000016927
ficedula_albicollis ENSFALG00000011235
taeniopygia_guttata ENSTGUG00000006447
lonchura_striata_domestica ENSLSDG00000007027
serinus_canaria ENSSCAG00000017034
parus_major ENSPMJG00000001939
manacus_vitellinus ENSMVIG00005002858
cyanistes_caeruleus ENSCCEG00000016924
meleagris_gallopavo ENSMGAG00000009638
calidris_pygmaea ENSCPGG00000003709
dromaius_novaehollandiae ENSDNVG00000003378
apteryx_rowi ENSARWG00000002474
crocodylus_porosus ENSCPRG00005007086
gopherus_agassizii ENSGAGG00000015060
chelonoidis_abingdonii ENSCABG00000009256
chrysemys_picta_bellii ENSCPBG00000001700
pelodiscus_sinensis ENSPSIG00000003925
zonotrichia_albicollis ENSZALG00000002612
zonotrichia_albicollis ENSZALG00000002600
pogona_vitticeps ENSPVIG00000015971
anolis_carolinensis ENSACAG00000014162
notechis_scutatus ENSNSUG00000018245
salvator_merianae ENSSMRG00000003446
sphenodon_punctatus ENSSPUG00000018473
monodelphis_domestica ENSMODG00000002278
sarcophilus_harrisii ENSSHAG00000014772
sarcophilus_harrisii ENSSHAG00000002038
notamacropus_eugenii ENSMEUG00000001005
phascolarctos_cinereus ENSPCIG00000007081
procavia_capensis ENSPCAG00000004032
sorex_araneus ENSSARG00000004409
ornithorhynchus_anatinus ENSOANG00000014101
chinchilla_lanigera ENSCLAG00000007138
octodon_degus ENSODEG00000016565
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007553
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100015185
cavia_porcellus ENSCPOG00000038392
cavia_aperea ENSCAPG00000007411
dipodomys_ordii ENSDORG00000014951
ictidomys_tridecemlineatus ENSSTOG00000022115
urocitellus_parryii ENSUPAG00010014523
spermophilus_dauricus ENSSDAG00000001637
marmota_marmota_marmota ENSMMMG00000008198
otolemur_garnettii ENSOGAG00000031905
prolemur_simus ENSPSMG00000000766
homo_sapiens ENSG00000213024
pan_paniscus ENSPPAG00000017521
pongo_abelii ENSPPYG00000010270
nomascus_leucogenys ENSNLEG00000033607
macaca_mulatta ENSMMUG00000044817
chlorocebus_sabaeus ENSCSAG00000019646
rhinopithecus_bieti ENSRBIG00000042837
rhinopithecus_roxellana ENSRROG00000030340
piliocolobus_tephrosceles ENSPTEG00000036138
cebus_capucinus_imitator ENSCCAG00000025528
macaca_fascicularis ENSMFAG00000002930
macaca_nemestrina ENSMNEG00000041582
papio_anubis ENSPANG00000004839
mandrillus_leucophaeus ENSMLEG00000029810
cercocebus_atys ENSCATG00000043873
colobus_angolensis_palliatus ENSCANG00000033845
callithrix_jacchus ENSCJAG00000003603
mustela_putorius_furo ENSMPUG00000019361
neovison_vison ENSNVIG00000014915
ailuropoda_melanoleuca ENSAMEG00000019816
canis_lupus_familiaris ENSCAFG00000003428
canis_lupus_dingo ENSCAFG00020022287
panthera_tigris_altaica ENSPTIG00000020841
myotis_lucifugus ENSMLUG00000004382
capra_hircus ENSCHIG00000012083
ovis_aries ENSOARG00000013686
bos_taurus ENSBTAG00000050948
bos_mutus ENSBMUG00000005054
bison_bison_bison ENSBBBG00000009933
tursiops_truncatus ENSTTRG00000014957
sus_scrofa ENSSSCG00000040333
equus_caballus ENSECAG00000006129
equus_asinus_asinus ENSEASG00005008278
dasypus_novemcinctus ENSDNOG00000025273
mus_spicilegus ENSMSIG00000021640
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000109511
rattus_norvegicus ENSRNOG00000048733
meriones_unguiculatus ENSMUGG00000008716
meriones_unguiculatus ENSMUGG00000009971
cricetulus_griseus_crigri_1.0 ENSCGRG00000012924
cricetulus_griseus_crigri-picr ENSCGRG00015019572
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001016364
mesocricetus_auratus ENSMAUG00000019906
peromyscus_maniculatus_bairdii ENSPEMG00000010597
nannospalax_galili ENSNGAG00000020299
jaculus_jaculus ENSJJAG00000015756
loxodonta_africana ENSLAFG00000020923
procavia_capensis ENSPCAG00000003242
