eptatretus_burgeri ENSEBUG00000005331
petromyzon_marinus ENSPMAG00000008865
lepidothrix_coronata ENSLCOG00000004216
manacus_vitellinus ENSMVIG00005009388
cyanistes_caeruleus ENSCCEG00000024213
parus_major ENSPMJG00000012544
ficedula_albicollis ENSFALG00000008803
serinus_canaria ENSSCAG00000017187
lonchura_striata_domestica ENSLSDG00000012416
junco_hyemalis ENSJHYG00000011921
zonotrichia_albicollis ENSZALG00000017370
calidris_pugnax ENSCPUG00000004439
calidris_pygmaea ENSCPGG00000017928
melopsittacus_undulatus ENSMUNG00000015751
meleagris_gallopavo ENSMGAG00000004315
meleagris_gallopavo ENSMGAG00000004342
coturnix_japonica ENSCJPG00005012223
gallus_gallus ENSGALG00000028871
numida_meleagris ENSNMEG00000013407
apteryx_haastii ENSAHAG00000015991
apteryx_rowi ENSARWG00000016685
apteryx_owenii ENSAOWG00000007989
nothoprocta_perdicaria ENSNPEG00000009164
dromaius_novaehollandiae ENSDNVG00000002325
meleagris_gallopavo ENSMGAG00000004947
taeniopygia_guttata ENSTGUG00000006517
anser_brachyrhynchus ENSABRG00000002076
apteryx_haastii ENSAHAG00000001812
gopherus_agassizii ENSGAGG00000000893
chelonoidis_abingdonii ENSCABG00000008208
chrysemys_picta_bellii ENSCPBG00000002540
salvator_merianae ENSSMRG00000008030
salvator_merianae ENSSMRG00000008028
pogona_vitticeps ENSPVIG00000024342
anolis_carolinensis ENSACAG00000009348
notechis_scutatus ENSNSUG00000005484
sphenodon_punctatus ENSSPUG00000001774
phascolarctos_cinereus ENSPCIG00000021271
notamacropus_eugenii ENSMEUG00000011879
monodelphis_domestica ENSMODG00000012273
sarcophilus_harrisii ENSSHAG00000018510
equus_caballus ENSECAG00000010900
equus_asinus_asinus ENSEASG00005011963
ursus_americanus ENSUAMG00000028343
ovis_aries ENSOARG00000010284
capra_hircus ENSCHIG00000023089
bos_mutus ENSBMUG00000021515
bos_taurus ENSBTAG00000008509
bison_bison_bison ENSBBBG00000003319
tursiops_truncatus ENSTTRG00000007723
sus_scrofa ENSSSCG00000011397
vicugna_pacos ENSVPAG00000004052
ailuropoda_melanoleuca ENSAMEG00000011870
ursus_maritimus ENSUMAG00000021967
mustela_putorius_furo ENSMPUG00000013196
neovison_vison ENSNVIG00000000777
canis_lupus_familiaris ENSCAFG00000010754
canis_lupus_dingo ENSCAFG00020022147
panthera_tigris_altaica ENSPTIG00000001337
panthera_pardus ENSPPRG00000004088
felis_catus ENSFCAG00000007007
sorex_araneus ENSSARG00000008778
erinaceus_europaeus ENSEEUG00000007498
pan_paniscus ENSPPAG00000008402
pan_troglodytes ENSPTRG00000043890
homo_sapiens ENSG00000188338
gorilla_gorilla ENSGGOG00000008665
pongo_abelii ENSPPYG00000013852
nomascus_leucogenys ENSNLEG00000006958
macaca_fascicularis ENSMFAG00000042657
macaca_mulatta ENSMMUG00000010342
macaca_nemestrina ENSMNEG00000028770
mandrillus_leucophaeus ENSMLEG00000030128
cercocebus_atys ENSCATG00000038197
papio_anubis ENSPANG00000014197
theropithecus_gelada ENSTGEG00000004746
chlorocebus_sabaeus ENSCSAG00000014343
piliocolobus_tephrosceles ENSPTEG00000002341
rhinopithecus_bieti ENSRBIG00000039382
colobus_angolensis_palliatus ENSCANG00000043433
callithrix_jacchus ENSCJAG00000004893
cebus_capucinus ENSCCAG00000015252
carlito_syrichta ENSTSYG00000011131
microcebus_murinus ENSMICG00000047680
prolemur_simus ENSPSMG00000014419
propithecus_coquereli ENSPCOG00000015532
otolemur_garnettii ENSOGAG00000012519
mus_musculus ENSMUSG00000010064
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033802
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032657
mus_pahari MGP_PahariEiJ_G0015525
rattus_norvegicus ENSRNOG00000016827
meriones_unguiculatus ENSMUGG00000017288
cricetulus_griseus_chok1gshd ENSCGRG00001011688
cricetulus_griseus_crigri-picr ENSCGRG00015011850
cricetulus_griseus_crigri ENSCGRG00000016760
